domain,null_family,n_rows_total,n_rows_bridged,n_rows_non_bridged,mean_h1_delta_bridged,mean_h1_delta_non_bridged,bridge_minus_nonbridge_h1_delta_gap,mean_distortion_delta_bridged,mean_distortion_delta_non_bridged,bridge_minus_nonbridge_distortion_delta_gap
immune,degree_preserving_geodesic_rewire,72,38,34,-11.618748391929426,-27.76621070362778,16.147462311698355,0.201312085938992,0.15425231024303582,0.04705977569595618
immune,quantile_constrained_geodesic_rewire,72,38,34,-11.269795998146657,-28.766136293573645,17.49634029542699,0.20249331486070865,0.1542260405959743,0.048267274264734344
