null_kind,domain,split_regime,layer,perm_idx,null_delta_spearman
random_orthogonal_basis,external_lung,target_disjoint,7,22,-7.003807700719025e-07
random_orthogonal_basis,external_lung,target_disjoint,7,23,-4.2861289350311013e-07
random_orthogonal_basis,external_lung,target_disjoint,11,0,-8.447296538562771e-07
random_orthogonal_basis,external_lung,target_disjoint,11,1,-9.545041648280003e-07
random_orthogonal_basis,external_lung,target_disjoint,11,2,-7.083753837192064e-07
random_orthogonal_basis,external_lung,target_disjoint,11,3,-5.839752700931636e-07
random_orthogonal_basis,external_lung,target_disjoint,11,4,-1.1203749619949008e-06
random_orthogonal_basis,external_lung,target_disjoint,11,5,-1.1329762078888736e-06
random_orthogonal_basis,external_lung,target_disjoint,11,6,-1.059271823752178e-06
random_orthogonal_basis,external_lung,target_disjoint,11,7,-1.8470939532212044e-06
random_orthogonal_basis,external_lung,target_disjoint,11,8,-2.0530348928812434e-06
random_orthogonal_basis,external_lung,target_disjoint,11,9,-1.855368021358439e-06
random_orthogonal_basis,external_lung,target_disjoint,11,10,-7.889391983179062e-07
random_orthogonal_basis,external_lung,target_disjoint,11,11,-1.053543639986318e-06
random_orthogonal_basis,external_lung,target_disjoint,11,12,-1.5135125777873681e-06
random_orthogonal_basis,external_lung,target_disjoint,11,13,-1.321640939451127e-06
random_orthogonal_basis,external_lung,target_disjoint,11,14,-1.1293405079186233e-06
random_orthogonal_basis,external_lung,target_disjoint,11,15,-2.1492133019081552e-06
random_orthogonal_basis,external_lung,target_disjoint,11,16,-8.527103798131042e-07
random_orthogonal_basis,external_lung,target_disjoint,11,17,-7.513264803898217e-07
random_orthogonal_basis,external_lung,target_disjoint,11,18,-3.4390260296533054e-07
random_orthogonal_basis,external_lung,target_disjoint,11,19,-1.9609950843487572e-06
random_orthogonal_basis,external_lung,target_disjoint,11,20,2.1047618614482289e-07
random_orthogonal_basis,external_lung,target_disjoint,11,21,-2.2584775623878464e-06
random_orthogonal_basis,external_lung,target_disjoint,11,22,-1.5708372191371167e-06
random_orthogonal_basis,external_lung,target_disjoint,11,23,-1.3190447446971565e-06
random_orthogonal_basis,immune,source_disjoint,7,0,1.806252466158252e-05
random_orthogonal_basis,immune,source_disjoint,7,1,3.7802877331287454e-05
random_orthogonal_basis,immune,source_disjoint,7,2,1.996946884149156e-05
random_orthogonal_basis,immune,source_disjoint,7,3,2.2964613252102195e-05
random_orthogonal_basis,immune,source_disjoint,7,4,3.3615872979538344e-05
random_orthogonal_basis,immune,source_disjoint,7,5,-9.46868728226441e-07
random_orthogonal_basis,immune,source_disjoint,7,6,2.567873057639572e-05
random_orthogonal_basis,immune,source_disjoint,7,7,2.7642159272834102e-05
random_orthogonal_basis,immune,source_disjoint,7,8,3.401916930668297e-05
random_orthogonal_basis,immune,source_disjoint,7,9,2.0709826880290633e-05
random_orthogonal_basis,immune,source_disjoint,7,10,1.7991445831392824e-05
random_orthogonal_basis,immune,source_disjoint,7,11,2.0210615522710598e-05
random_orthogonal_basis,immune,source_disjoint,7,12,3.257151820225922e-05
random_orthogonal_basis,immune,source_disjoint,7,13,-1.4366289421169354e-05
random_orthogonal_basis,immune,source_disjoint,7,14,1.7611118948336266e-05
