domain,split_regime,n_rows,mean_auc_detour_elasticity,mean_auc_baseline,mean_delta_auc_elasticity_minus_baseline,mean_null_gap_q95,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,0.8429664696512746,0.8385639437576307,0.004402525893644038,-0.006864645574430591,0.75,0.75,0.004019852259812916
external_lung,target_disjoint,4,0.8260309446324836,0.8168175083531388,0.009213436279344622,-0.007937654516778012,1.0,1.0,0.001158430505111594
immune,source_disjoint,4,0.8833610916316035,0.8819410355306219,0.001420056100981698,-0.006435907550257133,0.5,0.25,0.062324818881007556
immune,target_disjoint,4,0.8767584396424543,0.8801234487546645,-0.0033650091122103265,-0.008479074459776062,0.25,0.0,0.8641948690210788
lung,source_disjoint,4,0.779538045304833,0.7849574847079385,-0.0054194394031054915,-0.007955127881965476,0.0,0.0,0.9993215686782344
lung,target_disjoint,4,0.830110203029182,0.8247892353053285,0.005320967723853404,-0.007253304409242259,1.0,0.75,0.001990233242522615
