domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_high_support_edges,n_low_support_edges,auc_baseline,auc_triangle_defect,delta_auc_triangle_minus_baseline,delta_auc_high_support,delta_auc_low_support,interaction_delta_high_minus_low,mean_support_concordance,mean_coexpression_proxy,mean_ontology_overlap,null_q95_interaction,null_gap_q95_interaction,p_support_shuffle_upper,p_matched_support_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed44,target_disjoint,7,1041,684,347,348,0.8088235294117646,0.8628802398152244,0.05405671040345983,-0.03188691650230113,0.007352941176470562,-0.039239857678771695,0.1997346257672024,0.07359483336285111,0.08493849134587075,0.04420940155358417,-0.08344925923235585,0.96,0.84,0.72,0.72
external_lung,seed44,target_disjoint,11,1041,684,347,348,0.8356880764001506,0.8685275279702525,0.03283945157010182,-0.060815253122945334,0.012027310924369816,-0.07284256404731515,0.1997346257672024,0.28280733474030084,0.08493849134587075,0.032621151221128644,-0.1054637152684438,1.0,1.0,0.84,0.84
immune,seed42_main,source_disjoint,7,953,240,318,319,0.8781673679289387,0.9077956989247311,0.02962833099579243,0.07495869719140891,0.014195583596214534,0.060763113595194373,0.10356725332074414,0.0775192762827932,0.05131299345693709,0.04197949262039443,0.018783620974799943,0.04,0.04,0.08,0.04
immune,seed42_main,source_disjoint,11,953,240,318,319,0.8937412342215989,0.8765486208508649,-0.017192613370733967,0.03573282983242865,0.01104100946372244,0.024691820368706208,0.10356725332074414,0.25532000973241736,0.05131299345693709,0.07235687180731153,-0.04766505143860532,0.04,0.08,0.52,0.04
immune,seed42_main,target_disjoint,7,1111,276,371,377,0.8775145361451011,0.9001301744337413,0.022615638288640216,0.03799805636540321,-0.0040000000000000036,0.041998056365403214,0.093523990602403,0.08714962393724188,0.046737195075125894,0.010739436156932684,0.03125862020847053,0.04,0.04,0.04,0.04
immune,seed42_main,target_disjoint,11,1111,276,371,377,0.8948667881628048,0.8960036448841447,0.0011368567213398961,0.026724975704567555,-0.016000000000000014,0.04272497570456757,0.093523990602403,0.25696306288473475,0.046737195075125894,0.033765766678463975,0.008959209026103594,0.04,0.04,0.12,0.04
immune,seed43,source_disjoint,7,920,234,307,307,0.8912000697714983,0.8896800478433132,-0.0015200219281851224,0.03857431749241658,0.0032679738562091387,0.03530634363620744,0.09711009401684659,0.07806666548560276,0.047171641271730805,0.06446076331490129,-0.029154419678693852,0.08,0.08,0.24,0.08
immune,seed43,source_disjoint,11,920,234,307,307,0.8965450649124118,0.8996660935436446,0.0031210286312327584,0.026440849342770578,-0.02941176470588236,0.05585261404865294,0.09711009401684659,0.25541916313825597,0.047171641271730805,0.0647121020765328,-0.008859488027879864,0.04,0.04,0.28,0.04
immune,seed43,target_disjoint,7,1082,274,361,361,0.8669418949194189,0.90672201344222,0.03978011852280117,0.048267240780609844,-0.013927576601671321,0.062194817382281165,0.095394525828014,0.08160112454544095,0.046847054503457546,0.013773161799398843,0.04842165558288232,0.04,0.04,0.04,0.04
immune,seed43,target_disjoint,11,1082,274,361,361,0.8804112163041122,0.864290489267905,-0.01612072703620726,0.0023265504548924953,0.03481894150417841,-0.03249239104928592,0.095394525828014,0.23031388002276285,0.046847054503457546,0.05950930564974377,-0.09200169669902969,0.76,0.8,0.92,0.76
immune,seed44,source_disjoint,7,949,242,317,320,0.8890609840204801,0.8801711339965165,-0.008889850023963586,-0.010763394973921203,0.05188679245283023,-0.06265018742675144,0.10097155073718656,0.1026419763809714,0.049778726024517224,0.032925427290730544,-0.09557561471748198,0.76,0.88,1.0,0.76
immune,seed44,source_disjoint,11,949,242,317,320,0.8953733035641226,0.8626544472629081,-0.032718856301214516,-0.024988146040777592,0.03301886792452835,-0.05800701396530594,0.10097155073718656,0.28079497909353934,0.049778726024517224,0.06374484329615415,-0.1217518572614601,0.6,0.52,1.0,0.52
immune,seed44,target_disjoint,7,1110,272,370,373,0.8813921451635546,0.8998227572651971,0.01843061210164254,0.028968601147078887,0.0018018018018017834,0.027166799345277104,0.0958167831819907,0.1263896073703759,0.04520017616822631,0.03807656571545734,-0.010909766370180235,0.04,0.04,0.2,0.04
immune,seed44,target_disjoint,11,1110,272,370,373,0.8939899796434085,0.8815873754036221,-0.012402604239786452,-0.011308771588736555,0.06576576576576576,-0.07707453735450231,0.0958167831819907,0.2681315987336882,0.04520017616822631,0.0730927477136918,-0.1501672850681941,0.96,0.96,1.0,0.96
lung,seed42_main,source_disjoint,7,690,342,230,230,0.7842811050615044,0.8251663641863278,0.040885259124823436,0.010952380952380936,0.05210918114143914,-0.04115680018905821,0.16305114858281505,0.10644188412396119,0.10991007267770427,0.035637453799118646,-0.07679425398817685,0.64,0.6,0.84,0.6
lung,seed42_main,source_disjoint,11,690,342,230,230,0.7911037171472743,0.7995563621697923,0.008452645022517968,-0.013809523809523827,0.03013115916341713,-0.04394068297294096,0.16305114858281505,0.241788625383072,0.10991007267770427,0.06485013472654055,-0.10879081769948151,1.0,0.92,0.84,0.84
lung,seed42_main,target_disjoint,7,879,561,293,293,0.8188881041267279,0.8702171549008396,0.05132905077411176,-0.07958477508650519,0.045925925925925926,-0.12551070101243111,0.218309124641247,0.11968059246847511,0.10419355752488509,0.02227660618754499,-0.1477873071999761,1.0,1.0,1.0,1.0
lung,seed42_main,target_disjoint,11,879,561,293,293,0.8326831018284958,0.850003923810805,0.01732082198230922,0.007785467128027634,0.0442798353909466,-0.036494368262918964,0.218309124641247,0.3031664833992444,0.10419355752488509,0.044944465308872986,-0.08143883357179195,0.4,0.72,0.84,0.4
lung,seed43,source_disjoint,7,760,384,254,254,0.8174382203014184,0.849560893173759,0.03212267287234061,-0.035146443514644354,0.07771556550951852,-0.11286200902416288,0.1520905676721851,0.13653553865623558,0.10487045114790058,0.03309954213794102,-0.1459615511621039,1.0,1.0,1.0,1.0
lung,seed43,source_disjoint,11,760,384,254,254,0.8384031471631205,0.8312901706560284,-0.007112976507092084,-0.03737796373779623,0.010526315789473606,-0.04790427952726983,0.1520905676721851,0.2989456712189794,0.10487045114790058,0.024000713949129084,-0.07190499347639892,0.88,0.72,0.68,0.68
lung,seed43,target_disjoint,7,847,559,283,283,0.8020305356787916,0.8707420244484197,0.06871148876962818,0.10168471720818295,0.04191895668374479,0.05976576052443816,0.21219639142234198,0.11000728629489818,0.10129038594823814,0.03342378675708253,0.026341973767355628,0.04,0.04,0.04,0.04
lung,seed43,target_disjoint,11,847,559,283,283,0.8044157473663287,0.8586171983701052,0.05420145100377649,0.001203369434416457,-0.0026393417171246547,0.0038427111515411116,0.21219639142234198,0.272271047474091,0.10129038594823814,0.057223370333039474,-0.05338065918149836,0.48,0.56,0.6,0.48
lung,seed44,source_disjoint,7,751,368,251,251,0.7981396866840731,0.8069233170620955,0.008783630378022433,0.08471593765711405,-0.08091286307053935,0.1656288007276534,0.15305747952165322,0.13684661562568984,0.10805119503561081,0.04413329203694807,0.12149550869070533,0.04,0.04,0.04,0.04
lung,seed44,source_disjoint,11,751,368,251,251,0.8229722442956068,0.8075476785106142,-0.015424565784992628,0.07315233785822006,-0.09253112033195021,0.16568345819017027,0.15305747952165322,0.29846075725739973,0.10805119503561081,0.042491422928752055,0.12319203526141823,0.04,0.04,0.04,0.04
lung,seed44,target_disjoint,7,859,549,287,287,0.8105000293789295,0.8768729067512779,0.06637287737234843,-0.0944055944055944,0.07316455696202517,-0.16757015136761957,0.2078705594130717,0.11837458407345497,0.1037393134328954,0.04829165951316931,-0.21586181088078887,1.0,1.0,1.0,1.0
lung,seed44,target_disjoint,11,859,549,287,287,0.8167107350608144,0.8689405958046889,0.05222986074387448,-0.034965034965034975,-0.02016877637130776,-0.014796258593727213,0.2078705594130717,0.28721258824693136,0.1037393134328954,0.057221778520897056,-0.07201803711462426,0.96,0.8,0.48,0.48
