domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_high_support_edges,n_low_support_edges,auc_baseline,auc_triangle_defect,delta_auc_triangle_minus_baseline,delta_auc_high_support,delta_auc_low_support,interaction_delta_high_minus_low,mean_support_concordance,mean_coexpression_proxy,mean_ontology_overlap,null_q95_interaction,null_gap_q95_interaction,p_support_shuffle_upper,p_matched_support_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,235,235,0.8419295110730196,0.8669782258912184,0.025048714818198814,-0.0030232558139533516,0.03253424657534254,-0.03555750238929589,0.16775832525861245,0.0725248781738446,0.12103088051196162,0.045140505327024766,-0.08069800771632066,0.68,0.84,0.44,0.44
external_lung,seed42_main,source_disjoint,11,704,337,235,235,0.8523193104730795,0.8501362397820164,-0.0021830706910631603,0.017209302325581488,-0.03938356164383561,0.056592863969417095,0.16775832525861245,0.25791373923923655,0.12103088051196162,0.05574597237403863,0.0008468915953784642,0.04,0.04,0.16,0.04
external_lung,seed42_main,target_disjoint,7,1014,671,338,338,0.8186510712439117,0.8669493771534587,0.04829830590954698,-0.11377245508982042,0.01656565656565656,-0.13033811165547698,0.20363025255696657,0.08311434135693331,0.0914981991634722,0.04777728255458515,-0.17811539421006214,1.0,1.0,1.0,1.0
external_lung,seed42_main,target_disjoint,11,1014,671,338,338,0.837812237946062,0.8584376479993744,0.02062541005331242,-0.10479041916167658,-0.05223665223665219,-0.05255376692502439,0.20363025255696657,0.2922026525705239,0.0914981991634722,0.04852279666836047,-0.10107656359338486,1.0,1.0,0.88,0.88
external_lung,seed43,source_disjoint,7,784,378,262,262,0.8085724711340474,0.8418562827429823,0.0332838116089349,0.01624431448992858,-0.004338842975206703,0.020583157465135282,0.16330484659791447,0.07484795711886355,0.11594727663915776,0.06484229649468856,-0.04425913902955328,0.32,0.44,0.32,0.32
external_lung,seed43,source_disjoint,11,784,378,262,262,0.820829097922694,0.8263872598847968,0.005558161962102792,0.04873294346978563,-0.043595041322314065,0.0923279847920997,0.16330484659791447,0.2533224543093524,0.11594727663915776,0.07033638227030004,0.021991602521799658,0.04,0.04,0.08,0.04
external_lung,seed43,target_disjoint,7,1034,686,345,345,0.7986285647263832,0.862018699105258,0.06339013437887475,-0.06588235294117661,0.02872449561153556,-0.09460684855271217,0.20184300313216766,0.07212579429192623,0.08693272236403216,0.060465711371211865,-0.15507255992392405,1.0,1.0,1.0,1.0
external_lung,seed43,target_disjoint,11,1034,686,345,345,0.8120182802184913,0.865547820113267,0.05352953989477571,-0.0052941176470588935,-0.04964094380485584,0.04434682615779695,0.20184300313216766,0.27415639700619426,0.08693272236403216,0.057928193998614895,-0.013581367840817947,0.2,0.24,0.08,0.08
external_lung,seed44,source_disjoint,7,759,351,253,253,0.8146611921121725,0.8824856153287524,0.06782442321657989,0.08473684210526311,-0.04917257683215137,0.13390941893741448,0.1617926629994782,0.06875327835893352,0.12131077045765433,0.07090106146882427,0.06300835746859021,0.04,0.04,0.04,0.04
external_lung,seed44,source_disjoint,11,759,351,253,253,0.8271814423775209,0.8576057203508184,0.030424277973297498,0.08456140350877206,-0.0822695035460993,0.16683090705487136,0.1617926629994782,0.2532445311538131,0.12131077045765433,0.09291802004081146,0.0739128870140599,0.04,0.04,0.04,0.04
