domain,split_regime,n_rows,mean_delta_spearman_mapped_minus_baseline,mean_delta_topk_overlap,mean_null_gap_q95,fraction_delta_spearman_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,-3.856493861213641e-07,0.00021331058020478133,-0.003589249481988241,0.0,0.0,0.0,0.19375460486756385
external_lung,target_disjoint,2,-3.700370899107578e-07,0.0,-8.145790289800806e-05,0.0,0.0,0.0,0.08216266490787767
immune,source_disjoint,2,1.9277095227545303e-05,0.0,-0.014855605506891438,1.0,0.0,0.0,0.23992782051983771
immune,target_disjoint,2,1.6591520056893523e-05,0.0,-0.03321284049102901,1.0,0.0,1.0,0.011900402639578249
lung,source_disjoint,2,-3.9220945100438415e-07,0.0,-0.030612755431418667,0.5,0.0,0.0,0.6219461257855489
lung,target_disjoint,2,-8.061866016428887e-07,0.0,-0.031445254584841834,0.0,0.0,0.0,0.5591284668764701
