null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_interaction_delta
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,8,0.048286484093715054
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,9,-0.016664426244897668
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,10,-0.018809419520843917
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,11,-0.022540402587857278
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,12,-0.03418500183350964
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,13,0.05356239374144539
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,14,-0.03026003307841274
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,15,0.03689207417449247
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,16,-0.023436927266062724
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,17,0.004357298971625623
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,18,0.004860540503776545
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,19,0.010459227521919967
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,20,0.058233980667393326
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,21,-0.0004922769336825339
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,22,0.005392737391280322
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,7,23,0.006490391211686042
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,0,-0.00687824958703398
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,1,-0.00971177944862156
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,2,-0.03355712451171611
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,3,-0.055905757151675284
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,4,0.08142702049373218
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,5,-0.0012791265256961726
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,6,-0.12334226489639344
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,7,0.03916939484416637
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,8,-0.015893286540586304
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,9,0.0023815492639049918
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,10,-0.028346878171942036
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,11,0.00046203962239088625
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,12,-0.007025619703809272
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,13,-0.02724251487960383
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,14,-0.04405180156382077
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,15,-0.07915971635507613
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,16,-0.028943712743322636
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,17,0.0009251936789858028
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,18,-0.016383132212829388
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,19,-0.022480168892402008
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,20,0.06575476215167064
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,21,0.0638608315939847
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,22,-0.0037979104451187906
label_shuffle_within_geodesic_bins,external_lung,seed42_main,target_disjoint,11,23,0.007926595792107083
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,0,-0.007649701504495843
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,1,-0.018689977367261912
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,2,0.018235028827682354
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,3,0.02837243411809054
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,4,-0.06450028729440505
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,5,0.008720762732395526
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,6,-0.04234513845217208
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,7,-0.0075563102314584185
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,8,0.02393318781030651
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,9,-0.026356165808498477
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,10,-0.09021453697096288
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,11,-0.0207156253428592
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,12,-0.0860899448758568
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,13,-0.06853307850859869
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,14,0.06590813338682877
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,15,0.04551617153300164
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,16,-0.029460499396567752
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,17,-0.045750616779813735
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,18,-0.045511788949822995
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,19,-0.04151488052926011
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,20,0.04677386677767836
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,21,0.02179047580401544
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,22,-0.052192153507942984
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,7,23,0.05710873649858622
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,0,-0.13491765798592514
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,1,-0.016003196467925696
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,2,-0.024404917172840546
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,3,0.015885645302897322
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,4,-0.0015458261427075404
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,5,-0.024421518913563034
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,6,0.0346688038194517
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,7,-0.05144581003009341
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,8,-0.012488310315703965
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,9,-0.03165740899817132
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,10,0.002449655804733497
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,11,-0.0784136116733799
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,12,0.03759242615110181
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,13,-0.026538301270921494
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,14,0.029359024199257178
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,15,0.05270955840538688
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,16,-0.0005592122429808333
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,17,-0.00894557020587472
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,18,-0.10089485575251989
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,19,-0.10140784117006713
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,20,-0.006250609268682705
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,21,0.012847106664624908
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,22,0.09596166298421727
label_shuffle_within_geodesic_bins,external_lung,seed43,source_disjoint,11,23,-0.0012724499637840614
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,0,-0.020823664973302014
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,1,-0.016433676274248077
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,2,0.0014989364924317683
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,3,-0.06759726124613447
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,4,-0.014506128070047863
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,5,-0.039573653035901823
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,6,0.05212715890481978
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,7,0.059900165606649736
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,8,0.01282601414883261
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,9,-0.06378868107705998
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,10,0.03210386934968279
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,11,0.0010388374891557306
label_shuffle_within_geodesic_bins,external_lung,seed43,target_disjoint,7,12,0.0768709531697035
