domain,split_regime,layer,n_symbols_eval,n_rel_pairs,spearman_mapped_vs_sc,spearman_baseline_vs_sc,delta_spearman_mapped_minus_baseline,topk_overlap_mapped,topk_overlap_baseline,delta_topk_overlap,null_q95,null_gap_q95,p_symbol_perm_upper,p_random_basis_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,217,23436,0.002844463881288277,0.0028450760921153186,-6.122108270416836e-07,0.1083617747440273,0.1083617747440273,0.0,0.0038750849036739247,-0.0038756971145009664,0.4,0.68,0.96,0.4
external_lung,source_disjoint,11,217,23436,0.007406272407439956,0.007406431495385157,-1.5908794520104463e-07,0.10580204778156997,0.10537542662116041,0.00042662116040956266,0.003302642761530315,-0.003302801849475516,0.36,0.16,0.12,0.12
external_lung,target_disjoint,7,216,23220,0.003411565043200344,0.003412208101703355,-6.430585030108536e-07,0.10723514211886305,0.10723514211886305,0.0,0.00016175997372612592,-0.00016240303222913677,0.2,0.72,0.8,0.2
external_lung,target_disjoint,11,216,23220,0.006137938876849455,0.006138035892526266,-9.701567681066198e-08,0.10852713178294573,0.10852713178294573,0.0,4.157578900686799e-07,-5.127735668793419e-07,0.16,0.08,0.28,0.08
immune,source_disjoint,7,199,19701,0.012533097825190192,0.012507229096037045,2.5868729153147654e-05,0.10203045685279188,0.10203045685279188,0.0,5.63199339497559e-05,-3.0451204796608244e-05,0.16,0.4,0.32,0.16
immune,source_disjoint,11,199,19701,-0.01728985295743527,-0.017302538418737214,1.2685461301942952e-05,0.10253807106598985,0.10253807106598985,0.0,0.02969344527028821,-0.029680759808986268,0.92,0.4,0.56,0.4
immune,target_disjoint,7,152,11476,0.00021140602744125996,0.0001970489266174105,1.4357100823849457e-05,0.0975609756097561,0.0975609756097561,0.0,0.00793049740929387,-0.00791614030847002,0.52,0.08,0.04,0.04
immune,target_disjoint,11,152,11476,-0.040984578729133476,-0.041003404668423414,1.8825939289937588e-05,0.10975609756097561,0.10975609756097561,0.0,0.058528366612877934,-0.058509540673588,1.0,0.12,0.04,0.04
lung,source_disjoint,7,216,23220,-0.009645792701348332,-0.009644944649436629,-8.480519117035762e-07,0.09948320413436693,0.09948320413436693,0.0,0.019933350295719264,-0.019934198347630966,0.88,0.84,1.0,0.84
lung,source_disjoint,11,216,23220,-0.028173678741434657,-0.028173742374444352,6.36330096948079e-08,0.09603789836347976,0.09603789836347976,0.0,0.04129137614821606,-0.04129131251520637,1.0,0.32,0.76,0.32
lung,target_disjoint,7,216,23220,-0.00796297341702936,-0.007961481735714336,-1.491681315024529e-06,0.09732988802756244,0.09732988802756244,0.0,0.02456262786089755,-0.024564119542212576,0.8,0.92,0.8,0.8
lung,target_disjoint,11,216,23220,-0.023627200179578367,-0.023627079487690106,-1.2069188826124844e-07,0.09732988802756244,0.09732988802756244,0.0,0.03832626893558284,-0.0383263896274711,0.96,0.28,0.6,0.28
