domain,split_regime,n_rows,mean_delta_auc_observed_minus_base,mean_delta_auc_observed_minus_swap,fraction_delta_positive,fraction_p_layer_perm_lt_0_05,combined_fisher_p_layer_perm
external_lung,source_disjoint,4,0.01592718352646147,-0.01937992813444081,1.0,0.0,0.7855657341350474
external_lung,target_disjoint,4,0.015877614471452806,0.01937158469945352,1.0,0.0,0.7855657341350475
immune,source_disjoint,4,-0.012816288741906628,-0.0004644512598175887,0.25,0.0,0.7855657341350474
immune,target_disjoint,4,0.013045105441291394,-0.008651175909051373,0.5,0.0,0.7240296836177975
lung,source_disjoint,4,0.022115688131313066,-0.012958124774531038,1.0,0.0,0.9106644315552995
lung,target_disjoint,4,0.015014654450519666,0.01830854727263767,1.0,0.0,0.9106644315552995
