domain,split_regime,evaluation,holdout_id,n_train,n_test,r2_mean_model,r2_full_model,delta_r2_full_minus_mean
immune,target_disjoint,leave_seed_out,seed43,24,12,-17.417730554384004,-15.223519256324234,2.19421129805977
immune,target_disjoint,leave_seed_out,seed44,24,12,-7.640716375694696,-6.735948951318792,0.9047674243759039
lung,source_disjoint,leave_layer_out,0,33,3,-0.41485780770976155,-0.2729491087865221,0.14190869892323943
lung,source_disjoint,leave_layer_out,1,33,3,0.45231701275565483,0.7695124423741599,0.3171954296185051
lung,source_disjoint,leave_layer_out,10,33,3,-45.529456035531574,-30.867431258943647,14.662024776587927
lung,source_disjoint,leave_layer_out,11,33,3,-0.39338031694854925,0.5075480571742834,0.9009283741228327
lung,source_disjoint,leave_layer_out,2,33,3,-0.014248802455218312,0.4755393227380841,0.4897881251933024
lung,source_disjoint,leave_layer_out,3,33,3,0.45920934188038776,-1.7019358167175125,-2.1611451585979005
lung,source_disjoint,leave_layer_out,4,33,3,0.7537022074640781,0.7769751920297094,0.023272984565631316
lung,source_disjoint,leave_layer_out,5,33,3,-0.06101173415121486,0.43422425132479303,0.4952359854760079
lung,source_disjoint,leave_layer_out,6,33,3,-2.266288688237739,-1.3283364562122442,0.9379522320254949
lung,source_disjoint,leave_layer_out,7,33,3,0.0817353538970067,-1.430797195161201,-1.5125325490582078
lung,source_disjoint,leave_layer_out,8,33,3,-0.7899359467357436,-1.4874626478142523,-0.6975267010785087
lung,source_disjoint,leave_layer_out,9,33,3,-0.45049243210046486,-2.4019030677476243,-1.9514106356471594
lung,source_disjoint,leave_seed_out,seed42_main,24,12,0.18514332005271006,-3.7995065555941983,-3.9846498756469084
lung,source_disjoint,leave_seed_out,seed43,24,12,-0.8943546132577398,0.2515658400825892,1.145920453340329
lung,source_disjoint,leave_seed_out,seed44,24,12,0.14632412843888565,0.2980767408728182,0.15175261243393257
lung,target_disjoint,leave_layer_out,0,33,3,0.667415605886567,-0.5642874519983359,-1.2317030578849029
lung,target_disjoint,leave_layer_out,1,33,3,0.0784882867338248,-1.1216911034009849,-1.2001793901348097
lung,target_disjoint,leave_layer_out,10,33,3,-0.3599061013781304,0.3615970619236848,0.7215031633018152
lung,target_disjoint,leave_layer_out,11,33,3,-0.43013445691593866,0.04049568781864821,0.47063014473458686
lung,target_disjoint,leave_layer_out,2,33,3,-1.181589689955314,-1.8632903205329447,-0.6817006305776308
lung,target_disjoint,leave_layer_out,3,33,3,0.8804468227655383,0.883527494472989,0.003080671707450633
lung,target_disjoint,leave_layer_out,4,33,3,0.5255387304778594,0.2569788247084104,-0.268559905769449
lung,target_disjoint,leave_layer_out,5,33,3,0.7141294915309349,-0.6869592020778297,-1.4010886936087645
lung,target_disjoint,leave_layer_out,6,33,3,0.119558344132779,0.6162313490729275,0.49667300494014854
lung,target_disjoint,leave_layer_out,7,33,3,-0.008263016176697224,0.5048975543541582,0.5131605705308554
lung,target_disjoint,leave_layer_out,8,33,3,0.6042114349901277,0.9231944169369272,0.3189829819467994
lung,target_disjoint,leave_layer_out,9,33,3,-0.3677311219907813,0.6640337127981543,1.0317648347889357
lung,target_disjoint,leave_seed_out,seed42_main,24,12,-6.873123686161286,-5.787546545336212,1.085577140825074
lung,target_disjoint,leave_seed_out,seed43,24,12,-0.786822089995888,-0.2785352762493205,0.5082868137465675
lung,target_disjoint,leave_seed_out,seed44,24,12,-4.512376129435099,-4.418676520566659,0.09369960886844009
