domain,split_regime,evaluation,observed_mean_delta_r2,p_delta_r2_upper,fraction_holdout_delta_positive
external_lung,source_disjoint,leave_layer_out,-6.590680130772487,0.9439252336448598,0.75
external_lung,source_disjoint,leave_seed_out,-29.639104152300252,0.7912772585669782,0.6666666666666666
external_lung,target_disjoint,leave_layer_out,1.204128606472432,0.03115264797507788,0.6666666666666666
external_lung,target_disjoint,leave_seed_out,-87.08391082866734,0.9750778816199377,0.6666666666666666
immune,source_disjoint,leave_layer_out,-0.3364418163566847,0.26479750778816197,0.3333333333333333
immune,source_disjoint,leave_seed_out,-11.89964625056853,0.9781931464174455,0.0
immune,target_disjoint,leave_layer_out,0.010477782828184207,0.1308411214953271,0.5833333333333334
immune,target_disjoint,leave_seed_out,5.398076337294363,0.003115264797507788,1.0
lung,source_disjoint,leave_layer_out,0.9704742968442637,0.037383177570093455,0.6666666666666666
lung,source_disjoint,leave_seed_out,-0.8956589366242156,0.30218068535825543,0.6666666666666666
lung,target_disjoint,leave_layer_out,-0.10228635883541376,0.2803738317757009,0.5833333333333334
lung,target_disjoint,leave_seed_out,0.5625211878133606,0.012461059190031152,1.0
