domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,knn_k,used_component_bridging,coexp_missing_fraction,mean_support_score,mean_dorothea_norm,mean_go_jaccard,mean_omnipath_support,mean_trrust_support_bookkeeping,auc_base,auc_full,auc_delta_full_minus_base,interaction_coef_mean,p_interaction_upper,delta_auc_low_support_decile,delta_auc_high_support_decile,top_bottom_uplift_gap
external_lung,seed42_main,source_disjoint,0,948,403,220,24,True,0.0,0.14112877090392004,0.23074894514767932,0.11631104861242704,0.04008438818565401,0.42510548523206754,0.9424955039042047,0.9437612402394882,0.001265736335283485,0.3510283641191809,0.01639344262295082,-0.001245330012453194,-0.11702127659574468,-0.11577594658329149
external_lung,seed42_main,source_disjoint,3,948,403,220,24,True,0.0,0.14112877090392004,0.23074894514767932,0.11631104861242704,0.04008438818565401,0.42510548523206754,0.9408882919388988,0.941694174425752,0.0008058824868532044,0.34011484643140827,0.03278688524590164,-0.00249066002490661,-0.07446808510638299,-0.07197742508147638
external_lung,seed42_main,source_disjoint,7,948,403,220,24,True,0.0,0.14112877090392004,0.23074894514767932,0.11631104861242704,0.04008438818565401,0.42510548523206754,0.9420948391649783,0.9435882259202769,0.0014933867552986424,0.2927507284839514,0.01639344262295082,-0.002490660024906499,-0.09574468085106383,-0.09325402082615733
external_lung,seed42_main,source_disjoint,11,948,403,220,24,True,0.0,0.14112877090392004,0.23074894514767932,0.11631104861242704,0.04008438818565401,0.42510548523206754,0.9398274409816286,0.9407699137204908,0.0009424727388621656,0.24383038819044356,0.04918032786885246,0.0012453300124534161,-0.07446808510638299,-0.0757134151188364
external_lung,seed42_main,target_disjoint,0,1460,904,220,24,True,0.0,0.19222881389132893,0.3493150684931507,0.08528790507308297,0.05136986301369863,0.6191780821917808,0.9531220156618068,0.9535040109505316,0.00038199528872484567,0.250299297676253,0.04918032786885246,-0.003809523809523929,0.03496503496503489,0.03877455877455882
external_lung,seed42_main,target_disjoint,3,1460,904,220,24,True,0.0,0.19222881389132893,0.3493150684931507,0.08528790507308297,0.05136986301369863,0.6191780821917808,0.9524296492009932,0.9530404437511937,0.0006107945502005219,0.1379806845837773,0.14754098360655737,-0.00486772486772491,0.05594405594405605,0.06081178081178096
external_lung,seed42_main,target_disjoint,7,1460,904,220,24,True,0.0,0.19222881389132893,0.3493150684931507,0.08528790507308297,0.05136986301369863,0.6191780821917808,0.9536790921245306,0.9541983669701407,0.000519274845610096,0.10945991238610113,0.19672131147540983,-0.004444444444444362,0.10955710955710951,0.11400155400155387
external_lung,seed42_main,target_disjoint,11,1460,904,220,24,True,0.0,0.19222881389132893,0.3493150684931507,0.08528790507308297,0.05136986301369863,0.6191780821917808,0.9521053511173362,0.9524017953778571,0.00029644426052088946,0.046344958990146845,0.3442622950819672,-0.002328042328042401,0.020979020979021046,0.023307063307063447
external_lung,seed43,source_disjoint,0,1024,421,219,24,True,0.0,0.1351306443528072,0.218994140625,0.11968398348278603,0.0361328125,0.4111328125,0.9273151266628062,0.929769206225405,0.0024540795625987988,0.3172392865297999,0.01639344262295082,0.009146341463414642,0.14356435643564347,0.13441801497222883
external_lung,seed43,source_disjoint,3,1024,421,219,24,True,0.0,0.1351306443528072,0.218994140625,0.11968398348278603,0.0361328125,0.4111328125,0.9273978484458152,0.9296195191894842,0.0022216707436689687,0.17827898170889056,0.08196721311475409,0.004065040650406582,0.10396039603960394,0.09989535538919736
external_lung,seed43,source_disjoint,7,1024,421,219,24,True,0.0,0.1351306443528072,0.218994140625,0.11968398348278603,0.0361328125,0.4111328125,0.925302229942922,0.926956665603101,0.0016544356601789767,-0.2045926586057499,0.8524590163934426,0.001524390243902607,-0.03960396039603964,-0.041128350639942246
external_lung,seed43,source_disjoint,11,1024,421,219,24,True,0.0,0.1351306443528072,0.218994140625,0.11968398348278603,0.0361328125,0.4111328125,0.9257828041108787,0.9287883622268703,0.00300555811599168,0.1596576930194318,0.09836065573770492,0.007621951219512035,0.07920792079207906,0.07158596957256702
external_lung,seed43,target_disjoint,0,1418,879,220,24,True,0.0,0.18948102945490428,0.3441466854724965,0.08668582428439435,0.04936530324400564,0.6198871650211566,0.952482265012738,0.952594131043668,0.0001118660309299413,0.1702169748120849,0.11475409836065574,0.00022909507445589838,,
external_lung,seed43,target_disjoint,3,1418,879,220,24,True,0.0,0.18948102945490428,0.3441466854724965,0.08668582428439435,0.04936530324400564,0.6198871650211566,0.9517920727086987,0.9517962940683566,4.221359657941015e-06,0.3326993410930132,0.06557377049180328,-0.0016036655211912887,,
external_lung,seed43,target_disjoint,7,1418,879,220,24,True,0.0,0.18948102945490428,0.3441466854724965,0.08668582428439435,0.04936530324400564,0.6198871650211566,0.9512242998347338,0.950981571654414,-0.0002427281803197845,0.5741026968631673,0.01639344262295082,-0.00435280641466218,,
external_lung,seed43,target_disjoint,11,1418,879,220,24,True,0.0,0.18948102945490428,0.3441466854724965,0.08668582428439435,0.04936530324400564,0.6198871650211566,0.9508844803822863,0.9512285211943915,0.0003440408121051508,0.2797800845430954,0.06557377049180328,0.00045819014891179677,,
external_lung,seed44,source_disjoint,0,1018,427,219,24,True,0.0,0.1417731681937593,0.2281434184675835,0.11990464254050553,0.043222003929273084,0.4194499017681729,0.930622094889383,0.9339863764428964,0.0033642815535134263,-0.29124952817373617,0.9344262295081968,0.02010869565217399,0.04950495049504944,0.029396254842875447
external_lung,seed44,source_disjoint,3,1018,427,219,24,True,0.0,0.1417731681937593,0.2281434184675835,0.11990464254050553,0.043222003929273084,0.4194499017681729,0.9308202269007795,0.9339348621199333,0.003114635219153783,-0.4009595932309029,0.9836065573770492,0.012499999999999956,0.00990099009900991,-0.002599009900990046
external_lung,seed44,source_disjoint,7,1018,427,219,24,True,0.0,0.1417731681937593,0.2281434184675835,0.11990464254050553,0.043222003929273084,0.4194499017681729,0.9331859231168542,0.9377508846594309,0.004564961542576684,-0.35141521177828866,1.0,0.013043478260869601,0.07920792079207917,0.06616444253120957
external_lung,seed44,source_disjoint,11,1018,427,219,24,True,0.0,0.1417731681937593,0.2281434184675835,0.11990464254050553,0.043222003929273084,0.4194499017681729,0.9299325954897228,0.9355793578145248,0.0056467623248019905,-0.455380956037202,1.0,0.020652173913043526,0.04950495049504944,0.028852776582005912
external_lung,seed44,target_disjoint,0,1410,845,220,24,True,0.0,0.1872634554481164,0.33705673758865246,0.0848545112831353,0.05319148936170213,0.599290780141844,0.9473299471121119,0.9473215688328008,-8.378279311105352e-06,0.6009753032875776,0.01639344262295082,-0.0017929179740027168,-0.0035714285714285587,-0.001778510597425842
external_lung,seed44,target_disjoint,3,1410,845,220,24,True,0.0,0.1872634554481164,0.33705673758865246,0.0848545112831353,0.05319148936170213,0.599290780141844,0.9459747604335761,0.9466617793370685,0.0006870189034924312,1.029073771206541,0.01639344262295082,-0.0013446884805020654,0.024999999999999967,0.026344688480502032
external_lung,seed44,target_disjoint,7,1410,845,220,24,True,0.0,0.1872634554481164,0.33705673758865246,0.0848545112831353,0.05319148936170213,0.599290780141844,0.9458344242551187,0.946230297952558,0.00039587369743931955,0.7459577693955998,0.01639344262295082,0.0004482294935005404,0.01785714285714285,0.01740891336364231
external_lung,seed44,target_disjoint,11,1410,845,220,24,True,0.0,0.1872634554481164,0.33705673758865246,0.0848545112831353,0.05319148936170213,0.599290780141844,0.9457757762999424,0.946477457192229,0.0007016808922866158,0.8838349331507204,0.01639344262295082,-0.003361721201255108,0.0035714285714286143,0.006933149772683722
immune,seed42_main,source_disjoint,0,1180,289,220,24,True,0.0,0.09880273989463105,0.17436440677966103,0.048303953710443374,0.030508474576271188,0.24491525423728813,0.9669901630685944,0.9657862748981549,-0.0012038881704394822,0.5453778954559402,0.01639344262295082,-0.024590163934426146,0.2115942028985507,0.23618436683297683
immune,seed42_main,source_disjoint,3,1180,289,220,24,True,0.0,0.09880273989463105,0.17436440677966103,0.048303953710443374,0.030508474576271188,0.24491525423728813,0.964609571299306,0.9644309298288537,-0.00017864147045232315,0.534873385282022,0.01639344262295082,0.0,0.12753623188405794,0.12753623188405794
immune,seed42_main,source_disjoint,7,1180,289,220,24,True,0.0,0.09880273989463105,0.17436440677966103,0.048303953710443374,0.030508474576271188,0.24491525423728813,0.9637746166004528,0.9633590810061398,-0.00041553559431306564,0.48255056836085647,0.01639344262295082,-0.016393442622950838,0.17971014492753623,0.19610358755048707
