domain,split_regime,n_rows,mean_interaction_coef,fraction_interaction_positive,fraction_p_interaction_lt_0_05,combined_fisher_p_interaction,mean_auc_delta_full_minus_base,mean_top_bottom_uplift_gap,fraction_top_bottom_uplift_positive
external_lung,source_disjoint,12,0.014941861721435573,0.5833333333333334,0.4166666666666667,0.0027848874600337257,0.0025444885865651503,0.0024887204782825197,0.5
external_lung,target_disjoint,12,0.4300604773323398,1.0,0.5,1.2599411452459905e-06,0.00031684201511140525,0.035725399739294915,0.5833333333333334
immune,source_disjoint,12,0.22936732652437095,0.8333333333333334,0.3333333333333333,0.00022485295977994462,-0.00025539469614976884,0.12769033675056593,0.6666666666666666
immune,target_disjoint,12,0.14002083800561,0.6666666666666666,0.25,0.0005543387333800555,0.0008685035861045187,0.0743715546830502,0.3333333333333333
lung,source_disjoint,12,-0.022997046386612378,0.3333333333333333,0.3333333333333333,0.08671788206519203,0.0015508675904849316,-0.024356866572177397,0.25
lung,target_disjoint,12,-0.0012496797420157464,0.5833333333333334,0.25,0.10075132238167929,0.0012004926936088252,-0.009085403954484761,0.3333333333333333
