domain,seed_tag,split_regime,layers_used,n_edges_eval,n_train_edges,n_test_edges,n_positive_eval,n_motifs,auc_motif_augmented,auc_baseline,delta_auc_motif_minus_baseline,best_motif_enrichment,p_enrichment_upper,null_q95,null_gap_q95,p_layer_order_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,"0,3,7,11",704,492,212,337,3,0.8562126482918563,0.8496119882258496,0.0066006600660066805,0.4422002032520325,0.07692307692307693,0.0066006600660066805,0.0,1.0,0.07692307692307693,0.07692307692307693
external_lung,seed42_main,target_disjoint,"0,3,7,11",1014,709,305,671,3,0.8387965010093241,0.8361530327790061,0.0026434682303180246,0.2599023164429882,0.07692307692307693,0.0026434682303180246,0.0,1.0,0.07692307692307693,0.07692307692307693
immune,seed42_main,source_disjoint,"0,3,7,11",953,667,286,240,3,0.887331256490135,0.885773624091381,0.0015576323987539498,0.6117623006678479,0.07692307692307693,0.0015576323987539498,0.0,1.0,0.07692307692307693,0.07692307692307693
immune,seed42_main,target_disjoint,"0,3,7,11",1111,777,334,276,3,0.8809100945615129,0.8799980799692795,0.0009120145922334455,0.6467700419313323,0.07692307692307693,0.0009120145922334455,0.0,1.0,0.07692307692307693,0.07692307692307693
lung,seed42_main,source_disjoint,"0,3,7,11",690,483,207,342,3,0.7306758775205378,0.7308625840179238,-0.0001867064973860577,0.4706932248161634,0.07692307692307693,-0.0001867064973860577,0.0,1.0,0.07692307692307693,0.07692307692307693
lung,seed42_main,target_disjoint,"0,3,7,11",879,615,264,561,3,0.802703373015873,0.8137400793650793,-0.011036706349206282,0.23923647932131498,0.07692307692307693,-0.011036706349206282,0.0,1.0,0.07692307692307693,0.07692307692307693
