domain,split_regime,n_rows,mean_auc_motif_augmented,mean_auc_baseline,mean_delta_auc_motif_minus_baseline,mean_best_motif_enrichment,mean_null_gap_q95,fraction_delta_positive,fraction_enrichment_p_lt_0_05,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,0.8562126482918563,0.8496119882258496,0.0066006600660066805,0.4422002032520325,0.0,1.0,0.0,0.0,0.07692307692307693
external_lung,target_disjoint,1,0.8387965010093241,0.8361530327790061,0.0026434682303180246,0.2599023164429882,0.0,1.0,0.0,0.0,0.07692307692307693
immune,source_disjoint,1,0.887331256490135,0.885773624091381,0.0015576323987539498,0.6117623006678479,0.0,1.0,0.0,0.0,0.07692307692307693
immune,target_disjoint,1,0.8809100945615129,0.8799980799692795,0.0009120145922334455,0.6467700419313323,0.0,1.0,0.0,0.0,0.07692307692307693
lung,source_disjoint,1,0.7306758775205378,0.7308625840179238,-0.0001867064973860577,0.4706932248161634,0.0,0.0,0.0,0.0,0.07692307692307693
lung,target_disjoint,1,0.802703373015873,0.8137400793650793,-0.011036706349206282,0.23923647932131498,0.0,0.0,0.0,0.0,0.07692307692307693
