domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_triangle_defect,auc_directed_geodesic_baseline,delta_auc_triangle_defect_minus_baseline,mean_triangle_median_defect,mean_triangle_tail_defect,mean_triangle_close_frac,q95_endpoint_swap,q95_random_third,q95_label,null_gap_q95_endpoint_swap,null_gap_q95_random_third,null_gap_q95_label,p_swap_upper,p_random_third_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,169,0.8388246994235077,0.8354530680228657,0.0033716314006420056,0.30575820935457254,0.39457883655259934,0.39709595959595956,-0.019912838881297502,0.01167942819718788,-0.025497052854567017,0.023284470281939508,-0.008307796796545874,0.028868684255209023,0.02040816326530612,1.0,0.02040816326530612,0.02040816326530612
external_lung,seed42_main,source_disjoint,11,704,337,169,0.8317256769540505,0.8441691798931105,-0.012443502939059936,0.2834102133544988,0.37261634714270947,0.39217369002525254,-0.029076075970860076,0.014569571228745382,-0.013296921870325608,0.01663257303180014,-0.027013074167805316,0.0008534189312656721,0.02040816326530612,1.0,0.061224489795918366,0.02040816326530612
external_lung,seed42_main,target_disjoint,7,1014,671,170,0.8742749388450292,0.8223703362545784,0.05190460259045071,0.39526436671324394,0.4433555490009139,0.24753451676528598,0.006875643593609454,0.03328394589685992,0.00829339613213815,0.045028958996841256,0.01862065669359079,0.04361120645831256,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed42_main,target_disjoint,11,1014,671,170,0.850208339669698,0.8347664379782145,0.015441901691483517,0.2761733910444919,0.3611873031815078,0.41328347578347574,-0.029873605818738016,0.03549139050979134,-0.0011012239684036593,0.04531550751022154,-0.02004948881830782,0.016543125659887175,0.02040816326530612,1.0,0.02040816326530612,0.02040816326530612
external_lung,seed43,source_disjoint,7,784,378,170,0.8796947897933118,0.8143912737508795,0.06530351604243234,0.3902620140357127,0.4393899851927313,0.29846938775510207,0.018112570698777707,0.00793422733077922,-0.0037261839601740124,0.04719094534365463,0.05736928871165312,0.06902970000260636,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed43,source_disjoint,11,784,378,170,0.8279706518622774,0.8215328276904632,0.006437824171814155,0.2702824077350762,0.3583992355159005,0.4554191468253968,-0.02334916725310823,0.007487228607918228,-0.014130633096150319,0.029786991424922384,-0.0010494044361040733,0.020568457267964475,0.02040816326530612,0.2653061224489796,0.02040816326530612,0.02040816326530612
external_lung,seed43,target_disjoint,7,1034,686,170,0.8889049462149392,0.803012214738112,0.08589273147682719,0.4083284155196953,0.45759430905577864,0.2311411992263056,0.027293509768439334,0.025364640930263724,0.022107586877115337,0.058599221708387855,0.06052809054656347,0.06378514459971185,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed43,target_disjoint,11,1034,686,170,0.8472215240776115,0.8090274287054724,0.038194095372139136,0.275369799837724,0.36190685881034085,0.3897686976144422,-0.022309909185349065,0.027584531349485575,0.01710712610167216,0.0605040045574882,0.010609564022653561,0.021086969270466976,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed44,source_disjoint,7,759,351,170,0.8375858890564774,0.8055555555555555,0.03203033350092188,0.2964497196794595,0.3885459245642693,0.4003714683062509,-0.011561854086363794,0.01656157477235921,-0.004150955253896429,0.043592187587285676,0.015468758728562671,0.03618128875481831,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
external_lung,seed44,source_disjoint,11,759,351,170,0.8574171833975756,0.8272233394782414,0.030193843919334107,0.40879146432587143,0.4623461485266017,0.21739130434782608,0.006264663985252194,0.0166118512932239,-0.0015152784760628225,0.02392917993408191,0.013581992626110206,0.03170912239539693,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
