domain,split_regime,layer,train_domains,n_train_genes,n_shared_target_symbols,n_edges_eval,n_positive_eval,n_tokens_sc,n_tokens_gf,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,null_q95,null_gap_q95,mapped_to_sc_cosine,p_teacher_assign_upper,p_anchor_shuffle_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,440,220,994,610,12,12,0.31492699795081963,0.8689079576502732,-0.5539809596994536,-0.3502495303961748,-0.2037314293032788,0.06811987458349103,0.96,0.92,1.0,0.92
external_lung,source_disjoint,11,immune+lung,440,220,994,610,12,12,0.4920487534153005,0.8780118681693989,-0.3859631147540984,-0.2411362278005464,-0.144826886953552,0.05519053143739477,0.68,0.72,0.64,0.64
external_lung,target_disjoint,7,immune+lung,440,220,817,502,12,12,0.27488775058496173,0.8623664073863277,-0.587478656801366,-0.3462902358818693,-0.24118842091949672,0.06811987458349103,0.96,0.88,1.0,0.88
external_lung,target_disjoint,11,immune+lung,440,220,817,502,12,12,0.5691551255296274,0.8752513754505786,-0.3060962499209512,-0.20727644975652934,-0.09881980016442185,0.05519053143739477,0.36,0.32,0.04,0.04
immune,source_disjoint,7,external_lung+lung,440,220,1026,249,12,12,0.31690468437456387,0.8540002997834323,-0.5370956154088684,-0.3021325973133202,-0.2349630180955482,-0.09947494316455886,0.8,0.72,1.0,0.72
immune,source_disjoint,11,external_lung+lung,440,220,1026,249,12,12,0.4020250887720767,0.8594868534627571,-0.4574617646906804,-0.3220524310885757,-0.13540933360210472,-0.09713764770066995,0.36,0.52,1.0,0.36
immune,target_disjoint,7,external_lung+lung,440,220,943,244,12,12,0.28845950890030253,0.8808397241961585,-0.5923802152958559,-0.32814324913811305,-0.2642369661577429,-0.09947494316455886,0.68,0.72,1.0,0.68
immune,target_disjoint,11,external_lung+lung,440,220,943,244,12,12,0.33900302539928234,0.8919885550786838,-0.5529855296794015,-0.38363088956119973,-0.16935464011820178,-0.09713764770066995,0.48,0.48,1.0,0.48
lung,source_disjoint,7,external_lung+immune,440,220,970,627,12,12,0.7705976443892664,0.864391963210438,-0.09379431882117162,-0.12013556618819772,0.026341247367026102,0.04850574832026335,0.04,0.04,0.04,0.04
lung,source_disjoint,11,external_lung+immune,440,220,970,627,12,12,0.38423052064298036,0.8677630997716926,-0.4835325791287123,-0.3209468476385769,-0.1625857314901354,0.06284455910714981,0.64,0.72,1.0,0.64
lung,target_disjoint,7,external_lung+immune,440,220,750,484,12,12,0.7691581743615237,0.8618188032063628,-0.09266062884483917,-0.120808930901634,0.028148302056794833,0.04850574832026335,0.04,0.08,0.04,0.04
lung,target_disjoint,11,external_lung+immune,440,220,750,484,12,12,0.3724367737525633,0.8599235692537127,-0.48748679550114943,-0.3126831153296463,-0.1748036801715031,0.06284455910714981,0.72,0.56,1.0,0.56
