domain,split_regime,n_rows,mean_auc_triangle_defect,mean_auc_directed_geodesic_baseline,mean_delta_auc_triangle_defect_minus_baseline,bootstrap_ci95_delta_lo,bootstrap_ci95_delta_hi,mean_null_gap_q95_endpoint_swap,mean_null_gap_q95_random_third,mean_null_gap_q95_label,fraction_delta_positive,fraction_random_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.8455364817478667,0.824720874065186,0.02081560768268076,0.0025702887071900418,0.04281531275116074,0.030736057933947375,0.008341627444311791,0.031201778601210123,0.8333333333333334,0.5,1.0,5.249648890992204e-06
external_lung,target_disjoint,6,0.8682185947860881,0.8194237302676347,0.04879486451845324,0.03097037838737688,0.06838784640504242,0.04951592161424692,0.019805305703718426,0.034617055842909424,1.0,0.8333333333333334,1.0,5.249648890992204e-06
immune,source_disjoint,6,0.8962875672062456,0.8908534881844347,0.005434079021810996,-0.005572703121677218,0.017785455858275345,0.00782609686567963,0.0008120026467081,0.03067733716016095,0.6666666666666666,0.6666666666666666,1.0,9.09788579855857e-06
immune,target_disjoint,6,0.894742769864961,0.8834927971080003,0.011249972756960788,-0.0023669823142354884,0.02529038586830908,0.019442539663661572,0.002455687829378009,0.02082472261658236,0.6666666666666666,0.5,1.0,5.249648890992204e-06
lung,source_disjoint,6,0.8315640335627766,0.8130052109941146,0.018558822568662037,0.0040242534240877426,0.03225050679785857,0.028754170330203735,0.0001520222843326936,0.019346571077969214,0.6666666666666666,0.5,1.0,5.249648890992204e-06
lung,target_disjoint,6,0.8677597100045263,0.81441586677562,0.05334384322890647,0.04220086949735094,0.06327196314166876,0.03954801749214217,0.029020903905411746,0.04236966893078147,1.0,1.0,1.0,5.249648890992204e-06
