domain,seed_tag,split_regime,layer,n_modules,module_spearman_scgpt_geneformer,top_module_jaccard,q95_null_spearman,null_gap_q95_spearman,q95_null_top_jaccard,null_gap_q95_top_jaccard,p_spearman_upper,p_top_jaccard_upper,p_best_upper
external_lung,seed42_main,other,7,64,-0.14317765567765567,0.08333333333333333,0.1974748168498168,-0.34065247252747244,0.18181818181818182,-0.0984848484848485,0.875968992248062,0.8449612403100775,0.8449612403100775
external_lung,seed42_main,other,11,64,0.10467032967032966,0.18181818181818182,0.204587912087912,-0.09991758241758233,0.23809523809523808,-0.05627705627705626,0.24806201550387597,0.2713178294573643,0.24806201550387597
immune,seed42_main,other,7,64,0.1163003663003663,0.0,0.1826671245421244,-0.06636675824175808,0.23809523809523808,-0.23809523809523808,0.13178294573643412,1.0,0.13178294573643412
immune,seed42_main,other,11,64,0.12994505494505493,0.04,0.21491300366300353,-0.0849679487179486,0.23809523809523808,-0.19809523809523807,0.17829457364341086,0.9922480620155039,0.17829457364341086
lung,seed42_main,other,7,64,-0.14075091575091572,0.18181818181818182,0.2218131868131867,-0.36256410256410243,0.21839826839826793,-0.0365800865800861,0.875968992248062,0.23255813953488372,0.23255813953488372
lung,seed42_main,other,11,64,-0.10027472527472525,0.18181818181818182,0.23329899267399246,-0.3335737179487177,0.23809523809523808,-0.05627705627705626,0.7906976744186046,0.21705426356589147,0.21705426356589147
