domain,split_regime,n_rows,mean_delta_auc_graph_bridge_curvature_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,0.0722934472934473,-0.0205965656160968,1.0,0.0,0.0,0.04900939651249096
external_lung,target_disjoint,4,0.07185680879645753,-0.0014111398577043282,1.0,0.5,0.0,0.04900939651249096
immune,source_disjoint,4,0.06796287593984962,-0.017376204182330768,1.0,0.0,0.0,0.04900939651249096
immune,target_disjoint,4,0.06447407407407407,-0.020630370370370372,1.0,0.0,0.0,0.04900939651249096
lung,source_disjoint,4,0.11480510244899778,-0.0015972932130316198,1.0,0.25,0.0,0.04900939651249096
lung,target_disjoint,4,0.07120899178634899,-0.0006196263028963658,1.0,0.5,0.0,0.04900939651249096
