domain,n_rows,mean_module_spearman_scgpt_geneformer,mean_top_module_jaccard,mean_null_gap_q95_spearman,mean_null_gap_q95_top_jaccard,fraction_spearman_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,2,-0.019253663003663005,0.13257575757575757,-0.22028502747252737,-0.07738095238095238,0.0,0.0,0.537115743684053
immune,2,0.12312271062271062,0.02,-0.07566735347985334,-0.21809523809523806,0.0,0.0,0.11162842643209846
lung,2,-0.12051282051282049,0.18181818181818182,-0.34806891025641007,-0.04642857142857118,0.0,0.0,0.20121550689166687
