domain,split_regime,n_rows,mean_delta_auc_ontology_weighted_minus_global_weighted,mean_null_gap_q95_delta_auc,mean_between_strata_weighted_gain_variance,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,-0.006697275983259365,-0.05827666588844918,0.004771364377954011,0.3333333333333333,0.0,0.0,0.0248902250457501
external_lung,target_disjoint,6,-0.004144305577740555,-0.05074094168095424,0.0033504403729267256,0.3333333333333333,0.0,0.0,0.0248902250457501
immune,source_disjoint,6,-0.019116292652245237,-0.060364299031830486,0.0017167262091467945,0.0,0.0,0.0,0.0248902250457501
immune,target_disjoint,6,-0.009945729925003774,-0.051238817889510034,0.002041895230261465,0.3333333333333333,0.0,0.0,0.0248902250457501
lung,source_disjoint,6,-0.008106530196514713,-0.034932746543786974,0.0015277980112146745,0.3333333333333333,0.0,0.0,0.0248902250457501
lung,target_disjoint,6,-0.007983889316083403,-0.06317957017893984,0.0022748367891342763,0.16666666666666666,0.0,0.0,0.0248902250457501
