domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_global_weighted,auc_ontology_stratified_weighted,delta_auc_ontology_weighted_minus_global_weighted,mean_go_jaccard,between_strata_weighted_gain_variance,q95_null_delta_auc,null_gap_q95_delta_auc,p_stratum_shuffle_upper,p_conf_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,280,134,0.9143835616438357,0.9170415048047433,0.0026579431609076165,0.12205323914333739,0.003571226508426218,0.06124386628501322,-0.058585923124105606,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
external_lung,seed42_main,source_disjoint,11,280,134,0.9235074626865671,0.9050807605806584,-0.018426702105908688,0.11732998236904216,0.006808818459394792,0.04746856471069323,-0.06589526681660192,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.14285714285714285
external_lung,seed42_main,target_disjoint,7,280,185,0.9368990042674253,0.9438406827880511,0.006941678520625771,0.09110879997981533,0.002785227988086163,0.04370412517780931,-0.03676244665718354,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed42_main,target_disjoint,11,280,185,0.9380938833570414,0.9380369843527739,-5.6899004267418896e-05,0.09224597733586366,0.006882404555551068,0.07279516358463728,-0.0728520625889047,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed43,source_disjoint,7,280,135,0.930727969348659,0.9198467432950191,-0.010881226053639836,0.11628031164359735,0.0034438645741893662,0.0710587484035758,-0.08193997445721564,0.42857142857142855,0.14285714285714285,1.0,0.14285714285714285
external_lung,seed43,source_disjoint,11,280,135,0.9291443167305237,0.9252107279693487,-0.003933588761175,0.11431977808917324,0.007880390194629532,0.053366538952745776,-0.057300127713920776,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed43,target_disjoint,7,280,186,0.9549874170670327,0.9424044840997483,-0.01258293296728441,0.08851649959883416,0.0004707175911432304,0.07545184168382524,-0.08803477465110965,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285
external_lung,seed43,target_disjoint,11,280,186,0.9334248455730955,0.9357698467169985,0.002345001143903014,0.08293048414593136,0.00884206356574247,0.018045069778082776,-0.015700068634179762,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
external_lung,seed44,source_disjoint,7,280,129,0.9291031367113303,0.9175522357410545,-0.01155090097027578,0.1212137494992989,0.0003629903181383008,0.07088787925458184,-0.08243878022485762,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.14285714285714285
external_lung,seed44,source_disjoint,11,280,129,0.9135992607423379,0.9155500795728734,0.0019508188305354945,0.11987097591268449,0.006560896212945862,0.005450741824529008,-0.0034999229939935133,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285
external_lung,seed44,target_disjoint,7,280,184,0.9295176630434783,0.9265172101449275,-0.003000452898550776,0.08498892839759668,0.0005574333236386922,0.015538666213768093,-0.01853911911231887,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
external_lung,seed44,target_disjoint,11,280,184,0.8954370471014493,0.8769248188405798,-0.018512228260869512,0.0824986119344599,0.0005647952133987305,0.054044950181159415,-0.07255717844202893,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.14285714285714285
immune,seed42_main,source_disjoint,7,280,71,0.9572073589864546,0.9495922905856189,-0.007615068400835701,0.04633862196821148,0.002356640109338675,0.09823269762113337,-0.10584776602196908,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed42_main,source_disjoint,11,280,71,0.959970348406227,0.939753352651796,-0.020216995754430922,0.04692987538780174,0.005567440493051332,0.0675668845609542,-0.08778388031538512,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.14285714285714285
immune,seed42_main,target_disjoint,7,280,70,0.945374149659864,0.936122448979592,-0.009251700680272035,0.04479798895740737,0.0005103729435930413,0.04584863945578221,-0.05510034013605424,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.14285714285714285
immune,seed42_main,target_disjoint,11,280,70,0.9604761904761906,0.9443537414965987,-0.01612244897959192,0.041338533845841546,0.005073815174496875,0.06188265306122451,-0.07800510204081643,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285
immune,seed43,source_disjoint,7,280,71,0.9794460543163286,0.9492553406563785,-0.030190713659950075,0.04510335647926835,7.995446954409618e-05,0.0478485747017992,-0.07803928836174928,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed43,source_disjoint,11,280,71,0.9578812588449356,0.9551856594110115,-0.0026955994339240563,0.04874267919710609,0.00045450907831806717,0.009414381022979968,-0.012109980456904024,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
immune,seed43,target_disjoint,7,280,71,0.9400229125951883,0.9621268279533661,0.022103915358177795,0.04776216129959099,0.003652401299461184,0.02977289574769187,-0.007668980389514076,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
immune,seed43,target_disjoint,11,280,71,0.9556573893119484,0.9170429274209853,-0.03861446189096318,0.046635970040562774,0.0008366386783982141,0.02475739605094685,-0.06337185794191003,1.0,0.14285714285714285,0.8571428571428571,0.14285714285714285
immune,seed44,source_disjoint,7,280,71,0.9562638991845813,0.9223667363029854,-0.033897162881595944,0.05139137903612606,0.0006903980968425774,0.01997102230608522,-0.05386818518768116,1.0,0.14285714285714285,0.5714285714285714,0.14285714285714285
immune,seed44,source_disjoint,11,280,71,0.9784352045286071,0.9583529887458724,-0.020082215782734725,0.05244281945771682,0.0011514150077860182,0.004454478064559494,-0.02453669384729422,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.14285714285714285
immune,seed44,target_disjoint,7,280,69,0.9579641458891407,0.9377704512672573,-0.020193694621883362,0.04148277542719441,0.00010365982361993795,0.05705233875953003,-0.07724603338141339,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285
immune,seed44,target_disjoint,11,280,69,0.9835840373652036,0.9859880486297137,0.002404011264510064,0.04449427787481771,0.0020744834619995387,0.028444604711862036,-0.026040593447351972,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,source_disjoint,7,280,139,0.9102505229858666,0.8944333894586458,-0.015817133527220806,0.10471800964244571,0.0026309042413222385,0.011018419307107483,-0.02683555283432829,1.0,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,source_disjoint,11,280,139,0.9118832593499667,0.8959130567886116,-0.015970202561355173,0.11268651864812816,3.6992732565176795e-05,0.027370018878514174,-0.04334022143986935,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285
lung,seed42_main,target_disjoint,7,280,179,0.9482272249571326,0.9320205763593119,-0.016206648597820728,0.10479713305264524,0.0030139441847341496,0.013745229271530487,-0.029951877869351214,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed42_main,target_disjoint,11,280,179,0.928203993583716,0.9211792687648653,-0.007024724818850636,0.10171477622521309,0.00594813942660228,0.05158194590408749,-0.058606670722938126,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
lung,seed43,source_disjoint,7,280,141,0.9033113934384407,0.9198428491249552,0.016531455686514485,0.11089528334149436,0.0006666885732960507,0.03478238685647224,-0.018250931169957754,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed43,source_disjoint,11,280,141,0.9219858156028368,0.9235165059441808,0.0015306903413440098,0.10782862398366107,0.002203063757569533,0.006275830399510209,-0.004745140058166199,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
lung,seed43,target_disjoint,7,280,185,0.9396301564722618,0.930697012802276,-0.008933143669985766,0.10261802034199231,0.0007384340202656026,0.08163869132290182,-0.09057183499288758,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
lung,seed43,target_disjoint,11,280,185,0.9219914651493599,0.9377809388335704,0.015789473684210464,0.1056522042661209,0.0018425470471794079,0.058284495021337104,-0.04249502133712664,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
lung,seed44,source_disjoint,7,280,137,0.9103159614108519,0.8886223265785309,-0.021693634832321007,0.10751512631543897,0.0015374165954865485,0.027185952733397974,-0.04887958756571898,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.14285714285714285
lung,seed44,source_disjoint,11,280,137,0.910673268337502,0.8974529120514522,-0.013220356286049784,0.10705549209080362,0.0020917221670484986,0.05432468990863148,-0.06754504619468127,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285
lung,seed44,target_disjoint,7,280,179,0.9607832291609049,0.945793462027767,-0.014989767133137821,0.09994809349970753,0.00025210827073957775,0.08254881354057185,-0.09753858067370967,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285
lung,seed44,target_disjoint,11,280,179,0.9534819403728082,0.9369434150118923,-0.016538525360915934,0.10085541087814184,0.0018538477852846388,0.043374910116709894,-0.05991343547762583,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.14285714285714285
