domain,split_regime,n_rows,mean_delta_auc_module_minus_defect,mean_interaction_delta_high_minus_low,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.045155529428957064,-0.3831761006289308,-0.004031101426277137,1.0,0.0,1.0,0.00012122818841626813
external_lung,target_disjoint,6,0.006984544393542032,-0.3090659948221713,-0.03367169692816447,0.6666666666666666,0.0,0.5,0.023813894628948153
immune,source_disjoint,6,0.031982211652014945,0.2558376406202494,-0.003288562351233797,1.0,0.0,1.0,0.00012122818841626813
immune,target_disjoint,6,0.023857312361283967,0.19813572490091147,-0.007189475527630187,1.0,0.0,1.0,0.00012122818841626813
lung,source_disjoint,6,0.050738021944288746,-0.30270833333333336,-0.005026784767066163,1.0,0.0,1.0,0.00012122818841626813
lung,target_disjoint,6,0.04875280412980445,-0.1731750740236443,0.0037495858652140447,1.0,1.0,1.0,0.00012122818841626813
