null_kind,domain,layer,perm_idx,null_spearman
module_label_permutation,lung,7,13,0.07163908277918661
module_label_permutation,lung,7,14,-0.0265927472895096
module_label_permutation,lung,7,15,-0.0246958207970332
module_label_permutation,lung,7,16,-0.0706993399769349
module_label_permutation,lung,7,17,0.10942275158986739
module_label_permutation,lung,7,18,0.07921634595471146
module_label_permutation,lung,7,19,0.06839978481656493
module_label_permutation,lung,7,20,0.03808630918554047
module_label_permutation,lung,7,21,-0.11980590749797823
module_label_permutation,lung,7,22,0.06131695325713266
module_label_permutation,lung,7,23,0.0008365271924596637
module_label_permutation,lung,11,0,-0.05531408556044806
module_label_permutation,lung,11,1,-0.01855825024985368
module_label_permutation,lung,11,2,0.022776278004476812
module_label_permutation,lung,11,3,-0.022802071455769516
module_label_permutation,lung,11,4,-0.003443229265856841
module_label_permutation,lung,11,5,-0.029149459396851957
module_label_permutation,lung,11,6,0.07479856735897517
module_label_permutation,lung,11,7,-0.10281570678546359
module_label_permutation,lung,11,8,0.010163890669812204
module_label_permutation,lung,11,9,0.15514931515418692
module_label_permutation,lung,11,10,-0.03724458149820104
module_label_permutation,lung,11,11,-0.03633196153419683
module_label_permutation,lung,11,12,0.038404174803448474
module_label_permutation,lung,11,13,-0.018816678057311163
module_label_permutation,lung,11,14,-0.04619992565131725
module_label_permutation,lung,11,15,0.017659300396988393
module_label_permutation,lung,11,16,-0.010427962101134378
module_label_permutation,lung,11,17,-0.10905771363737479
module_label_permutation,lung,11,18,-0.00048662251284869226
module_label_permutation,lung,11,19,0.0026697016375756394
module_label_permutation,lung,11,20,-0.11022255760304743
module_label_permutation,lung,11,21,0.021462057766261037
module_label_permutation,lung,11,22,-0.0937155932290627
module_label_permutation,lung,11,23,0.06326185473292108
module_membership_permutation,external_lung,7,0,0.19003531336685545
module_membership_permutation,external_lung,7,1,0.07884994517156708
module_membership_permutation,external_lung,7,2,0.029530207525999008
module_membership_permutation,external_lung,7,3,0.12438686625218447
module_membership_permutation,external_lung,7,4,0.07672015857797135
module_membership_permutation,external_lung,7,5,0.11393045192584779
module_membership_permutation,external_lung,7,6,0.108555255534008
module_membership_permutation,external_lung,7,7,0.09226043289086598
module_membership_permutation,external_lung,7,8,0.17317493272507722
module_membership_permutation,external_lung,7,9,0.1635287170407559
module_membership_permutation,external_lung,7,10,0.12354958657654284
module_membership_permutation,external_lung,7,11,0.10793534316686161
module_membership_permutation,external_lung,7,12,0.030852822132155754
module_membership_permutation,external_lung,7,13,0.15158744437330787
module_membership_permutation,external_lung,7,14,0.17909632321500416
module_membership_permutation,external_lung,7,15,0.12090534395329014
module_membership_permutation,external_lung,7,16,0.20237547736905995
module_membership_permutation,external_lung,7,17,0.13013478428589706
module_membership_permutation,external_lung,7,18,0.06510466096276613
module_membership_permutation,external_lung,7,19,-0.0019012908949317601
module_membership_permutation,external_lung,7,20,0.09175454680855916
module_membership_permutation,external_lung,7,21,0.11513047866073914
module_membership_permutation,external_lung,7,22,0.19760144815221153
module_membership_permutation,external_lung,7,23,0.15105251244017742
module_membership_permutation,external_lung,11,0,0.24748351647965763
module_membership_permutation,external_lung,11,1,0.24062974080081373
module_membership_permutation,external_lung,11,2,0.13266020981471843
module_membership_permutation,external_lung,11,3,0.07684835662940444
module_membership_permutation,external_lung,11,4,0.1635358238263633
module_membership_permutation,external_lung,11,5,0.27050001219858855
module_membership_permutation,external_lung,11,6,0.2858360709368237
module_membership_permutation,external_lung,11,7,0.0684899072189909
module_membership_permutation,external_lung,11,8,0.1319982252767763
module_membership_permutation,external_lung,11,9,0.12174460516797761
module_membership_permutation,external_lung,11,10,0.10665009353115125
module_membership_permutation,external_lung,11,11,0.19469279129974265
module_membership_permutation,external_lung,11,12,0.07673138729923103
module_membership_permutation,external_lung,11,13,0.14263987587973856
module_membership_permutation,external_lung,11,14,0.18392853610366655
module_membership_permutation,external_lung,11,15,0.2841556087730242
module_membership_permutation,external_lung,11,16,0.15385893191099076
module_membership_permutation,external_lung,11,17,0.15051550699783442
module_membership_permutation,external_lung,11,18,0.10696339408442206
module_membership_permutation,external_lung,11,19,0.1537769446878542
module_membership_permutation,external_lung,11,20,0.1265449712961946
module_membership_permutation,external_lung,11,21,0.11493958203840036
module_membership_permutation,external_lung,11,22,0.1739146153320188
module_membership_permutation,external_lung,11,23,0.12254180257279354
module_membership_permutation,immune,7,0,0.07615212574575893
module_membership_permutation,immune,7,1,0.09065046167936756
module_membership_permutation,immune,7,2,0.24984291913576606
module_membership_permutation,immune,7,3,0.18474205403260674
module_membership_permutation,immune,7,4,0.08424921266430535
module_membership_permutation,immune,7,5,0.19190301006817484
module_membership_permutation,immune,7,6,0.23397702862818925
module_membership_permutation,immune,7,7,0.1400176893746415
module_membership_permutation,immune,7,8,0.19291900449953175
module_membership_permutation,immune,7,9,0.24389129554377287
module_membership_permutation,immune,7,10,0.1327509592864627
module_membership_permutation,immune,7,11,0.24983341276490068
module_membership_permutation,immune,7,12,0.19767173844233077
module_membership_permutation,immune,7,13,0.30629412383709376
module_membership_permutation,immune,7,14,0.22478701841431697
