domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_modules,auc_defect,auc_module_calibrated,delta_auc_module_minus_defect,interaction_delta_high_minus_low,mean_module_weight,q95_null,null_gap_q95,p_module_perm_upper,p_weight_perm_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,9,0.8397060131469367,0.8898802545298719,0.050174241382935136,-0.2941823899371069,0.5962105574736563,0.050259542848826486,-8.530146589134924e-05,0.12,0.16,0.04,0.04
external_lung,seed42_main,source_disjoint,11,704,337,9,0.8309494740416725,0.8748574939965557,0.04390801995488314,-0.47216981132075475,0.5962105574736563,0.046982915450480583,-0.003074895495597446,1.0,0.24,0.04,0.04
external_lung,seed42_main,target_disjoint,7,1014,671,9,0.8741359009007051,0.8891997931810578,0.015063892280352653,-0.19355932203389817,0.281534132785288,0.04131230094763048,-0.026248408667277824,1.0,0.48,0.04,0.04
external_lung,seed42_main,target_disjoint,11,1014,671,9,0.8501170960187353,0.8692348133632845,0.019117717344549146,-0.2798418079096044,0.281534132785288,0.04154279978970517,-0.022425082445156022,1.0,0.4,0.04,0.04
external_lung,seed43,source_disjoint,7,784,378,9,0.8798446581697814,0.9157218442932729,0.035877186123491445,,0.5905151394739405,0.03879277764745739,-0.002915591523965942,1.0,0.24,0.04,0.04
external_lung,seed43,source_disjoint,11,784,378,9,0.8287460578100972,0.8739150832746891,0.045169025464591894,,0.5905151394739405,0.05543566085437999,-0.010266635389788094,1.0,0.28,0.04,0.04
external_lung,seed43,target_disjoint,7,1034,686,9,0.8888965684796085,0.8933681847123086,0.004471616232700093,-0.25087870093499426,0.3732668699244235,0.037220707248416626,-0.03274909101571653,1.0,0.68,0.16,0.16
external_lung,seed43,target_disjoint,11,1034,686,9,0.8654682316276263,0.8792223786066151,0.013754146978988802,-0.06536485761211258,0.3732668699244235,0.04740405398612662,-0.03364990700713782,1.0,0.64,0.04,0.04
external_lung,seed44,source_disjoint,7,759,351,9,0.8418803418803419,0.8893218255963353,0.04744148371599344,,0.5958132045088567,0.05289299480475947,-0.005451511088766035,1.0,0.12,0.04,0.04
external_lung,seed44,source_disjoint,11,759,351,9,0.8569702809898889,0.9053335009217363,0.048363219931847334,,0.5958132045088567,0.05075589352550129,-0.0023926735936539573,1.0,0.16,0.04,0.04
