domain,split_regime,layer,n_shared_genes,n_modules,mean_module_size,spearman_centroid_distance,cka_centroid_geometry,top1_profile_retrieval,q95_null_spearman,null_gap_q95_spearman,p_label_perm_upper,p_membership_perm_upper,p_signature_destroy_upper,p_best_upper
external_lung,heldout_domain_seed42,7,220,48,47.25,0.1373445179535046,0.2623851672184061,0.4166666666666667,0.2195654322670575,-0.08222091431355288,0.08,0.36,0.72,0.08
external_lung,heldout_domain_seed42,11,220,48,47.25,0.13746648711637593,0.1829491671901218,0.4583333333333333,0.30682954530233875,-0.1693630581859628,0.04,0.56,0.92,0.04
immune,heldout_domain_seed42,7,220,48,51.083333333333336,0.2229250823898017,0.2631857891585982,0.3125,0.38456258386738607,-0.16163750147758438,0.04,0.4,1.0,0.04
immune,heldout_domain_seed42,11,220,48,51.083333333333336,0.14898158675325932,0.18757830919431623,0.2916666666666667,0.3768561088783635,-0.2278745221251042,0.04,0.96,1.0,0.04
lung,heldout_domain_seed42,7,220,48,48.145833333333336,0.09990352998388803,0.19598544168800694,0.4791666666666667,0.25411644461528976,-0.15421291463140174,0.16,0.72,0.88,0.16
lung,heldout_domain_seed42,11,220,48,48.145833333333336,0.1552943939116686,0.18368631995740073,0.375,0.24384455045241718,-0.08855015654074858,0.04,0.36,0.68,0.04
