domain,split_regime,n_rows,mean_delta_auc_dropout_minus_baseline,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,-0.001978913154213724,-0.00591536356212455,0.25,0.0,0.0,0.08436507032967501
external_lung,target_disjoint,4,-0.020304971041003123,-0.02272493732430165,0.0,0.0,0.0,0.7205422209215482
immune,source_disjoint,4,-0.010761453950444061,-0.01194724462365587,0.0,0.0,0.0,0.14989398293466075
immune,target_disjoint,4,-0.0235637420810553,-0.023406719170354955,0.0,0.0,0.0,0.18962142349208863
lung,source_disjoint,4,-0.004262031995698079,-0.005784516367547241,0.0,0.0,0.0,0.6845397487660925
lung,target_disjoint,4,-0.011069350553257362,-0.013608967028778386,0.0,0.0,0.0,0.4583311380540961
