domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_baseline,auc_dropout_elasticity,delta_auc_dropout_minus_baseline,mean_targeted_inflation,mean_random_inflation,mean_advantage_random_minus_targeted,mean_targeted_slope_30_minus_10,q95_null,null_gap_q95,p_swap_upper,p_feature_shuffle_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,0.8304481763274282,0.8312809773688339,0.0008328010414057063,0.0,0.0423248283837216,0.036576846642850915,0.0,0.006519902327800241,-0.005687101286394535,0.4117647058823529,0.7647058823529411,0.23529411764705882,0.23529411764705882
external_lung,seed42_main,source_disjoint,3,704,337,0.8365122615803815,0.8349598557556255,-0.0015524058247560202,0.0,0.10153530784390016,0.09977421124571069,0.0,0.002951592428787407,-0.004503998253543427,0.5882352941176471,0.058823529411764705,0.7647058823529411,0.058823529411764705
external_lung,seed42_main,source_disjoint,7,704,337,0.8413150171007205,0.8375229424558737,-0.0037920746448468767,0.0,0.04152568327971246,0.04140048395266706,0.0,0.0016199193072388921,-0.005411993952085769,0.29411764705882354,0.5882352941176471,0.8823529411764706,0.29411764705882354
external_lung,seed42_main,source_disjoint,11,704,337,0.8523516522610952,0.8489476790724375,-0.003403973188657705,0.0,0.07010708427063393,0.06934197150359432,0.0,0.004654387567816764,-0.00805836075647447,0.7647058823529411,0.23529411764705882,0.7647058823529411,0.23529411764705882
external_lung,seed42_main,target_disjoint,0,1014,671,0.8013365022398142,0.7657992726577537,-0.035537229582060514,0.028802083450532347,0.013953739480086883,-0.016675177520777143,0.002803598123377063,0.001196812555126445,-0.03673404213718696,0.23529411764705882,0.5882352941176471,1.0,0.23529411764705882
external_lung,seed42_main,target_disjoint,3,1014,671,0.8165959166293728,0.8165959166293728,0.0,0.0,2.875206592531877e-18,2.0790108022458814e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
external_lung,seed42_main,target_disjoint,7,1014,671,0.8140541292096997,0.7683714746277477,-0.045682654581951976,0.04835885229948782,0.015139090561439514,-0.034080580700974236,0.01534210467772347,0.008483052578067663,-0.05416570716001964,0.5294117647058824,0.29411764705882354,1.0,0.29411764705882354
external_lung,seed42_main,target_disjoint,11,1014,671,0.8378600322394234,0.8378600322394234,0.0,0.0,3.304178553987179e-18,2.8871894839324472e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
immune,seed42_main,source_disjoint,0,953,240,0.8769430808789154,0.8568168536699392,-0.020126227208976166,0.03015611278790731,0.013045452087226902,-0.018866692717086336,0.002843507512536213,-0.00017516947171572234,-0.019951057737260445,0.058823529411764705,0.23529411764705882,0.9411764705882353,0.058823529411764705
immune,seed42_main,source_disjoint,3,953,240,0.8774135109864422,0.8767794530154278,-0.0006340579710143457,0.0,0.03910735505967025,0.03396611922077569,0.0,0.001824888966806975,-0.0024589469378213206,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.35294117647058826
immune,seed42_main,source_disjoint,7,953,240,0.878284244974287,0.878284244974287,0.0,0.0,2.5946513922195534e-18,2.1557318345087597e-18,0.0,0.0,0.0,1.0,1.0,1.0,1.0
immune,seed42_main,source_disjoint,11,953,240,0.8939107059373539,0.8716251753155682,-0.022285530621785732,0.02760494293936389,0.010399224201410038,-0.019790780269970266,0.002045826716568641,0.003093443197755978,-0.02537897381954171,0.11764705882352941,0.11764705882352941,1.0,0.11764705882352941
