domain,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,9,0.14484744700563315,-0.008177050461957278,1.0,0.0,9.873006382934651e-05
immune,9,0.10848600912531957,-0.011419450325538672,1.0,0.1111111111111111,0.0004651321150495044
lung,9,0.1480856456181786,-0.00508405915359949,1.0,0.0,4.384853396619088e-06
