domain,split_regime,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,dual_axis_disjoint,3,0.15838654901951085,-0.0025456027514671464,1.0,0.0,0.0036660386922399294
external_lung,source_disjoint,3,0.1451410145199423,-0.017419921487136485,1.0,0.0,0.046374232336288464
external_lung,target_disjoint,3,0.1310147774774463,-0.004565627147268205,1.0,0.0,0.008866142812280892
immune,dual_axis_disjoint,3,0.1238146153944069,-0.008968110767429127,1.0,0.0,0.011128201732476315
immune,source_disjoint,3,0.11177614323497272,-0.005671329426483,1.0,0.3333333333333333,0.011128201732476315
immune,target_disjoint,3,0.08986726874657909,-0.01961891078270389,1.0,0.0,0.07225653088394596
lung,dual_axis_disjoint,3,0.17390689443859186,-0.004764915687206124,1.0,0.0,0.0036660386922399294
lung,source_disjoint,3,0.1636295009456774,-0.004061526453530168,1.0,0.0,0.0036660386922399294
lung,target_disjoint,3,0.10672054147026655,-0.006425735320062177,1.0,0.0,0.0036660386922399294
