hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_sectional_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_endpoint_swap_upper,p_tangent_rotation_upper,p_label_upper,p_best_upper,mean_anisotropy_gap,mean_pair_alignment
H136,external_lung,seed42_main,source_disjoint,7,230,110,0.8075757575757576,0.8211363636363637,0.01356060606060605,0.022594696969696987,-0.009034090909090936,0.04,0.36,0.08,0.04,0.12700187174723593,0.2491817623284055
H136,external_lung,seed42_main,source_disjoint,11,230,110,0.7879545454545454,0.7987121212121213,0.010757575757575966,0.02079924242424249,-0.010041666666666525,0.04,0.48,0.24,0.04,0.11931433353400824,0.21389805262285988
H136,external_lung,seed42_main,target_disjoint,7,230,152,0.8736504723346828,0.865047233468286,-0.0086032388663968,0.009737685560053938,-0.018340924426450737,0.4,0.32,0.44,0.32,0.1116384564303177,0.28860441863222414
H136,external_lung,seed42_main,target_disjoint,11,230,152,0.8415148448043186,0.8372975708502024,-0.004217273954116196,0.00385458839406201,-0.008071862348178206,0.04,0.32,0.16,0.04,0.12209823362539726,0.2970306316576506
H136,immune,seed42_main,source_disjoint,7,230,58,0.8591118684843625,0.9183039294306334,0.05919206094627094,0.061332197273456346,-0.0021401363271854046,0.04,0.24,0.08,0.04,0.10555872455454574,0.20693271789713288
H136,immune,seed42_main,source_disjoint,11,230,58,0.8509923817161187,0.9024659182036889,0.05147353648757025,0.06921611868484367,-0.017742582197273427,0.04,0.52,0.08,0.04,0.11211631044684528,0.23135607069778144
H136,immune,seed42_main,target_disjoint,7,230,57,0.9118750633809958,0.9592333434742926,0.04735828009329679,0.04780955278369341,-0.00045127269039661744,0.04,0.28,0.04,0.04,0.10938973938499354,0.2331799859372779
H136,immune,seed42_main,target_disjoint,11,230,57,0.8988946354325119,0.9642024135483217,0.06530777811580979,0.06371057702058609,0.0015972010952236965,0.04,0.08,0.04,0.04,0.13156197654018212,0.2337820481649348
H136,lung,seed42_main,source_disjoint,7,230,114,0.8120084694494858,0.8102692075015123,-0.0017392619479734694,0.00703077737447066,-0.00877003932244413,0.36,0.2,0.12,0.12,0.11867842105293905,0.2875138617607835
H136,lung,seed42_main,source_disjoint,11,230,114,0.7869026013309135,0.8463399879007865,0.05943738656987296,0.03032743496672706,0.029109951603145903,0.04,0.04,0.04,0.04,0.11510383543847676,0.2757938288671606
H136,lung,seed42_main,target_disjoint,7,230,147,0.8732071141709696,0.8790263093189082,0.005819195147938605,0.02401442504712732,-0.018195229899188713,0.08,0.24,0.28,0.08,0.09635964798225426,0.2616289914955852
H136,lung,seed42_main,target_disjoint,11,230,147,0.8427997705106138,0.8530448323907877,0.010245061880173822,0.020666338824686572,-0.01042127694451275,0.12,0.52,0.08,0.08,0.10094183039077267,0.260044718826555
