hypothesis_id,domain,seed_tag,split_regime,layer,n_symbols,alignment_true,alignment_random_baseline,alignment_delta_vs_random,delta_vs_h70,q95_null_alignment_delta,q95_null_delta_auc,null_gap_q95,p_pairing_upper,p_spectrum_upper,p_best_upper
H137,external_lung,seed42_main,source_disjoint,7,220,0.06967107159502142,0.06890768878641987,0.0007633828086015537,0.0007633828086015537,0.03361086825105958,0.03361086825105958,-0.032847485442458024,0.3939393939393939,0.24242424242424243,0.24242424242424243
H137,external_lung,seed42_main,source_disjoint,11,220,0.06310951752121703,0.06429971973521292,-0.0011902022139958918,-0.0011902022139958918,0.02987386343924678,0.02987386343924678,-0.03106406565324267,0.42424242424242425,0.09090909090909091,0.09090909090909091
H137,external_lung,seed42_main,target_disjoint,7,220,0.03640760149078979,0.039152469591107936,-0.002744868100318147,-0.002744868100318147,0.03228917228071895,0.03228917228071895,-0.0350340403810371,0.6666666666666666,0.21212121212121213,0.21212121212121213
H137,external_lung,seed42_main,target_disjoint,11,220,0.031530019668645756,0.03429465921867021,-0.002764639550024456,-0.002764639550024456,0.030255954974259425,0.030255954974259425,-0.03302059452428388,0.7272727272727273,0.12121212121212122,0.12121212121212122
H137,immune,seed42_main,source_disjoint,7,220,0.04438375736765631,0.09182529795491658,-0.047441540587260266,-0.047441540587260266,0.07090000235593642,0.07090000235593642,-0.11834154294319668,1.0,0.30303030303030304,0.30303030303030304
H137,immune,seed42_main,source_disjoint,11,220,0.04683283808200742,0.10378870163439047,-0.056955863552383044,-0.056955863552383044,0.01893477445316416,0.01893477445316416,-0.07589063800554721,1.0,0.21212121212121213,0.21212121212121213
H137,immune,seed42_main,target_disjoint,7,220,0.11317312641868536,0.16161536819344385,-0.04844224177475849,-0.04844224177475849,0.04896927922449809,0.04896927922449809,-0.09741152099925658,0.8787878787878788,0.18181818181818182,0.18181818181818182
H137,immune,seed42_main,target_disjoint,11,220,0.10805054648489992,0.16005541917330907,-0.05200487268840914,-0.05200487268840914,0.046288292640195516,0.046288292640195516,-0.09829316532860466,0.8181818181818182,0.2727272727272727,0.2727272727272727
H137,lung,seed42_main,source_disjoint,7,219,0.1715493883532549,0.09303883056538753,0.07851055778786736,0.07851055778786736,0.11144816680620474,0.11144816680620474,-0.03293760901833738,0.030303030303030304,0.18181818181818182,0.030303030303030304
H137,lung,seed42_main,source_disjoint,11,219,0.16227924670715638,0.08742608697681176,0.07485315973034462,0.07485315973034462,0.12855226586997714,0.12855226586997714,-0.053699106139632524,0.09090909090909091,0.24242424242424243,0.09090909090909091
H137,lung,seed42_main,target_disjoint,7,218,0.08827732181896505,0.062300629757377914,0.02597669206158714,0.02597669206158714,0.05469465361887,0.05469465361887,-0.02871796155728286,0.2727272727272727,0.030303030303030304,0.030303030303030304
H137,lung,seed42_main,target_disjoint,11,218,0.182059887570324,0.1273642525965974,0.05469563497372662,0.05469563497372662,0.05469563497372662,0.05469563497372662,0.0,0.18181818181818182,0.030303030303030304,0.030303030303030304
