hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_ontology_sheaf_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_chart_upper,p_section_upper,p_label_upper,p_best_upper,chart_term_count,mean_sheaf_obstruction,mean_chart_boundary_cross
H138,external_lung,seed42_main,dual_axis_disjoint,11,230,192,0.7796052631578948,0.9370888157894737,0.15748355263157887,0.161095120614035,-0.0036115679824561264,0.28,0.24,0.04,0.04,12,0.15862286918214905,0.013043478260869565
H138,external_lung,seed42_main,source_disjoint,11,230,98,0.7814625850340136,0.9232374768089053,0.14177489177489178,0.15502860235003096,-0.013253710575139188,0.76,0.72,0.08,0.08,12,0.11308950719445475,0.11739130434782609
H138,external_lung,seed42_main,target_disjoint,11,230,142,0.8271446862996159,0.9529449423815621,0.12580025608194623,0.13431898207426374,-0.00851872599231751,0.72,0.64,0.04,0.04,12,0.1595728720146969,0.06521739130434782
H138,immune,seed42_main,dual_axis_disjoint,11,230,56,0.7945402298850575,0.9702380952380952,0.17569786535303777,0.17765291461412144,-0.001955049261083669,0.28,0.24,0.04,0.04,12,0.08858911772184082,0.17391304347826086
H138,immune,seed42_main,source_disjoint,11,230,56,0.8307676518883415,0.9734195402298851,0.14265188834154363,0.1481373152709361,-0.005485426929392467,0.24,0.68,0.04,0.04,12,0.09995942028985509,0.13043478260869565
H138,immune,seed42_main,target_disjoint,11,230,56,0.8806444991789819,0.9593596059113301,0.07871510673234816,0.09575123152709364,-0.017036124794745477,0.84,1.0,0.12,0.12,12,0.10376659925851028,0.25217391304347825
H138,lung,seed42_main,dual_axis_disjoint,11,210,165,0.8005387205387204,0.9415488215488216,0.14101010101010114,0.14579124579124603,-0.004781144781144886,0.48,0.36,0.04,0.04,12,0.1791932501155802,0.01904761904761905
H138,lung,seed42_main,source_disjoint,11,230,102,0.7481617647058824,0.9427083333333333,0.1945465686274509,0.19942938112745096,-0.0048828125000000555,0.64,0.48,0.04,0.04,12,0.11795986622073579,0.09565217391304348
H138,lung,seed42_main,target_disjoint,11,230,134,0.8345771144278608,0.9292599502487563,0.09468283582089554,0.10928949004975125,-0.014606654228855709,0.84,0.8,0.04,0.04,12,0.15907960711587338,0.08260869565217391
H138,external_lung,seed43,dual_axis_disjoint,11,230,189,0.7466769905794296,0.9296683443024907,0.18299135372306108,0.18304942573235253,-5.8072009291448845e-05,0.08,0.2,0.04,0.04,12,0.16497302918047704,0.030434782608695653
