domain,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,4,-0.0014840817639342353,-0.03299154650025542,0.25,0.0,0.06009453666397071
immune,4,-0.051211129650702736,-0.09748421681915129,0.0,0.0,0.1750913743371322
lung,4,0.05850901113838144,-0.02883866917881319,1.0,0.0,0.0011476291101370298
