domain,perm_idx,null_mean_canonical_corr,null_distance_spearman,null_knn_jaccard,null_top1_retrieval,null_cka
external_lung,0,0.5277914866683607,0.31348392968736954,0.03254079592363261,0.234375,0.22324002482051183
external_lung,1,0.5028149636382822,0.2771446964129741,0.028628095975232193,0.2625,0.19392749243821808
external_lung,2,0.513513448783509,0.2954516758474077,0.029700399896800827,0.234375,0.20998830144061684
external_lung,3,0.5306147656029888,0.32422797047654334,0.037050653594771235,0.265625,0.2251360968827072
external_lung,4,0.5242339870312103,0.34297654585095194,0.03539462934296526,0.240625,0.2121299614883066
external_lung,5,0.516958305876369,0.2993346688610717,0.037765254127966975,0.2375,0.2148587147959761
external_lung,6,0.5170596145156392,0.3071136716200623,0.02814515608875129,0.25,0.20783751084289612
external_lung,7,0.5226570539701942,0.32567999045771123,0.02893876848985208,0.25625,0.20741928248290534
external_lung,8,0.528992582349936,0.3549730025249197,0.0358485444616443,0.3,0.2234157216229649
external_lung,9,0.515926393069589,0.30464339348514324,0.028710870313037495,0.228125,0.2063055606128407
external_lung,10,0.5061418947103944,0.28440052252176345,0.030437306501547988,0.275,0.21079390473645243
external_lung,11,0.5180711976918123,0.3015989701718904,0.025685844513243895,0.2375,0.2046767849391152
external_lung,12,0.5412553373111704,0.39527033856087185,0.028619496044031644,0.246875,0.2166188853568118
external_lung,13,0.5151141710090699,0.30627989494951163,0.02774095932232542,0.234375,0.21253618227740162
external_lung,14,0.499099551168915,0.20102234445243833,0.027217707258341932,0.25625,0.20535368737899226
external_lung,15,0.5098770504034292,0.2877617845492248,0.029864336085311315,0.25625,0.19432731220883262
external_lung,16,0.5120994801621168,0.27110549884010293,0.027867002063983494,0.26875,0.22261669422703417
external_lung,17,0.517771847492647,0.32495087240930953,0.0293171654626763,0.246875,0.20858789527910956
external_lung,18,0.5293439380006772,0.3301891113441406,0.0273219814241486,0.253125,0.2119894849458026
external_lung,19,0.5268396719948013,0.30710263821441586,0.029628644220846233,0.265625,0.2022398031354982
external_lung,20,0.5171080205558864,0.3005034256760715,0.027393852277753206,0.234375,0.20819469059432746
external_lung,21,0.5278073793073517,0.3265533496219254,0.027003515221878226,0.271875,0.2178932886500987
external_lung,22,0.5289128007748964,0.3177954485519345,0.027056458548331615,0.2625,0.21802889706779155
external_lung,23,0.5149649652715599,0.2985459073526795,0.02587262426900585,0.225,0.20918450613018094
external_lung,24,0.5110738894200615,0.25492832421199907,0.02897800567595459,0.26875,0.21280907472875854
external_lung,25,0.5117051636449265,0.33844201616201414,0.03281491873065016,0.259375,0.207025824497522
external_lung,26,0.5270844092801077,0.344518043949456,0.02693498452012384,0.25625,0.20453828552425887
external_lung,27,0.519902920355772,0.29521922635002346,0.03223872334021328,0.259375,0.21652725291209862
external_lung,28,0.5119208875776704,0.2862195275310084,0.031287624699002405,0.225,0.20945691537953723
external_lung,29,0.519668792857163,0.34355729235939786,0.029682662538699688,0.225,0.2056871673326628
external_lung,30,0.5172387721480354,0.2837355270583007,0.031191681716546266,0.2875,0.211259188654803
external_lung,31,0.5284821342664483,0.36632868603681706,0.03413850189198486,0.259375,0.2170473785888754
external_lung,32,0.5313689803230106,0.3765728147078849,0.031470373237014106,0.265625,0.21489031106451795
external_lung,33,0.5212257723635416,0.3034472033437528,0.036595932232542136,0.28125,0.22586700121731887
external_lung,34,0.5277305469900322,0.30003768651501617,0.03677841202270382,0.265625,0.22802949363870043
external_lung,35,0.5207824378436849,0.31158604565828396,0.02897531819745442,0.278125,0.20642886843347996
external_lung,36,0.5166080598415832,0.326100703468222,0.03274370055039559,0.26875,0.19863665973334527
external_lung,37,0.5200686432884811,0.3158361337711513,0.03693455452356381,0.2375,0.22197298024094467
external_lung,38,0.525312442161959,0.2853076253404253,0.03334166451668387,0.278125,0.23119097907183273
external_lung,39,0.5242478842573385,0.27932924498675143,0.03011480908152735,0.2375,0.2218287077633225
external_lung,40,0.5338925196837605,0.38556225846531755,0.029249441004471965,0.2625,0.20765823026017902
external_lung,41,0.5112214779839052,0.24469131493081714,0.031035001719986237,0.271875,0.2122037079787084
external_lung,42,0.5150789740384906,0.25106016767109807,0.0326751698486412,0.275,0.22225224988078035
external_lung,43,0.5342198557058898,0.4231764974386046,0.04018855349157206,0.28125,0.2200195456468891
external_lung,44,0.508173939055045,0.23752324824098414,0.031726221190230476,0.2375,0.20232732643125018
external_lung,45,0.5236805826312491,0.35970037285457895,0.03056066176470588,0.25,0.2137193563539971
external_lung,46,0.5272178617718879,0.381058684812663,0.03230644779841761,0.246875,0.21534242441503462
external_lung,47,0.5223078876993843,0.3397804819182256,0.03457575464396284,0.253125,0.20449449917491033
external_lung,48,0.5140212775510792,0.28584590845085145,0.02702313381492948,0.228125,0.20655121060715667
external_lung,49,0.5073732677436299,0.23903539738745347,0.03059398649810801,0.246875,0.21334345524807355
external_lung,50,0.5248140780616446,0.3157925781899299,0.03141232370141038,0.259375,0.22429656043802462
external_lung,51,0.5322631079895481,0.37870190110251334,0.03060823013415892,0.2375,0.2109752157003774
external_lung,52,0.5178285963486173,0.3517315143796385,0.030450206398348813,0.284375,0.20921340636159724
external_lung,53,0.5274838727143906,0.3646730230678448,0.032506127450980395,0.275,0.20196189830702824
external_lung,54,0.5271382107646059,0.3618285779998641,0.032158367733058135,0.259375,0.23003484477862815
external_lung,55,0.5342217527059143,0.36085790877811547,0.027046783625730993,0.253125,0.21402447075815664
external_lung,56,0.5254491172214724,0.3756281923815644,0.02971141855865153,0.265625,0.21504680052444364
external_lung,57,0.5348743064485146,0.34803758570303145,0.029985541365669076,0.265625,0.2129619858627438
external_lung,58,0.5075447198481635,0.24161404599874517,0.028594771241830064,0.228125,0.20387927469866968
external_lung,59,0.511199348567617,0.25584245621963436,0.03364185586515308,0.253125,0.21295235688975542
external_lung,60,0.5076815214981856,0.24111044143752536,0.03289581183350533,0.253125,0.21843327475147656
external_lung,61,0.5308843565186745,0.34216193033269915,0.036767930856553145,0.278125,0.2190288620170111
external_lung,62,0.5233067675309109,0.3364413930142512,0.034185532765737874,0.2625,0.22574285458725543
external_lung,63,0.5321724746832579,0.3519821340059864,0.028613046095631235,0.3,0.2285803688718697
external_lung,64,0.5077303456963278,0.30715718791131635,0.024848426212590303,0.234375,0.19750433609780207
external_lung,65,0.525946172581325,0.3292726867250652,0.03221964224286206,0.26875,0.21419695299693525
external_lung,66,0.5172734746930929,0.32512551224679853,0.035238218094255244,0.253125,0.20858336055908422
external_lung,67,0.5179234358889716,0.32831766540500523,0.03344083247334022,0.234375,0.20614014799841673
external_lung,68,0.5192623560569054,0.34687812053667694,0.031978844169246644,0.271875,0.19871299638377968
external_lung,69,0.5240983142627328,0.33305124956468574,0.029499914000687993,0.25625,0.21133687170776408
external_lung,70,0.5262448382337575,0.3489128466837413,0.026833935328517366,0.303125,0.2133372543707455
external_lung,71,0.5071229030908853,0.33182624345753986,0.030578936618507052,0.253125,0.19585749232703423
external_lung,72,0.5192701315242048,0.325343655143875,0.03994775541795666,0.25625,0.2185648648092818
external_lung,73,0.5198483205625773,0.29047981068243495,0.03148004815961473,0.26875,0.2150897279563443
external_lung,74,0.5215266574485379,0.3253559130277577,0.03539167311661506,0.246875,0.20908882966504774
external_lung,75,0.5185220538274413,0.3165489148078229,0.028953818369453044,0.23125,0.20841927031970217
external_lung,76,0.5151686699187165,0.356517776207187,0.024978231424148605,0.225,0.20258510109410954
external_lung,77,0.5130423914309019,0.24131329905664914,0.03362223727210182,0.240625,0.22023323367600078
external_lung,78,0.5259486248860246,0.3827555273145894,0.033703130374957,0.28125,0.21756764638843945
external_lung,79,0.5206718186921709,0.2555489817257236,0.03379316090471276,0.271875,0.21760126991730297
external_lung,80,0.5004830535807129,0.26866831485454046,0.03335133943928449,0.24375,0.20129468570207648
external_lung,81,0.5223983834989805,0.3699244573353647,0.03986498108015136,0.253125,0.20671728170064543
external_lung,82,0.5178328534178037,0.33759236618736865,0.03559726522187823,0.26875,0.21235566473096504
external_lung,83,0.5186434127347039,0.3562311054931707,0.029650144048847603,0.24375,0.2075003775418895
external_lung,84,0.5341956352372972,0.40794900464593775,0.036009793171654626,0.275,0.2119797345416719
external_lung,85,0.5153154355647607,0.254050473192389,0.03182404540763674,0.2375,0.21689221968469682
external_lung,86,0.5228853490186076,0.3123875967905992,0.03382003568971448,0.271875,0.20738298872180314
external_lung,87,0.5243841107367123,0.32756960246012334,0.032284947970416235,0.26875,0.21513266638446116
external_lung,88,0.5202748537685522,0.3631311016931929,0.0382202442380461,0.24375,0.2047718965132172
external_lung,89,0.522388994634247,0.3184631240821413,0.03369990540075679,0.2625,0.2035939518437155
external_lung,90,0.5129381155684596,0.33207311651326643,0.026441563467492258,0.2625,0.20306939126900264
external_lung,91,0.5168273569756601,0.34442519945194633,0.03400412796697626,0.2625,0.21343172205714409
external_lung,92,0.5058716867240766,0.2967796775614778,0.027833139834881317,0.24375,0.19727839917735887
external_lung,93,0.5225429952732171,0.39942237676868086,0.034226651186790504,0.25625,0.21209052959941224
external_lung,94,0.5174549240275823,0.31307984963560037,0.028792569659442723,0.259375,0.2123981078798199
external_lung,95,0.49865342222659503,0.24965494288286136,0.029894167096663225,0.24375,0.20445634399416152
external_lung,96,0.5284355532272931,0.3504780716581262,0.03410920837633299,0.234375,0.21950609910957644
external_lung,97,0.4995685288144796,0.280772361189504,0.027727253181974543,0.25625,0.1955601500978868
external_lung,98,0.5352517806890257,0.3471554132269766,0.03571336429308566,0.275,0.21521293220910673
external_lung,99,0.5066924388442491,0.21978377046714165,0.027681028551771587,0.246875,0.20251748243948586
external_lung,100,0.5297187440058657,0.3759883300643426,0.03309146026831785,0.28125,0.21510640835678163
external_lung,101,0.5130729691051592,0.2923192780461425,0.030082290591675265,0.26875,0.20854717200111764
external_lung,102,0.5065933648236692,0.2638311525182452,0.026764060887512896,0.265625,0.20126480258731225
external_lung,103,0.5179825933246358,0.286176055439195,0.02586859305125559,0.253125,0.20497077053399615
external_lung,104,0.5364989988071758,0.3600901570837734,0.03228172299621603,0.278125,0.2249076626541336
external_lung,105,0.5182857715189008,0.294248855977583,0.031126375988992087,0.26875,0.20489039034265036
external_lung,106,0.5230331836292015,0.3184073094401524,0.029624613003095972,0.296875,0.21892770165602
external_lung,107,0.5126578648034407,0.26133560958713775,0.03172487745098039,0.2625,0.20728260978038027
external_lung,108,0.5163337295927879,0.30114268132097705,0.027458505331957338,0.25,0.21070063018873192
external_lung,109,0.5221373155461618,0.35331601055413414,0.03403530271757825,0.25625,0.21255334751907892
external_lung,110,0.5088297345916799,0.2305524906155825,0.03455747979016168,0.25625,0.22209918334756712
external_lung,111,0.5294685415644722,0.29864734036362195,0.034586773305813556,0.2875,0.22166315472911943
external_lung,112,0.5124951377669633,0.3202938573867306,0.03369076797385621,0.253125,0.2114142780642277
external_lung,113,0.5210572883198401,0.32119759492065536,0.030013759889920878,0.3,0.21194161171846237
external_lung,114,0.5156952098886997,0.31684379679826297,0.02913065445476436,0.240625,0.20737919958051684
external_lung,115,0.5193705094634,0.3349341682126003,0.03366980564155486,0.246875,0.20414622022980589
external_lung,116,0.512721738962283,0.3014983008364376,0.03098608961128311,0.221875,0.21553964165433653
external_lung,117,0.5082145323916083,0.2667488917539797,0.03198932533539732,0.221875,0.20904691351980945
external_lung,118,0.5342263390751788,0.37786180289527116,0.029380589955280357,0.28125,0.22529588951197113
external_lung,119,0.5095599755287837,0.3256159090191767,0.02754342965256278,0.24375,0.19631154355077757
external_lung,120,0.5121699194615672,0.303868026995753,0.028396435328517367,0.24375,0.200854634691957
external_lung,121,0.5184703007501061,0.338273131989792,0.031805770553835565,0.246875,0.2141691918588036
external_lung,122,0.514248357009119,0.32878314510054046,0.029201066391468865,0.234375,0.19853092854924734
external_lung,123,0.5212729496834849,0.2972340940743789,0.03312156002751978,0.259375,0.20944170169088164
external_lung,124,0.519434971479886,0.3132185806887548,0.03719147746818026,0.26875,0.21838222794578277
external_lung,125,0.5150070370395622,0.2690048372519655,0.025721050481596147,0.221875,0.20661672491643296
external_lung,126,0.5247076085112796,0.34123356895244183,0.028765694874441007,0.284375,0.20876379295016548
external_lung,127,0.5008801047302918,0.2844527211848006,0.03684909270725834,0.24375,0.20202037888475657
external_lung,128,0.5279038047190594,0.3793634208833075,0.03545241013071895,0.2375,0.21538095204844926
external_lung,129,0.5253449747682406,0.3432281089968446,0.029616819315445474,0.25625,0.20334792912838903
external_lung,130,0.5230530838544335,0.2584130654269722,0.026870485036119707,0.26875,0.22595541257949078
external_lung,131,0.5194501550373115,0.32119541528891205,0.0278624333505332,0.25625,0.19662390118037018
external_lung,132,0.5040729390402867,0.24559385204301296,0.025411721706226346,0.225,0.19398315198640237
external_lung,133,0.511371062554328,0.2910534486437908,0.029182791537667695,0.228125,0.21931081166665362
external_lung,134,0.5273742623031553,0.33579613673515835,0.030381675696594425,0.2625,0.2109065630815221
external_lung,135,0.5226513927968208,0.30815004117698996,0.03066305469556243,0.25625,0.2218872971426743
external_lung,136,0.5087082117980933,0.2684593870261849,0.027272531819745437,0.271875,0.19890014372847334
external_lung,137,0.5221524614715058,0.32802570743343135,0.028004063467492256,0.271875,0.2167468944045382
external_lung,138,0.5150359453493347,0.29263672663569795,0.03129622463020296,0.234375,0.2042351577270383
external_lung,139,0.5196093787195265,0.28921779804696635,0.028717320261437907,0.2625,0.2181138459342142
external_lung,140,0.5187927166417456,0.337309465961048,0.03608531131750946,0.240625,0.2109645067702214
external_lung,141,0.5221228809965662,0.27991006097198684,0.03069503568971448,0.221875,0.22667931832936436
external_lung,142,0.5255428460437946,0.32940350739106966,0.026683167784657718,0.2625,0.205061775094701
external_lung,143,0.5139979965055979,0.28595629013823803,0.02877751977984176,0.221875,0.21563912235226076
external_lung,144,0.5227492081275488,0.3615969976456552,0.029855736154110767,0.25625,0.2093943128022597
external_lung,145,0.5109476974445047,0.3128534809623216,0.03021800825593395,0.246875,0.20444961171398904
external_lung,146,0.5278709266399393,0.3051334227280222,0.03060366142070864,0.278125,0.22371284113491463
external_lung,147,0.5138015780055738,0.2757870224049388,0.03084660947712418,0.278125,0.20856255310847535
external_lung,148,0.517223572742872,0.3279056838131435,0.03282593739250086,0.21875,0.20458339722506147
external_lung,149,0.5445533465926741,0.39727716418879255,0.03414360810113519,0.296875,0.23476112079018624
external_lung,150,0.5308188417835805,0.2919469101615929,0.032946067681458545,0.253125,0.21862278718376696
external_lung,151,0.5176113888739122,0.4073626412891712,0.03976769435844513,0.2,0.2090097176046589
external_lung,152,0.5143716582129632,0.27015183341163934,0.032970792483660125,0.23125,0.21429690752251127
external_lung,153,0.5090156041351573,0.27191839394160816,0.028259373925008595,0.234375,0.20763462618295597
external_lung,154,0.526226268497134,0.26161117701961395,0.03311322884416924,0.2625,0.2243461594336106
external_lung,155,0.5153471121111932,0.2840792531878367,0.029423589611283107,0.253125,0.21082162251713213
external_lung,156,0.5237504815349009,0.3149926828619002,0.03591385018919849,0.278125,0.21450478654943525
external_lung,157,0.5050861178214407,0.25444835988339953,0.03142602984176126,0.26875,0.21235152629837453
external_lung,158,0.5203872360386961,0.24342688412994826,0.02797530744754042,0.28125,0.2162071541961662
external_lung,159,0.5231507022911825,0.3697243584002452,0.0323110165118679,0.24375,0.2104720032726213
immune,0,0.5262048628075514,0.32507968779431085,0.031127182232542138,0.265625,0.20092447038491348
immune,1,0.5204826801064126,0.28872518738682573,0.03306351049191606,0.275,0.21161741739323214
immune,2,0.5307477804474992,0.3362776056197911,0.028844169246646022,0.296875,0.2197906915659403
immune,3,0.5086335414740715,0.3103375867544716,0.034250032249742005,0.23125,0.18768531976835726
immune,4,0.5113059628381136,0.2565742069526116,0.026523262813897486,0.253125,0.20119089797479492
immune,5,0.5188411836588295,0.24653680203455403,0.03306028551771586,0.259375,0.20854569917315713
immune,6,0.5086426599819178,0.24358846421256988,0.03212047428620571,0.265625,0.2065335197364166
immune,7,0.5202396655589256,0.287281729589075,0.03466712891296869,0.2375,0.20438618941090647
immune,8,0.5194617590153485,0.3208123268661578,0.02902557404540763,0.225,0.2122146042550934
immune,9,0.5312434638250808,0.32225692739077233,0.03074126031991744,0.2625,0.2167002028094923
immune,10,0.507769169987036,0.2746753684015972,0.029752536979704158,0.25625,0.19535724839270815
immune,11,0.5074227977394651,0.2853476661045315,0.031241400068799448,0.21875,0.1992011824429785
immune,12,0.5171263105086636,0.29786756510216206,0.021735251117991055,0.246875,0.18939459559753571
immune,13,0.51391649796379,0.3142745248104977,0.03517801857585139,0.240625,0.19842566523258515
immune,14,0.5259269412560693,0.25599484791124977,0.02542677158582731,0.284375,0.21125646185093336
immune,15,0.529419792526363,0.3046371712261909,0.03231639146886824,0.31875,0.20950304690313923
immune,16,0.5317529361253297,0.34955057841170506,0.033542687908496724,0.28125,0.21039399855911695
immune,17,0.5150939983158176,0.2805635153570757,0.036323690660474715,0.284375,0.20054980096810276
immune,18,0.5255873859704399,0.3037145593613474,0.03660426341589267,0.275,0.20978165156717926
immune,19,0.5287653580210846,0.33037134134220486,0.03271306329549364,0.271875,0.1970778199251052
immune,20,0.5145559059134521,0.31710920322582986,0.03124650627794977,0.228125,0.2002762609479478
immune,21,0.5185896599245157,0.2641316311094107,0.024777208032335744,0.296875,0.19975061362625682
immune,22,0.5128898347289921,0.23694988906432696,0.03160232843137255,0.25625,0.20065195673997357
immune,23,0.5186662713252935,0.2728082981856811,0.03127983101135191,0.259375,0.20337759694793472
immune,24,0.5275934879810531,0.26868135367797435,0.029066692466460264,0.275,0.21054341856659312
immune,25,0.5094635003193163,0.2921743036170454,0.03718003648827952,0.221875,0.20131891641894822
immune,26,0.529865968233121,0.3386819440401975,0.030642629858961122,0.25625,0.2252872432917867
immune,27,0.5352964306677542,0.3555959862881982,0.032957623839009284,0.296875,0.21003092712037902
immune,28,0.5118586855141627,0.25207362196186317,0.03654433264533884,0.240625,0.19827925877269834
immune,29,0.5320613191605353,0.3224650187297525,0.03832451840385277,0.2875,0.20493361647361247
immune,30,0.5326872455730259,0.3578146252018825,0.031869195046439626,0.290625,0.20838942747001032
immune,31,0.5348581068243041,0.28128267550300523,0.034627354231166155,0.29375,0.21457891393044726
immune,32,0.5308842871426673,0.3606441326915393,0.02663613691090471,0.2625,0.2075372860753721
immune,33,0.5278240860622543,0.3497919887383025,0.02717121388028896,0.234375,0.19309995136028246
immune,34,0.5146740943702452,0.20563503863305713,0.026496388028895767,0.253125,0.20820030073721993
immune,35,0.5103799240904063,0.26961806818122286,0.03888136394908841,0.23125,0.1979304060819881
immune,36,0.5283036597387699,0.3008263650867518,0.03117528809769522,0.271875,0.2079324616325139
immune,37,0.5228629467333634,0.31059891933784395,0.03500252622979016,0.24375,0.20073703027041223
immune,38,0.5394876979715801,0.376305634237103,0.03113228844169247,0.3,0.21175301463601653
immune,39,0.5128382144013515,0.2641396038364852,0.03268833849329205,0.23125,0.19906542419848683
immune,40,0.5138666593675874,0.22815231781384093,0.030740185328517366,0.271875,0.20707831326519807
immune,41,0.5137479037335253,0.3842984032260328,0.022053179824561404,0.259375,0.19437562388589322
immune,42,0.5170007580147407,0.3370045008184942,0.025721050481596147,0.246875,0.1979417257891942
immune,43,0.5229189447087256,0.33526825638012303,0.03661608832129343,0.265625,0.20916583931977686
immune,44,0.5313625621943999,0.2728530060667984,0.035894769091847266,0.278125,0.23213369745389914
immune,45,0.533976520569459,0.33898571630193725,0.0349907013243894,0.2625,0.20502841685222492
immune,46,0.5234645437974242,0.2959203940592585,0.03619307920536636,0.334375,0.2076246534176766
immune,47,0.5207904360410327,0.29678756678098334,0.032440821723426216,0.246875,0.19690682870553258
immune,48,0.5189822728771415,0.2909027419783981,0.029691262469900236,0.253125,0.20349952192371024
immune,49,0.513037430624076,0.30115032792217183,0.03148730435156518,0.234375,0.20416205688303168
immune,50,0.5380415404608537,0.3493555403223392,0.036296815875472996,0.275,0.20723862059788656
immune,51,0.5297925074825397,0.2572568694932928,0.0324343717750258,0.278125,0.20461900362726188
immune,52,0.5279662254762015,0.3818683088344096,0.02739185586515308,0.228125,0.20364999252200358
immune,53,0.5240343055427503,0.26040202326027145,0.035632471190230476,0.28125,0.2178308280561453
immune,54,0.5354061962819442,0.34708031482130935,0.029784517973856207,0.278125,0.21843028329768632
immune,55,0.5155233256672798,0.3205026147459734,0.02981918644650843,0.24375,0.20843920360084364
immune,56,0.5285415166049752,0.38566717827572106,0.03660560715514276,0.240625,0.20853638794738077
immune,57,0.5288067410351853,0.23874701486779706,0.03247871517027863,0.3,0.2053138907110944
immune,58,0.5302389321831559,0.2859884933791513,0.03022123323013416,0.30625,0.21435247934287935
immune,59,0.5289719511967249,0.2900683659919812,0.02897397445820433,0.275,0.2026173564605033
immune,60,0.5348081424974132,0.33481795006615356,0.031719771241830064,0.296875,0.21486311664940846
immune,61,0.5339206924678785,0.33583599614826837,0.037557780787753695,0.290625,0.21533737984433224
