domain,layer,n_matched_genes,pca_dim,cca_dim,mean_canonical_corr,distance_spearman_cca,distance_spearman_baseline,distance_spearman_delta_vs_baseline,knn_jaccard_cca,knn_jaccard_baseline,knn_jaccard_delta_vs_baseline,top1_retrieval_cca,top1_retrieval_baseline,top1_retrieval_delta_vs_baseline,cka_cca,p_mean_canonical_corr_upper,p_distance_spearman_upper,p_knn_jaccard_upper,p_top1_retrieval_upper,p_cka_upper,null_mean_canonical_corr,null_mean_distance_spearman,null_mean_knn_jaccard,null_mean_top1_retrieval,null_mean_cka
external_lung,3,320,48,20,0.7901823615364779,0.7863340297116375,0.4914505134650755,0.29488351624656195,0.16303595838715806,0.1107963037457039,0.052239654641454164,0.709375,0.00625,0.703125,0.5720523500813792,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.519377009730827,0.3143634842697626,0.031237315821339495,0.25580078124999994,0.21164837224283115
immune,0,320,48,20,0.8203826243421692,0.6935973915367608,0.1789889799360636,0.5146084116006973,0.20176840058806,0.16805190531003225,0.03371649527802775,0.784375,0.0,0.784375,0.5910050728293793,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.5233921422693271,0.30745366950689335,0.03192175780674111,0.2652734375,0.20588532667033302
lung,0,320,48,20,0.7799737226607413,0.7599645098021988,0.3902222578674572,0.3697422519347416,0.14934862609011215,0.10299996432446124,0.04634866176565092,0.675,0.003125,0.671875,0.5320817243739844,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.5203723492069736,0.31237042744126714,0.02983056623828259,0.24417968749999996,0.18697801222280458
