domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
immune,seed43,source_disjoint,9,late,1479,364,339,0.46468117084709004,-0.03531882915290996,0.07973390890356358,0.06881505103777608
immune,seed43,source_disjoint,10,late,1479,364,339,0.45735105701473416,-0.042648942985265836,0.05985832817214715,0.05318596763846461
immune,seed43,source_disjoint,11,late,1479,364,339,0.45329547134479864,-0.04670452865520136,0.044625639892757696,0.04036079601746855
immune,seed43,target_disjoint,0,early,1465,358,228,0.46341337249499126,-0.03658662750500874,0.1320526471441779,0.1156578308905286
immune,seed43,target_disjoint,1,early,1465,358,228,0.47527037188435195,-0.02472962811564805,0.12169397500646877,0.1049395584858251
immune,seed43,target_disjoint,2,early,1465,358,228,0.49537604780144634,-0.00462395219855366,0.11376756844869464,0.09696694692317653
immune,seed43,target_disjoint,3,early,1465,358,228,0.45515964936185666,-0.044840350638143345,0.11312543432181822,0.09860568823008314
immune,seed43,target_disjoint,4,mid,1465,358,228,0.45936347166078734,-0.04063652833921266,0.10140455761253447,0.08932079443227181
immune,seed43,target_disjoint,5,mid,1465,358,228,0.4321269423122536,-0.06787305768774637,0.09589415984065501,0.08781295906718199
immune,seed43,target_disjoint,6,mid,1465,358,228,0.46683497095678594,-0.033165029043214056,0.0934642330447214,0.08504069454013329
immune,seed43,target_disjoint,7,mid,1465,358,228,0.45287858372066025,-0.047121416279339745,0.09149156095527494,0.08543107351040305
immune,seed43,target_disjoint,8,late,1465,358,228,0.44198800926556747,-0.05801199073443253,0.08577574039576995,0.082602624770768
immune,seed43,target_disjoint,9,late,1465,358,228,0.4379835278799715,-0.062016472120028476,0.06987441846564567,0.07025940813917632
immune,seed43,target_disjoint,10,late,1465,358,228,0.4420536151357789,-0.0579463848642211,0.04929193494215622,0.05080873071962
immune,seed43,target_disjoint,11,late,1465,358,228,0.4513166593490888,-0.04868334065091118,0.03535057088553191,0.040158317071593404
immune,seed44,source_disjoint,0,early,1483,364,338,0.539107228785513,0.03910722878551298,0.1296364377302557,0.09949846027105756
immune,seed44,source_disjoint,1,early,1483,364,338,0.5875634642390675,0.08756346423906747,0.12167622421198344,0.09264224333204978
immune,seed44,source_disjoint,2,early,1483,364,338,0.5747503167074213,0.07475031670742127,0.11711076338334472,0.08916209476692295
immune,seed44,source_disjoint,3,early,1483,364,338,0.5741954649461352,0.07419546494613516,0.11316004047899819,0.08719666931463191
immune,seed44,source_disjoint,4,mid,1483,364,338,0.5905660470003633,0.0905660470003633,0.10215776319480753,0.07921487848296727
immune,seed44,source_disjoint,5,mid,1483,364,338,0.5746717536261772,0.07467175362617717,0.09791367550503813,0.07620797126657936
immune,seed44,source_disjoint,6,mid,1483,364,338,0.5689661098508283,0.0689661098508283,0.09238360969478414,0.07239363190400802
immune,seed44,source_disjoint,7,mid,1483,364,338,0.5247326400141412,0.024732640014141216,0.090839716564929,0.07173182588881961
immune,seed44,source_disjoint,8,late,1483,364,338,0.5410614854314586,0.0410614854314586,0.08617884554897176,0.07022953865240564
immune,seed44,source_disjoint,9,late,1483,364,338,0.4936142945526323,-0.006385705447367718,0.07099732102471336,0.05877970987349267
immune,seed44,source_disjoint,10,late,1483,364,338,0.4941887870842294,-0.0058112129157705805,0.05285573555525994,0.04519641669278625
immune,seed44,source_disjoint,11,late,1483,364,338,0.5024158147482544,0.0024158147482543635,0.038715769525264856,0.03490387873327703
immune,seed44,target_disjoint,0,early,1467,358,228,0.53322234032371,0.033222340323709965,0.13921773771030593,0.1222855185337631
immune,seed44,target_disjoint,1,early,1467,358,228,0.5107500340031534,0.010750034003153441,0.1287025091459686,0.11513873821801429
immune,seed44,target_disjoint,2,early,1467,358,228,0.5410153593503635,0.04101535935036349,0.1152821030315949,0.10092502917987767
immune,seed44,target_disjoint,3,early,1467,358,228,0.5263159220395848,0.02631592203958477,0.11413021805167807,0.10572713982964618
immune,seed44,target_disjoint,4,mid,1467,358,228,0.484696062182952,-0.015303937817047975,0.10403452935670134,0.09758659987327999
immune,seed44,target_disjoint,5,mid,1467,358,228,0.48084237145548603,-0.01915762854451397,0.09830305911173601,0.09342746569017134
immune,seed44,target_disjoint,6,mid,1467,358,228,0.47514999168811806,-0.024850008311881944,0.09348702663471087,0.09128875156130528
immune,seed44,target_disjoint,7,mid,1467,358,228,0.4735253965775196,-0.026474603422480425,0.09067665921529602,0.0884158167469595
immune,seed44,target_disjoint,8,late,1467,358,228,0.4844945620141956,-0.015505437985804393,0.08353195541839373,0.08279605391734468
immune,seed44,target_disjoint,9,late,1467,358,228,0.4873760144274121,-0.012623985572587926,0.07251648252259232,0.07538168185414747
immune,seed44,target_disjoint,10,late,1467,358,228,0.48165592838684,-0.018344071613159985,0.04900862008348193,0.053080817064494565
immune,seed44,target_disjoint,11,late,1467,358,228,0.4805678274755555,-0.019432172524444513,0.03712570139719974,0.04179766121669147
lung,seed42_main,source_disjoint,0,early,16398,4045,2592,0.5390462293931392,0.039046229393139176,0.071005433058274,0.061057865303355933
lung,seed42_main,source_disjoint,1,early,16398,4045,2592,0.5158750665552484,0.015875066555248396,0.0648773474279292,0.05737485165148043
lung,seed42_main,source_disjoint,2,early,16398,4045,2592,0.5359422557108431,0.035942255710843085,0.06274809178020936,0.05636079666546797
lung,seed42_main,source_disjoint,3,early,16398,4045,2592,0.5398978964188698,0.03989789641886976,0.059062151685803796,0.052679074804118826
lung,seed42_main,source_disjoint,4,mid,16398,4045,2592,0.5411591265069555,0.04115912650695552,0.05306209226729484,0.04775827829208255
