domain,n_rows,mean_auc_neg_curvature,mean_delta_top_bottom,fisher_p_auc_upper,fisher_p_delta_upper
external_lung,24,0.39045984971785686,-0.19414414296339852,0.9999999999999999,0.9999999999999866
immune,24,0.34064588143509367,-0.3062223853349089,1.0,1.0
lung,24,0.3893651434071641,-0.18257912330075565,1.0,0.9999793361161378
