domain,split_regime,n_rows,mean_auc_neg_curvature,positive_auc_fraction,mean_delta_top_bottom,positive_delta_fraction,fisher_p_auc_upper,fisher_p_delta_upper
external_lung,source_disjoint,12,0.3566016803577179,0.0,-0.2691504962594451,0.0,1.0,1.0
external_lung,target_disjoint,12,0.4243180190779958,0.08333333333333333,-0.11913778966735193,0.08333333333333333,0.9999946465319717,0.9999685606787088
immune,source_disjoint,12,0.2941620554906383,0.0,-0.39551332562756714,0.0,1.0,1.0
immune,target_disjoint,12,0.38712970737954905,0.0,-0.21693144504225073,0.0,0.9999999999998449,0.9999999993635956
lung,source_disjoint,12,0.3806048160592621,0.0,-0.17572535938866876,0.3333333333333333,1.0,0.9316641150185458
lung,target_disjoint,12,0.3981254707550661,0.0,-0.18943288721284254,0.0,0.9999999999999999,0.9999998676231616
