domain,split_regime,n_rows,mean_delta_vs_h70,mean_strict_margin,fraction_strict_positive,fraction_directional_positive
external_lung,dual_axis_disjoint,1,-0.0369867149758454,-0.08910024154589367,0.0,0.0
external_lung,source_disjoint,3,0.0018025322965956343,-0.022386436319263642,0.6666666666666666,0.6666666666666666
external_lung,target_disjoint,3,0.006611826753536766,-0.0025990511531842684,0.6666666666666666,0.6666666666666666
immune,dual_axis_disjoint,3,0.05471457457664234,-0.008466467536120122,0.3333333333333333,0.6666666666666666
immune,source_disjoint,3,0.06772737871268901,0.02078229895566361,1.0,1.0
immune,target_disjoint,3,0.0824791119183767,0.022591878171218268,1.0,1.0
lung,dual_axis_disjoint,3,0.018910803621543834,0.002609283145533979,0.6666666666666666,0.6666666666666666
lung,source_disjoint,3,0.025319047203603662,-0.013111969959255976,0.3333333333333333,1.0
lung,target_disjoint,3,0.0160516692449242,-0.01333803297258362,0.3333333333333333,1.0
