domain,n_rows,mean_delta_vs_h70,mean_delta_gain_vs_swap,mean_stability_span_delta,fraction_gain_positive
external_lung,2,0.011292998094665774,0.027885311500558674,0.017858948031669875,1.0
immune,3,0.05173477196204471,0.04936527697891335,0.03210776597140238,0.6666666666666666
lung,3,0.012540034220116647,0.022019367542033066,0.017714574923458404,0.6666666666666666
