hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_sectional_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_endpoint_swap_upper,p_sectional_shuffle_upper,p_label_upper,p_best_upper,mean_anisotropy_gap,mean_pair_alignment
H139,external_lung,seed42_main,source_disjoint,11,220,105,0.8549068322981367,0.8570600414078675,0.002153209109730825,0.0012712215320910534,0.0008819875776397714,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.11552281118641948,0.26190803469720153
H139,external_lung,seed42_main,target_disjoint,11,220,146,0.8391336542021472,0.8259903739355795,-0.013143280266567747,1.3883746760641892e-05,-0.01315716401332839,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.12420793347201707,0.2674815223665604
H139,immune,seed42_main,dual_axis_disjoint,11,220,52,0.8400869963369964,0.9391597985347986,0.09907280219780223,0.05354281135531136,0.045529990842490875,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1256336134807356,0.23495958124477906
H139,immune,seed42_main,source_disjoint,11,220,55,0.8267768595041323,0.914159779614325,0.08738292011019277,0.037895316804407726,0.04948760330578505,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.12272767119068818,0.21846036762881688
H139,immune,seed42_main,target_disjoint,11,220,55,0.8707438016528926,0.906556473829201,0.03581267217630846,0.014655647382920169,0.02115702479338829,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.12609973423612122,0.24164421004855083
H139,lung,seed42_main,dual_axis_disjoint,11,190,157,0.7811233352634626,0.7683844817602778,-0.01273885350318471,0.030052113491604037,-0.04279096699478875,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.11175615715523396,0.2865848310622396
H139,lung,seed42_main,source_disjoint,11,220,109,0.7572526655095464,0.7825440119018101,0.025291346392263714,0.041495164889660124,-0.01620381849739641,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.11994068084127174,0.28393712048395237
H139,lung,seed42_main,target_disjoint,11,220,140,0.8354464285714287,0.8392857142857142,0.0038392857142854897,0.006999999999999907,-0.0031607142857144176,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.11226458603125143,0.2516380620744778
H139,external_lung,seed43,dual_axis_disjoint,11,220,184,0.7181461352657005,0.681159420289855,-0.03698671497584549,0.032287892512077185,-0.06927460748792268,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.1301493556529778,0.29111335836384133
H139,external_lung,seed43,source_disjoint,11,220,106,0.8550976497848394,0.8723932472691162,0.01729559748427678,0.013017212843429472,0.004278384640847309,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.132425852844502,0.2747510422017194
