domain,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,7,-0.0016776625464925976,-0.01595155639620683,0.5714285714285714,0.5714285714285714,0.03691043458715985
immune,9,0.0683070217359027,0.027767997695563856,0.8888888888888888,0.8888888888888888,0.0036846381113520297
lung,9,0.020093840023357273,0.005591191358116359,0.8888888888888888,0.4444444444444444,0.0036846381113520297
