hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_sectional_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_endpoint_swap_upper,p_sectional_shuffle_upper,p_label_upper,p_best_upper,mean_anisotropy_gap,mean_pair_alignment,q95_endpoint_swap_within_distance_bins,q95_label_permutation,q95_sectional_row_shuffle,mean_endpoint_swap_within_distance_bins,mean_label_permutation,mean_sectional_row_shuffle,margin_vs_endpoint_swap_within_distance_bins,margin_vs_label_permutation,margin_vs_sectional_row_shuffle,strict_q95_max,strict_margin,strict_positive
H139,external_lung,seed42_main,source_disjoint,11,220,105,0.8549068322981367,0.8570600414078675,0.0021532091097308,0.001271221532091,0.0008819875776397,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1155228111864194,0.2619080346972015,-0.001469979296066305,0.0009151138716355675,-0.005494824016563143,-0.013561076604554863,-0.0215527950310559,-0.0153416149068323,0.0036231884057971054,0.0012380952380952326,0.007648033126293943,0.0009151138716355675,0.0012380952380952326,1
H139,external_lung,seed42_main,target_disjoint,11,220,146,0.8391336542021472,0.8259903739355795,-0.0131432802665677,1.3883746760641892e-05,-0.0131571640133283,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.124207933472017,0.2674815223665604,-0.004840799703813278,-0.027364864864864853,-3.7023324694421016e-05,-0.020235560903368977,-0.07202193631988146,-0.01870834875971849,-0.008302480562754422,0.014221584598297152,-0.01310625694187328,-3.7023324694421016e-05,-0.01310625694187328,0
H139,immune,seed42_main,dual_axis_disjoint,11,220,52,0.8400869963369964,0.9391597985347986,0.0990728021978022,0.0535428113553113,0.0455299908424908,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1256336134807356,0.234959581244779,0.04056204212454201,0.0935782967032967,0.03329899267399262,0.006839514652014638,0.03251631181318679,0.004993704212454225,0.0585107600732602,0.005494505494505503,0.0657738095238096,0.0935782967032967,0.005494505494505503,1
H139,immune,seed42_main,source_disjoint,11,220,55,0.8267768595041323,0.914159779614325,0.0873829201101927,0.0378953168044077,0.049487603305785,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1227276711906881,0.2184603676288168,0.014787878787878746,0.06037465564738284,0.011933884297520578,-0.011625344352617101,0.02630165289256194,-0.009752066115702462,0.07259504132231395,0.027008264462809864,0.07544903581267212,0.06037465564738284,0.027008264462809864,1
H139,immune,seed42_main,target_disjoint,11,220,55,0.8707438016528926,0.906556473829201,0.0358126721763084,0.0146556473829201,0.0211570247933882,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1260997342361212,0.2416442100485508,0.00918457300275481,0.032504132231404984,0.003019283746556349,-0.011804407713498636,-0.0268870523415977,-0.0054683195592286375,0.02662809917355359,0.0033085399449034186,0.03279338842975205,0.032504132231404984,0.0033085399449034186,1
H139,lung,seed42_main,dual_axis_disjoint,11,190,157,0.7811233352634626,0.7683844817602778,-0.0127388535031847,0.030052113491604,-0.0427909669947887,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1117561571552339,0.2865848310622396,0.034636170623431814,-0.025419803126809363,0.025342597954063,-0.015199768384481626,-0.052596023933603464,-0.01942192626905985,-0.04737502412661651,0.012680949623624663,-0.0380814514572477,0.034636170623431814,-0.04737502412661651,0
H139,lung,seed42_main,source_disjoint,11,220,109,0.7572526655095464,0.7825440119018101,0.0252913463922637,0.0414951648896601,-0.0162038184973964,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1199406808412717,0.2839371204839523,0.0010909992561367995,0.05584759070997597,0.03400694272253891,-0.011560872799405047,-0.02309075130176045,-0.004049921481114313,0.024200347136126902,-0.03055624431771227,-0.008715596330275209,0.05584759070997597,-0.03055624431771227,0
H139,lung,seed42_main,target_disjoint,11,220,140,0.8354464285714287,0.8392857142857142,0.0038392857142854,0.0069999999999999,-0.0031607142857144,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1122645860312514,0.2516380620744778,0.011151785714285512,0.0024910714285713413,0.002165178571428466,-0.006618303571428688,-0.021149553571428514,-0.0175223214285715,-0.007312500000000112,0.0013482142857140587,0.001674107142856934,0.011151785714285512,-0.007312500000000112,0
H139,external_lung,seed43,dual_axis_disjoint,11,220,184,0.7181461352657005,0.681159420289855,-0.0369867149758454,0.0322878925120771,-0.0692746074879226,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.1301493556529778,0.2911133583638413,0.02211654589371972,0.05211352657004827,-0.011186594202898479,-0.027589070048309128,-0.03867564915458936,-0.032627566425120776,-0.05910326086956512,-0.08910024154589367,-0.025800120772946925,0.05211352657004827,-0.08910024154589367,0
H139,external_lung,seed43,source_disjoint,11,220,106,0.8550976497848394,0.8723932472691162,0.0172955974842767,0.0130172128434294,0.0042783846408473,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.132425852844502,0.2747510422017194,0.002002648129758412,0.013000662032439483,0.0083995365772924,-0.008740897053955563,-0.0163853028798411,-0.013706140350877062,0.01529294935451829,0.004294935451837218,0.008896060906984301,0.013000662032439483,0.004294935451837218,1
