domain,n_rows,mean_delta_vs_h70,mean_strict_margin,fraction_strict_positive
external_lung,7,-0.0016776625464926,-0.023436671994748203,0.5714285714285714
immune,9,0.06830702173590268,0.011635903196920585,0.7777777777777778
lung,9,0.02009384002335723,-0.007946906595435206,0.4444444444444444
