domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,null_family,n_null_draws,rewire_attempts,knn_k,used_component_bridging,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm
immune,seed42_main,source_disjoint,0,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,23.514763832092285,194.0269575715065,18.08625133102201,-170.51219373941422,-9.427724441577318,1.0
immune,seed43,source_disjoint,0,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,36.127076148986816,265.34035193920135,26.593069874872967,-229.21327579021454,-8.619286034297692,1.0
immune,seed44,source_disjoint,0,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,33.707741498947144,217.56475269794464,20.508944459391014,-183.8570111989975,-8.96472324814576,1.0
immune,seed42_main,source_disjoint,0,2470,180,14,feature_shuffle,20,0,30,True,23.514763832092285,20.30100655555725,4.4437029908435255,3.213757276535034,0.7232160390633504,0.19047619047619047
immune,seed43,source_disjoint,0,2470,180,14,feature_shuffle,20,0,30,True,36.127076148986816,19.525775957107545,2.969633043555323,16.60130019187927,5.590354074998237,0.047619047619047616
immune,seed44,source_disjoint,0,2470,180,14,feature_shuffle,20,0,30,True,33.707741498947144,21.50145000219345,3.8520128386714254,12.206291496753693,3.168808621571179,0.047619047619047616
immune,seed42_main,source_disjoint,1,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,29.9623806476593,198.44609501957893,19.98521200606531,-168.48371437191963,-8.430419167550292,1.0
immune,seed43,source_disjoint,1,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,24.158658742904663,190.83349937200546,19.35391362035836,-166.6748406291008,-8.61194505100838,1.0
immune,seed44,source_disjoint,1,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,25.573349714279175,201.2755182683468,22.598243315534038,-175.7021685540676,-7.775036585499319,1.0
immune,seed42_main,source_disjoint,1,2470,180,14,feature_shuffle,20,0,30,True,29.9623806476593,20.131567573547365,3.0732722156175076,9.830813074111937,3.1988097315153836,0.047619047619047616
immune,seed43,source_disjoint,1,2470,180,14,feature_shuffle,20,0,30,True,24.158658742904663,15.608346652984618,2.657948239942009,8.550312089920045,3.2168843464347185,0.047619047619047616
immune,seed44,source_disjoint,1,2470,180,14,feature_shuffle,20,0,30,True,25.573349714279175,16.83473551273346,3.7510976025128024,8.738614201545715,2.3296152553754497,0.047619047619047616
immune,seed42_main,source_disjoint,2,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,23.839953422546387,160.49512809515,21.210114131821808,-136.6551746726036,-6.442925003460267,1.0
immune,seed43,source_disjoint,2,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,16.75245761871338,130.17730797871113,13.2441593446452,-113.42485035999775,-8.564141173466995,1.0
immune,seed44,source_disjoint,2,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,23.37753438949585,184.97814038395882,14.605682334910833,-161.60060599446297,-11.064228447385666,1.0
immune,seed42_main,source_disjoint,2,2470,180,14,feature_shuffle,20,0,30,True,23.839953422546387,18.119659352302552,2.8549603087989293,5.720294070243835,2.003633483313366,0.09523809523809523
immune,seed43,source_disjoint,2,2470,180,14,feature_shuffle,20,0,30,True,16.75245761871338,13.155798721313477,2.968149306545221,3.5966588973999016,1.2117513388753625,0.19047619047619047
immune,seed44,source_disjoint,2,2470,180,14,feature_shuffle,20,0,30,True,23.37753438949585,16.489142894744873,2.628095332309487,6.888391494750977,2.621058455317379,0.047619047619047616
immune,seed42_main,source_disjoint,3,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,24.794391870498657,167.17500627040863,15.495573702937556,-142.38061439990997,-9.18847001861763,1.0
immune,seed43,source_disjoint,3,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,24.2347469329834,175.72122287750244,17.40786124374663,-151.48647594451904,-8.702187696391183,1.0
immune,seed44,source_disjoint,3,2470,180,14,degree_preserving_geodesic_rewire,8,8,30,True,21.31549072265625,162.872794598341,18.099830991362513,-141.55730387568474,-7.820918545339838,1.0
immune,seed42_main,source_disjoint,3,2470,180,14,feature_shuffle,20,0,30,True,24.794391870498657,16.282772558927537,3.7238201702540166,8.51161931157112,2.2857224355989207,0.047619047619047616
immune,seed43,source_disjoint,3,2470,180,14,feature_shuffle,20,0,30,True,24.2347469329834,18.3506441116333,2.4809527388318857,5.884102821350098,2.3717109668718703,0.047619047619047616
immune,seed44,source_disjoint,3,2470,180,14,feature_shuffle,20,0,30,True,21.31549072265625,13.415496850013733,2.3028757811985243,7.899993872642517,3.4304906646334605,0.047619047619047616
