domain,layer,null_family,source_fisher_p,target_fisher_p,source_mean_h1_sum_delta,target_mean_h1_sum_delta,source_sig,target_sig,both_splits_sig,both_splits_positive_delta
immune,0,degree_preserving_geodesic_rewire,1.0,1.0,-194.52749357620874,-86.88551661372185,False,False,False,False
immune,1,degree_preserving_geodesic_rewire,1.0,1.0,-170.28690785169601,-136.81885280211768,False,False,False,False
immune,2,degree_preserving_geodesic_rewire,1.0,1.0,-137.22687700902145,-151.2283963561058,False,False,False,False
immune,3,degree_preserving_geodesic_rewire,1.0,1.0,-145.14146474003792,-144.54772140582403,False,False,False,False
immune,4,degree_preserving_geodesic_rewire,1.0,1.0,-135.52584562699,-120.915398478508,False,False,False,False
immune,5,degree_preserving_geodesic_rewire,1.0,1.0,-149.47631319845996,-154.70749805370966,False,False,False,False
immune,6,degree_preserving_geodesic_rewire,1.0,1.0,-140.0002440235337,-109.20032072067261,False,False,False,False
immune,7,degree_preserving_geodesic_rewire,1.0,1.0,-167.52687833589565,-151.56885735193887,False,False,False,False
immune,8,degree_preserving_geodesic_rewire,1.0,1.0,-150.55590684215227,-149.8964103658994,False,False,False,False
immune,9,degree_preserving_geodesic_rewire,1.0,1.0,-126.77811097196623,-155.4364142815272,False,False,False,False
immune,10,degree_preserving_geodesic_rewire,1.0,1.0,-98.65676939487457,-102.26014458139737,False,False,False,False
immune,11,degree_preserving_geodesic_rewire,1.0,1.0,-70.5274941076835,-92.9597001473109,False,False,False,False
immune,0,feature_shuffle,0.01674004623640472,0.634206009838419,10.673782988389334,-0.4997674475113551,True,False,False,False
immune,1,feature_shuffle,0.005598163615730096,0.32107333157977347,9.039913121859232,0.7198442022005717,True,False,False,True
immune,2,feature_shuffle,0.02845003431291927,0.19769546037373179,5.401781487464905,1.0035633673270543,True,False,False,True
immune,3,feature_shuffle,0.005598163615730096,0.22967148066053916,7.431905335187911,-0.24543113311131806,True,False,False,False
immune,4,feature_shuffle,0.02845003431291927,0.5696655280012699,7.592809112866719,-0.8535657137632371,True,False,False,False
immune,5,feature_shuffle,0.013383610672947313,0.33019665330248,5.758984573682149,0.21882075692216554,True,False,False,True
immune,6,feature_shuffle,0.005598163615730096,0.13207941211476887,6.947227501869201,1.6765062739451724,True,False,False,True
immune,7,feature_shuffle,0.01674004623640472,0.02845003431291927,6.788902590672175,1.593856322268645,True,True,True,True
immune,8,feature_shuffle,0.047670019061558766,0.07503207789872782,5.610362682739894,1.4080700690547625,True,False,False,True
immune,9,feature_shuffle,0.005598163615730096,0.005598163615730096,6.101408455769222,2.6009337817629175,True,True,True,True
immune,10,feature_shuffle,0.005598163615730096,0.019884672832441094,5.600545811653137,1.7868740012248356,True,True,True,True
immune,11,feature_shuffle,0.013383610672947337,0.03855005503308801,2.807957061131795,1.0888820027311643,True,True,True,True
