domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_descriptor_blend,delta_auc_descriptor_blend_minus_h70,blend_nonzero_feature_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,0.8760258410886246,0.9334365575400836,0.05741071645145901,5,0.05660217175106518,0.0008085447003938276,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
external_lung,seed42_main,source_disjoint,3,704,337,0.873636591498961,0.9300608834159397,0.05642429191697873,5,0.06799800289458997,-0.011573710977611243,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111
external_lung,seed42_main,source_disjoint,7,704,337,0.8664162873244448,0.9321711850839675,0.0657548977595227,6,0.10203490487471592,-0.03628000711519322,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
external_lung,seed42_main,source_disjoint,11,704,337,0.8509205281413983,0.9309745389273846,0.08005401078598628,6,0.07192732800232857,0.008126682783657718,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
external_lung,seed42_main,target_disjoint,0,1014,671,0.8686569369071879,0.9492294256429419,0.08057248873575396,5,0.03589764200336295,0.044674846732391006,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed42_main,target_disjoint,3,1014,671,0.8765647199906148,0.9508566040851087,0.07429188409449394,5,0.08546303980395639,-0.01117115570946245,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
external_lung,seed42_main,target_disjoint,7,1014,671,0.8703644966609169,0.9496421945401538,0.07927769787923689,5,0.042811303784873564,0.03646639409436332,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed42_main,target_disjoint,11,1014,671,0.857342724187823,0.949411912944867,0.09206918875704406,5,0.014365009363336527,0.07770417939370754,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed42_main,source_disjoint,0,953,240,0.9179581580177653,0.9668302945301543,0.048872136512389086,4,0.0818595137914913,-0.03298737727910221,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
immune,seed42_main,source_disjoint,3,953,240,0.8901414212248715,0.9686740299205235,0.07853260869565204,5,0.0917414679756896,-0.013208859280037566,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111
immune,seed42_main,source_disjoint,7,953,240,0.9065509583917719,0.96815100514259,0.061600046750818094,5,0.07796049555867221,-0.016360448807854117,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111
immune,seed42_main,source_disjoint,11,953,240,0.8911202664796635,0.9693080878915382,0.07818782141187475,5,0.07831682445067785,-0.00012900303880310215,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
immune,seed42_main,target_disjoint,0,1111,276,0.9038488240909485,0.9682764904972664,0.06442766640631792,6,0.05539931007550114,0.009028356330816778,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed42_main,target_disjoint,3,1111,276,0.9042002950620497,0.9678425757181289,0.06364228065607924,4,0.055659333506899174,0.007982947149180068,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed42_main,target_disjoint,7,1111,276,0.8969192050681246,0.9699080100668229,0.07298880499869831,6,0.046913238739911454,0.026075566258786854,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
immune,seed42_main,target_disjoint,11,1111,276,0.8934348693916515,0.9697648181897076,0.0763299487980561,4,0.06772097110127566,0.008608977696780443,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
lung,seed42_main,source_disjoint,0,690,342,0.8311319486455603,0.9318494992269948,0.1007175505814345,2,0.02967479162465557,0.07104275895677893,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,3,690,342,0.8079585938025139,0.9321267728708744,0.12416817906836053,3,0.0364625344491496,0.08770564461921093,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,7,690,342,0.8227969348659003,0.9327485380116959,0.10995160314579555,3,0.04391300329367476,0.0660385998521208,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,11,690,342,0.805093432815756,0.9308076225045372,0.12571418968878123,2,0.04237539490488663,0.08333879478389461,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,target_disjoint,0,879,561,0.86971266494019,0.9448984854090292,0.07518582046883926,4,0.0427551037567686,0.03243071671207066,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,target_disjoint,3,879,561,0.8581598448413098,0.9443211246762856,0.08616127983497579,5,0.028052304398031264,0.05810897543694453,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,target_disjoint,7,879,561,0.8540790816040538,0.943743763943542,0.08966468233948821,5,0.03327910066256341,0.0563855816769248,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,target_disjoint,11,879,561,0.8598807161515263,0.9462718191907981,0.08639110303927178,7,0.061921938586755355,0.024469164452516422,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
