hypothesis_id,null_kind,domain,perm_idx,null_value
H86,depth_order_permutation,immune,4,0.571731239197663
H86,depth_order_permutation,immune,5,0.5658796631653789
H86,depth_order_permutation,immune,6,0.5481708185784677
H86,depth_order_permutation,immune,7,0.557309480311917
H86,depth_order_permutation,immune,8,0.6186170961420998
H86,depth_order_permutation,immune,9,0.5481708185784677
H86,depth_order_permutation,immune,10,0.5658796631653789
H86,depth_order_permutation,immune,11,0.6186170961420998
H86,depth_order_permutation,immune,12,0.60558135487967
H86,depth_order_permutation,immune,13,0.6081710644166707
H86,depth_order_permutation,immune,14,0.5612065598408975
H86,depth_order_permutation,immune,15,0.5576353929483839
H86,depth_order_permutation,immune,16,0.5568646228780996
H86,depth_order_permutation,immune,17,0.595098260606451
H86,depth_order_permutation,immune,18,0.5814852407326534
H86,depth_order_permutation,immune,19,0.5886313447726259
H86,depth_order_permutation,immune,20,0.6096807957346662
H86,depth_order_permutation,immune,21,0.571731239197663
H86,depth_order_permutation,immune,22,0.5568646228780996
H86,depth_order_permutation,immune,23,0.576849199955962
H86,depth_order_permutation,lung,0,0.6285676302023819
H86,depth_order_permutation,lung,1,0.5638837633038605
H86,depth_order_permutation,lung,2,0.6279959481179509
H86,depth_order_permutation,lung,3,0.5380053172943808
H86,depth_order_permutation,lung,4,0.5903165937628201
H86,depth_order_permutation,lung,5,0.5395721017850352
H86,depth_order_permutation,lung,6,0.5504873318212289
H86,depth_order_permutation,lung,7,0.5395721017850352
H86,depth_order_permutation,lung,8,0.613462310718693
H86,depth_order_permutation,lung,9,0.5414028902432291
H86,depth_order_permutation,lung,10,0.6279959481179509
H86,depth_order_permutation,lung,11,0.6161511535582054
H86,depth_order_permutation,lung,12,0.6137374540689478
H86,depth_order_permutation,lung,13,0.6137374540689478
H86,depth_order_permutation,lung,14,0.601892659509202
H86,depth_order_permutation,lung,15,0.6025470806824993
H86,depth_order_permutation,lung,16,0.6033939061171851
