domain,split_regime,n_rows,mean_delta_auc_local_dual_filtration_plus_h70_minus_h70,mean_dual_cycle_hotspot_gap,mean_null_gap_q95_local_dual_filtration_hotspot_gap,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,-0.0014155910095455988,0.022612975993571816,-0.17936027249914646,0.5,0.3333333333333333,0.0,0.00946377938465285
external_lung,target_disjoint,6,0.0002572810538231292,-0.030779034141857037,-0.2505126354868219,0.5,0.16666666666666666,0.0,0.030116932029105824
immune,source_disjoint,6,0.0011306248932939449,0.4061858970378179,0.052764885931594514,0.5,0.6666666666666666,0.0,0.0011123964021442989
immune,target_disjoint,6,0.003472527108076773,0.5029624842308209,0.23035364552590784,0.3333333333333333,0.6666666666666666,0.0,0.0018195601597695548
lung,source_disjoint,6,0.007975877208343826,0.49295235471794857,0.1848328602486343,0.8333333333333334,0.6666666666666666,0.0,0.0024173205704636058
lung,target_disjoint,6,0.010156573081151995,-0.023537484163278055,-0.29438651030102386,0.6666666666666666,0.3333333333333333,0.0,0.0613512084370363
