hypothesis_id,null_kind,domain,split_regime,layer,perm_idx,null_value
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,0,0.01350406034246776
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,1,0.01444256646665476
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,2,0.015289828939878958
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,3,0.0101367351283711
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,4,0.013086946509495712
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,5,0.005474619057757257
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,6,0.011535804443131181
H87,descriptor_shuffle_within_geodesic_bins,external_lung,target_disjoint,11,7,0.008594282933526709
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,0,-0.014744039270687126
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,1,-0.007351566152407507
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,2,-0.006042543244506704
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,3,-0.005434782608695676
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,4,-2.3375409069492648e-05
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,5,-0.003044647031323122
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,6,-0.011903927068723674
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,0,7,-0.001665497896213064
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,0,0.010337774661056565
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,1,0.013359046283309861
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,2,0.00725806451612887
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,3,0.005797101449275255
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,4,0.0047393641888731075
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,5,0.0015486208508648236
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,6,0.0027173913043476716
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,3,7,0.011646797568957368
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,0,0.00790673211781201
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,1,0.0024018232819073004
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,2,0.005469845722300137
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,3,0.0014901823281906479
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,4,0.002442730247779301
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,5,0.0022907900888264887
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,6,0.0027875175315567047
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,7,7,0.004926367461430492
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,0,0.011889317438055103
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,1,0.007366175783076079
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,2,0.012958742402991885
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,3,0.011602968676951653
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,4,0.009072580645161143
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,5,0.01060951379149122
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,6,0.007944717157550074
H87,descriptor_shuffle_within_geodesic_bins,immune,source_disjoint,11,7,0.009019985974754507
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,0,-0.005393560704677447
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,1,-0.0011542133125055365
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,2,0.0007116202377853709
H87,descriptor_shuffle_within_geodesic_bins,immune,target_disjoint,0,3,-0.0016185021261821975
