domain,split_regime,n_rows,mean_delta_auc_relative_ph_minus_h93,mean_null_gap_q95_delta_auc,mean_relative_conn_two_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,-0.0022490288284603976,-0.012292348190554012,0.016829380494786345,0.0,0.0,0.0,0.29797352091407164
external_lung,target_disjoint,2,0.004238975817923152,-0.027593172119487933,-0.0033428165007112344,0.5,0.0,0.5,0.10749075277071363
immune,source_disjoint,2,-0.0032347193207089564,-0.03062285194420112,0.06654761102500169,0.5,0.0,0.0,0.3095966748294488
immune,target_disjoint,2,-0.005510204081632608,-0.020814625850340034,0.01666666666666667,0.0,0.0,0.0,0.4502728770569271
lung,source_disjoint,2,0.00035716107964700594,-0.009208377978468215,0.030375699440447657,0.5,0.0,0.0,0.18392851185234155
lung,target_disjoint,2,-0.004895182255655717,-0.04248229990596833,0.003841934472776887,0.0,0.0,0.0,0.7545807512100657
