domain,split_regime,n_rows,mean_delta_auc_persistence_derivative_minus_h70,mean_null_gap_q95_delta_auc,mean_derivative_spectrum_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,-0.0006078036053130953,-0.028450026684060672,0.03394064278937381,0.25,0.0,0.0,0.6587165130734676
external_lung,target_disjoint,4,-0.000495507399577183,-0.02428316596194494,0.026319701374207194,0.25,0.0,0.0,0.3380045812333931
immune,source_disjoint,4,0.0076923076923077205,-0.007833333333333284,0.018750000000000017,0.75,0.0,0.0,0.1767306248887285
immune,target_disjoint,4,0.0014003944773175458,-0.018240631163708117,0.03125,0.25,0.0,0.0,0.35146123213824004
lung,source_disjoint,4,0.021155097934789008,-0.004161488845493846,0.019328066749511846,0.75,0.0,0.75,0.0046297597146067165
lung,target_disjoint,4,0.008138938733658063,-0.017971353499102845,0.039549154063060754,0.75,0.25,0.5,0.054870230104062605
