domain,seed_tag,split_regime,layer,n_modules,module_persistence_ot_concordance,warped_ot_transport_cost,top_module_overlap_jaccard,alignment_rmse,best_warp_w7,best_warp_w11,q95_null_concordance,null_gap_q95_concordance,p_module_membership_upper,p_depth_order_upper,p_random_warp_upper,p_random_subspace_upper,p_best_upper
external_lung,seed42_main,other,-1,64,0.5929498647060659,1.61171802850756,0.2958199356913183,0.8047524367804193,0.8,0.2,0.6368783418950705,-0.04392847718900461,0.30303030303030304,1.0,0.030303030303030304,0.2727272727272727,0.030303030303030304
immune,seed42_main,other,-1,64,0.4275286189919068,1.8999256547416095,0.27936507936507937,0.9618270522915682,0.8,0.2,0.6745138968097647,-0.2469852778178579,1.0,1.0,0.21212121212121213,0.9090909090909091,0.21212121212121213
lung,seed42_main,other,-1,64,0.6914643262389036,1.5814096661916435,0.3944636678200692,0.793190555649784,0.8,0.2,0.6914643262389036,0.0,0.06060606060606061,1.0,0.030303030303030304,0.12121212121212122,0.030303030303030304
