domain,null_idx,procrustes_top1_null,random_top1_null,jaccard_null,transfer_auc_null
external_lung,0,0.0016666666666666668,0.0016666666666666668,0.00797442953789703,0.4950536652728761
external_lung,1,0.0,0.0033333333333333335,0.00894908840729274,0.4929961906876457
external_lung,2,0.0016666666666666668,0.0016666666666666668,0.009230019493177387,0.4894061773938376
external_lung,3,0.0016666666666666668,0.005,0.009678362573099415,0.5025461799578426
external_lung,4,0.0016666666666666668,0.006666666666666667,0.009254672629285633,0.5146532067247531
external_lung,5,0.0,0.0016666666666666668,0.008529985093452585,0.5136139602634979
external_lung,6,0.0016666666666666668,0.0016666666666666668,0.009473684210526315,0.5432010439959087
external_lung,7,0.0,0.0,0.009005847953216375,0.5178948497874013
external_lung,8,0.0016666666666666668,0.0033333333333333335,0.008996101364522417,0.4967015725896728
external_lung,9,0.0033333333333333335,0.0016666666666666668,0.008304093567251461,0.5052519715432615
external_lung,10,0.0016666666666666668,0.005,0.008391812865497077,0.5079739623444295
external_lung,11,0.0016666666666666668,0.0033333333333333335,0.0083447999082674,0.49992039740218
external_lung,12,0.0,0.005,0.006881091617933723,0.5169479794991085
external_lung,13,0.005,0.0016666666666666668,0.009122807017543859,0.48051989147570556
external_lung,14,0.0016666666666666668,0.005,0.008861369109047128,0.4769981587472049
external_lung,15,0.0,0.0,0.008157894736842105,0.5138624063000201
external_lung,16,0.0033333333333333335,0.0016666666666666668,0.007789244352711846,0.48427985138061447
external_lung,17,0.0033333333333333335,0.0016666666666666668,0.008888888888888887,0.5089385995145113
external_lung,18,0.0016666666666666668,0.0033333333333333335,0.0095224171539961,0.49135809579902656
external_lung,19,0.0016666666666666668,0.0016666666666666668,0.006189083820662768,0.509514571630029
external_lung,20,0.0,0.0016666666666666668,0.008635477582846003,0.4925543411111245
external_lung,21,0.0,0.005,0.008557504873294345,0.4844315666162846
external_lung,22,0.0,0.0016666666666666668,0.008021442495126705,0.49024760762549924
external_lung,23,0.0,0.0,0.008304093567251461,0.5181117683180034
external_lung,24,0.0016666666666666668,0.0033333333333333335,0.009202499713335626,0.505995451678262
external_lung,25,0.0,0.0,0.008810916179337233,0.4888642294375632
external_lung,26,0.0016666666666666668,0.0033333333333333335,0.00797442953789703,0.4764023875902163
external_lung,27,0.0016666666666666668,0.0016666666666666668,0.008128654970760233,0.4861457223387069
external_lung,28,0.0033333333333333335,0.0033333333333333335,0.006881091617933723,0.4861715017358127
external_lung,29,0.0,0.0016666666666666668,0.00810916179337232,0.4892615456862011
external_lung,30,0.0016666666666666668,0.005,0.007846003898635477,0.5102448717579505
external_lung,31,0.0,0.0033333333333333335,0.00871345029239766,0.5085835521872542
external_lung,32,0.008333333333333333,0.0033333333333333335,0.008576998050682261,0.5033361094569977
external_lung,33,0.0,0.0033333333333333335,0.008898635477582845,0.5096862600922856
external_lung,34,0.0033333333333333335,0.0016666666666666668,0.01084795321637427,0.5053831329352932
external_lung,35,0.0016666666666666668,0.0,0.010389863547758284,0.49600750296579194
external_lung,36,0.0,0.005,0.009025341130604287,0.5119197777676622
external_lung,37,0.0,0.0033333333333333335,0.008362573099415203,0.5093395736505762
external_lung,38,0.006666666666666667,0.0,0.008294346978557505,0.4979463574873123
external_lung,39,0.0033333333333333335,0.005,0.009181286549707603,0.4993330451924443
external_lung,40,0.0016666666666666668,0.0016666666666666668,0.0097953216374269,0.49006198435399617
external_lung,41,0.0,0.0016666666666666668,0.008128654970760233,0.4898194606114037
external_lung,42,0.0016666666666666668,0.0016666666666666668,0.009366471734892787,0.49612490373369283
external_lung,43,0.0033333333333333335,0.0033333333333333335,0.008226120857699805,0.47685898483985656
external_lung,44,0.0,0.0016666666666666668,0.007066276803118908,0.4866057452289535
external_lung,45,0.0,0.0,0.008216374269005847,0.46533391054409856
external_lung,46,0.0,0.0016666666666666668,0.007231968810916178,0.5005582632954337
external_lung,47,0.0016666666666666668,0.0033333333333333335,0.010253411306042882,0.5004812734743473
external_lung,48,0.0,0.0,0.008226120857699805,0.5088905824843164
external_lung,49,0.0016666666666666668,0.0,0.008937621832358673,0.5010096349916067
external_lung,50,0.005,0.0,0.01002923976608187,0.5039318225522811
external_lung,51,0.0,0.0016666666666666668,0.007992202729044834,0.5172694090990588
external_lung,52,0.0016666666666666668,0.0016666666666666668,0.007867217062263501,0.5056596227754239
external_lung,53,0.0016666666666666668,0.0033333333333333335,0.007592592592592593,0.4832558170861199
external_lung,54,0.0,0.005,0.007962962962962963,0.5176980206067959
external_lung,55,0.0,0.0,0.009171539961013643,0.4713472452275601
external_lung,56,0.0,0.0016666666666666668,0.008939341818598784,0.49067947058872713
external_lung,57,0.0,0.0033333333333333335,0.008382066276803117,0.492804064505161
external_lung,58,0.0016666666666666668,0.0016666666666666668,0.009298245614035085,0.5184830148610096
external_lung,59,0.0,0.0016666666666666668,0.007855750487329434,0.5047421897716642
external_lung,60,0.0033333333333333335,0.0,0.00908382066276803,0.4763416550465841
external_lung,61,0.0016666666666666668,0.0033333333333333335,0.00756335282651072,0.5070327821032459
external_lung,62,0.0016666666666666668,0.0,0.00949661736039445,0.5215257965833706
external_lung,63,0.0,0.0,0.008401559454191031,0.5011860845136891
external_lung,64,0.0016666666666666668,0.0,0.0097270955165692,0.49489231179414384
external_lung,65,0.0033333333333333335,0.0,0.008812636165577342,0.493813235003126
external_lung,66,0.0033333333333333335,0.008333333333333333,0.008354546496961358,0.5036591067229881
external_lung,67,0.0,0.0,0.008793142988189428,0.511838955874033
external_lung,68,0.0016666666666666668,0.005,0.0075243664717348935,0.4945843525097985
external_lung,69,0.0,0.0033333333333333335,0.009758055268891182,0.4937678307496649
external_lung,70,0.0,0.0016666666666666668,0.008820662768031189,0.5004034707893884
external_lung,71,0.0,0.0033333333333333335,0.008557504873294345,0.4935727434202154
external_lung,72,0.005,0.0016666666666666668,0.008520238504758627,0.5018551876043369
external_lung,73,0.0,0.005,0.008918128654970759,0.4967193975331671
external_lung,74,0.0033333333333333335,0.0016666666666666668,0.006968810916179337,0.5092860988200932
external_lung,75,0.0016666666666666668,0.0016666666666666668,0.007475633528265107,0.5133741654210495
external_lung,76,0.0016666666666666668,0.0,0.00831384015594542,0.5101115620828267
external_lung,77,0.0,0.0033333333333333335,0.00898635477582846,0.4819946007259106
external_lung,78,0.0016666666666666668,0.0016666666666666668,0.00942495126705653,0.4893941586208626
external_lung,79,0.0016666666666666668,0.0016666666666666668,0.007680311890838206,0.4758291443748426
external_lung,80,0.0016666666666666668,0.0016666666666666668,0.008190574475404196,0.520481034260122
external_lung,81,0.0,0.0033333333333333335,0.009639376218323585,0.5131285644080817
external_lung,82,0.0016666666666666668,0.0,0.007582846003898635,0.5077669723654152
external_lung,83,0.0,0.0,0.007115009746588693,0.49295636035788304
external_lung,84,0.0033333333333333335,0.0033333333333333335,0.008567251461988305,0.5140222501744174
external_lung,85,0.0,0.0033333333333333335,0.008372319688109163,0.5097284709519612
external_lung,86,0.0033333333333333335,0.0033333333333333335,0.007943469785575048,0.5230732571501828
external_lung,87,0.0016666666666666668,0.0033333333333333335,0.008304093567251461,0.5154851148367631
external_lung,88,0.0016666666666666668,0.0033333333333333335,0.010360623781676412,0.4900035162168665
external_lung,89,0.0,0.0016666666666666668,0.008557504873294347,0.49196124079257475
external_lung,90,0.0033333333333333335,0.0016666666666666668,0.007407407407407406,0.4995309194837432
external_lung,91,0.0016666666666666668,0.0,0.00831384015594542,0.4858603490576817
external_lung,92,0.0,0.0016666666666666668,0.008372319688109161,0.49595756989932566
external_lung,93,0.0033333333333333335,0.0016666666666666668,0.007875243664717348,0.5157157359297909
external_lung,94,0.0016666666666666668,0.0033333333333333335,0.008830409356725145,0.49282502478073575
external_lung,95,0.0033333333333333335,0.005,0.008840155945419103,0.5199659108116469
external_lung,96,0.0,0.0,0.009541910331384015,0.4745705988530723
external_lung,97,0.005,0.0033333333333333335,0.00854775828460039,0.49092147177597284
external_lung,98,0.0016666666666666668,0.0016666666666666668,0.009892787524366472,0.4924011743328245
