domain,layer,n_genes,n_edges_eval,n_positive_edges,pca_dim_alignment,k_neighbors,procrustes_top1_retrieval,ot_top1_assignment_recovery,mean_jaccard_true_map,mean_jaccard_ot_map,transfer_auc_true_map,transfer_auc_ot_map,p_procrustes_top1_upper,p_ot_top1_upper,p_jaccard_true_upper,p_jaccard_ot_upper,p_transfer_auc_true_upper,p_transfer_auc_ot_upper,null_mean_jaccard,null_mean_transfer_auc
external_lung,3,600,5954,2476,64,10,0.28,0.0016666666666666668,0.052682384694768596,0.030184181859878447,0.5367784323525395,0.5482574637160792,0.0033222591362126247,0.6877076411960132,0.0033222591362126247,0.0033222591362126247,0.009966777408637873,0.0033222591362126247,0.008745514658104957,0.49927383522026125
immune,0,361,2940,735,64,10,0.5595567867036011,0.00554016620498615,0.08768877138258716,0.031319948886392286,0.5959486016628874,0.5030126336248786,0.0033222591362126247,0.23255813953488372,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.5514950166112956,0.014962418380062008,0.5025194162925941
lung,0,600,5911,2444,64,10,0.3466666666666667,0.0,0.04887127163055955,0.028148721476894848,0.5623988888453536,0.5088180020459445,0.0033222591362126247,1.0,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.2724252491694352,0.008808337155524978,0.4997195435617656
