domain,seed_tag,split_regime,layer,tier,tier_code,n_edges,n_positive,positive_rate,auc_same_community,delta_positive_rate_same_minus_diff,same_community_edge_fraction
immune,seed43,source_disjoint,6,low,0,1111,24,0.021602160216021602,0.6350045998160073,0.0316672510991827,0.23582358235823583
immune,seed43,source_disjoint,6,medium,1,206,138,0.6699029126213593,0.5492327365728901,0.10999999999999999,0.27184466019417475
immune,seed44,source_disjoint,6,high,2,210,202,0.9619047619047619,0.39851485148514854,-0.0351027397260274,0.3047619047619048
immune,seed44,source_disjoint,6,low,0,1111,24,0.021602160216021602,0.5813784115302055,0.017995337995337996,0.25742574257425743
immune,seed44,source_disjoint,6,medium,1,206,138,0.6699029126213593,0.5561594202898551,0.11317513153656189,0.32524271844660196
immune,seed42_main,source_disjoint,7,high,2,210,202,0.9619047619047619,0.4511138613861386,-0.01773487484566172,0.28095238095238095
immune,seed42_main,source_disjoint,7,low,0,1111,24,0.021602160216021602,0.5878181539405091,0.02007817429713244,0.2448244824482448
immune,seed42_main,source_disjoint,7,medium,1,206,138,0.6699029126213593,0.5564791133844843,0.12348555452003729,0.2815533980582524
immune,seed43,source_disjoint,7,high,2,210,202,0.9619047619047619,0.4777227722772277,-0.006578947368421018,0.45714285714285713
immune,seed43,source_disjoint,7,low,0,1111,24,0.021602160216021602,0.5845982827353573,0.019015370829886958,0.25112511251125114
immune,seed43,source_disjoint,7,medium,1,206,138,0.6699029126213593,0.4976555839727196,-0.004761904761904745,0.32038834951456313
immune,seed44,source_disjoint,7,high,2,210,202,0.9619047619047619,0.39603960396039606,-0.03628117913832196,0.3
immune,seed44,source_disjoint,7,low,0,1111,24,0.021602160216021602,0.6095714504753142,0.025114215427868562,0.24392439243924394
immune,seed44,source_disjoint,7,medium,1,206,138,0.6699029126213593,0.5383631713554987,0.08879023307436174,0.25728155339805825
immune,seed42_main,source_disjoint,8,high,2,210,202,0.9619047619047619,0.5532178217821782,0.01709062003179651,0.3523809523809524
immune,seed42_main,source_disjoint,8,low,0,1111,24,0.021602160216021602,0.6192310640907697,0.02890127758420441,0.22502250225022502
immune,seed42_main,source_disjoint,8,medium,1,206,138,0.6699029126213593,0.5638320545609549,0.14105734133992698,0.2766990291262136
immune,seed43,source_disjoint,8,high,2,210,202,0.9619047619047619,0.5587871287128713,0.023749999999999938,0.23809523809523808
immune,seed43,source_disjoint,8,low,0,1111,24,0.021602160216021602,0.5567310640907697,0.013870145449092819,0.2223222322232223
immune,seed43,source_disjoint,8,medium,1,206,138,0.6699029126213593,0.5313299232736572,0.08115942028985501,0.21844660194174756
immune,seed44,source_disjoint,8,high,2,210,202,0.9619047619047619,0.3910891089108911,-0.03872813290791066,0.2904761904761905
immune,seed44,source_disjoint,8,low,0,1111,24,0.021602160216021602,0.5280780435449249,0.006568799770428294,0.23672367236723674
immune,seed44,source_disjoint,8,medium,1,206,138,0.6699029126213593,0.519927536231884,0.044036265159543064,0.2766990291262136
immune,seed42_main,source_disjoint,9,high,2,210,202,0.9619047619047619,0.48267326732673266,-0.005102040816326592,0.4666666666666667
immune,seed42_main,source_disjoint,9,low,0,1111,24,0.021602160216021602,0.6069457221711131,0.02192327639043862,0.2907290729072907
immune,seed42_main,source_disjoint,9,medium,1,206,138,0.6699029126213593,0.5050085251491901,0.010256410256410331,0.3155339805825243
immune,seed43,source_disjoint,9,high,2,210,202,0.9619047619047619,0.49319306930693063,-0.0021602513747054353,0.3619047619047619
immune,seed43,source_disjoint,9,low,0,1111,24,0.021602160216021602,0.5554852805887764,0.012000497429945283,0.2664266426642664
immune,seed43,source_disjoint,9,medium,1,206,138,0.6699029126213593,0.5416666666666666,0.08680208680208679,0.3058252427184466
immune,seed44,source_disjoint,9,high,2,210,202,0.9619047619047619,0.3787128712871287,-0.045454545454545414,0.26666666666666666
immune,seed44,source_disjoint,9,low,0,1111,24,0.021602160216021602,0.5498313400797301,0.011688650320538757,0.23582358235823583
immune,seed44,source_disjoint,9,medium,1,206,138,0.6699029126213593,0.5457161125319693,0.1071428571428571,0.2524271844660194
immune,seed42_main,source_disjoint,10,high,2,210,202,0.9619047619047619,0.3261138613861386,-0.061832984926834644,0.2904761904761905
immune,seed42_main,source_disjoint,10,low,0,1111,24,0.021602160216021602,0.5642249310027598,0.014505363218450508,0.24932493249324933
immune,seed42_main,source_disjoint,10,medium,1,206,138,0.6699029126213593,0.5271739130434783,0.05880318228986514,0.28640776699029125
immune,seed43,source_disjoint,10,high,2,210,202,0.9619047619047619,0.43873762376237624,-0.023504273504273532,0.2571428571428571
immune,seed43,source_disjoint,10,low,0,1111,24,0.021602160216021602,0.5665248390064398,0.015209808595667111,0.2448244824482448
immune,seed43,source_disjoint,10,medium,1,206,138,0.6699029126213593,0.5271739130434783,0.05880318228986514,0.28640776699029125
immune,seed44,source_disjoint,10,high,2,210,202,0.9619047619047619,0.443069306930693,-0.017530487804878092,0.3904761904761905
immune,seed44,source_disjoint,10,low,0,1111,24,0.021602160216021602,0.4962051517939282,-0.00083916083916084,0.25742574257425743
immune,seed44,source_disjoint,10,medium,1,206,138,0.6699029126213593,0.48326939471440744,-0.03620431223336795,0.28640776699029125
immune,seed42_main,source_disjoint,11,high,2,210,202,0.9619047619047619,0.34344059405940597,-0.05240265120132559,0.3238095238095238
immune,seed42_main,source_disjoint,11,low,0,1111,24,0.021602160216021602,0.5596251149954002,0.013155001522275972,0.2583258325832583
immune,seed42_main,source_disjoint,11,medium,1,206,138,0.6699029126213593,0.5086317135549873,0.01753246753246751,0.32038834951456313
immune,seed43,source_disjoint,11,high,2,210,202,0.9619047619047619,0.40779702970297027,-0.02732942039618491,0.44761904761904764
immune,seed43,source_disjoint,11,low,0,1111,24,0.021602160216021602,0.5786185219257897,0.017152558248448656,0.26282628262826285
immune,seed43,source_disjoint,11,medium,1,206,138,0.6699029126213593,0.479539641943734,-0.043414358394573194,0.2961165048543689
immune,seed44,source_disjoint,11,high,2,210,202,0.9619047619047619,0.4133663366336634,-0.02857142857142858,0.3333333333333333
immune,seed44,source_disjoint,11,low,0,1111,24,0.021602160216021602,0.588738117141981,0.02039018804773858,0.24302430243024303
immune,seed44,source_disjoint,11,medium,1,206,138,0.6699029126213593,0.5200341005967604,0.04580896686159841,0.2621359223300971
immune,seed42_main,target_disjoint,0,high,2,204,196,0.9607843137254902,0.4821428571428572,-0.005408015451472736,0.46568627450980393
immune,seed42_main,target_disjoint,0,low,0,1065,21,0.01971830985915493,0.5942802408319651,0.016266368672878367,0.3389671361502347
immune,seed42_main,target_disjoint,0,medium,1,196,140,0.7142857142857143,0.5214285714285715,0.03834303320780552,0.3520408163265306
immune,seed43,target_disjoint,0,high,2,204,196,0.9607843137254902,0.4974489795918367,-0.0010389610389610615,0.24509803921568626
immune,seed43,target_disjoint,0,low,0,1065,21,0.01971830985915493,0.5007525998905309,0.0001610730393018199,0.23661971830985915
immune,seed43,target_disjoint,0,medium,1,196,140,0.7142857142857143,0.5410714285714285,0.08821917808219182,0.25510204081632654
immune,seed44,target_disjoint,0,high,2,204,196,0.9607843137254902,0.5663265306122449,0.02127006851416302,0.37745098039215685
immune,seed44,target_disjoint,0,low,0,1065,21,0.01971830985915493,0.48303229337712095,-0.003317518638747189,0.27136150234741785
immune,seed44,target_disjoint,0,medium,1,196,140,0.7142857142857143,0.47678571428571426,-0.04211500636353116,0.34183673469387754
immune,seed42_main,target_disjoint,1,high,2,204,196,0.9607843137254902,0.43622448979591844,-0.020451988955925926,0.37745098039215685
immune,seed42_main,target_disjoint,1,low,0,1065,21,0.01971830985915493,0.5669129720853859,0.013804850047521806,0.24976525821596243
immune,seed42_main,target_disjoint,1,medium,1,196,140,0.7142857142857143,0.5,0.0,0.25
immune,seed43,target_disjoint,1,high,2,204,196,0.9607843137254902,0.3877551020408163,-0.041568256967406736,0.28431372549019607
immune,seed43,target_disjoint,1,low,0,1065,21,0.01971830985915493,0.5337985769020253,0.0091818148024237,0.17183098591549295
immune,seed43,target_disjoint,1,medium,1,196,140,0.7142857142857143,0.5607142857142858,0.15856095936042636,0.19387755102040816
immune,seed44,target_disjoint,1,high,2,204,196,0.9607843137254902,0.36607142857142855,-0.04341085271317824,0.36764705882352944
immune,seed44,target_disjoint,1,low,0,1065,21,0.01971830985915493,0.5569923371647509,0.01277320030259042,0.2215962441314554
immune,seed44,target_disjoint,1,medium,1,196,140,0.7142857142857143,0.5428571428571428,0.08763693270735529,0.2755102040816326
immune,seed42_main,target_disjoint,2,high,2,204,196,0.9607843137254902,0.4783163265306123,-0.007352941176470562,0.3333333333333333
immune,seed42_main,target_disjoint,2,low,0,1065,21,0.01971830985915493,0.5164203612479473,0.003354297693920337,0.2535211267605634
immune,seed42_main,target_disjoint,2,medium,1,196,140,0.7142857142857143,0.5321428571428571,0.06296851574212892,0.29591836734693877
immune,seed43,target_disjoint,2,high,2,204,196,0.9607843137254902,0.3303571428571428,-0.060988192135733144,0.29901960784313725
immune,seed43,target_disjoint,2,low,0,1065,21,0.01971830985915493,0.5303092501368363,0.0066923820650203435,0.22629107981220659
immune,seed43,target_disjoint,2,medium,1,196,140,0.7142857142857143,0.5035714285714286,0.007068029786696961,0.29081632653061223
immune,seed44,target_disjoint,2,high,2,204,196,0.9607843137254902,0.28316326530612246,-0.07352941176470595,0.3333333333333333
immune,seed44,target_disjoint,2,low,0,1065,21,0.01971830985915493,0.5550766283524904,0.012196969696969696,0.22535211267605634
immune,seed44,target_disjoint,2,medium,1,196,140,0.7142857142857143,0.5196428571428572,0.03617146212566069,0.33163265306122447
immune,seed42_main,target_disjoint,3,high,2,204,196,0.9607843137254902,0.4285714285714286,-0.023284823284823286,0.3627450980392157
immune,seed42_main,target_disjoint,3,low,0,1065,21,0.01971830985915493,0.5279146141215106,0.006075225587420709,0.23098591549295774
immune,seed42_main,target_disjoint,3,medium,1,196,140,0.7142857142857143,0.5232142857142857,0.053568800588668086,0.22959183673469388
immune,seed43,target_disjoint,3,high,2,204,196,0.9607843137254902,0.48341836734693877,-0.005543710021321924,0.3431372549019608
immune,seed43,target_disjoint,3,low,0,1065,21,0.01971830985915493,0.5303092501368363,0.0066923820650203435,0.22629107981220659
immune,seed43,target_disjoint,3,medium,1,196,140,0.7142857142857143,0.5035714285714286,0.006628787878787845,0.32653061224489793
immune,seed44,target_disjoint,3,high,2,204,196,0.9607843137254902,0.4464285714285714,-0.016862390846130726,0.39705882352941174
immune,seed44,target_disjoint,3,low,0,1065,21,0.01971830985915493,0.5021893814997264,0.00047247814788566045,0.23380281690140844
immune,seed44,target_disjoint,3,medium,1,196,140,0.7142857142857143,0.5375000000000001,0.07017543859649122,0.32142857142857145
immune,seed42_main,target_disjoint,4,high,2,204,196,0.9607843137254902,0.42602040816326525,-0.024260169402906984,0.35784313725490197
immune,seed42_main,target_disjoint,4,low,0,1065,21,0.01971830985915493,0.5160782703886152,0.0037923614846691774,0.20657276995305165
immune,seed42_main,target_disjoint,4,medium,1,196,140,0.7142857142857143,0.5160714285714286,0.031806134040136325,0.29081632653061223
immune,seed43,target_disjoint,4,high,2,204,196,0.9607843137254902,0.38265306122448983,-0.044401544401544424,0.27450980392156865
immune,seed43,target_disjoint,4,low,0,1065,21,0.01971830985915493,0.5184729064039408,0.0044322845417236675,0.20187793427230047
immune,seed43,target_disjoint,4,medium,1,196,140,0.7142857142857143,0.525,0.05442176870748294,0.25
immune,seed44,target_disjoint,4,high,2,204,196,0.9607843137254902,0.4336734693877551,-0.021381578947368474,0.37254901960784315
immune,seed44,target_disjoint,4,low,0,1065,21,0.01971830985915493,0.5269567597153804,0.005833695265921743,0.23286384976525823
immune,seed44,target_disjoint,4,medium,1,196,140,0.7142857142857143,0.525,0.04678362573099415,0.32142857142857145
immune,seed42_main,target_disjoint,5,high,2,204,196,0.9607843137254902,0.47066326530612246,-0.010182623132263369,0.31862745098039214
immune,seed42_main,target_disjoint,5,low,0,1065,21,0.01971830985915493,0.4951423097974822,-0.001173708920187793,0.2
immune,seed42_main,target_disjoint,5,medium,1,196,140,0.7142857142857143,0.6017857142857144,0.2313043478260869,0.23469387755102042
immune,seed43,target_disjoint,5,high,2,204,196,0.9607843137254902,0.38392857142857145,-0.03638544582167136,0.4019607843137255
immune,seed43,target_disjoint,5,low,0,1065,21,0.01971830985915493,0.5630815544608649,0.012762187750883572,0.25727699530516435
immune,seed43,target_disjoint,5,medium,1,196,140,0.7142857142857143,0.5482142857142855,0.09352963008783866,0.3010204081632653
immune,seed44,target_disjoint,5,high,2,204,196,0.9607843137254902,0.30612244897959184,-0.062174046426014984,0.37745098039215685
immune,seed44,target_disjoint,5,low,0,1065,21,0.01971830985915493,0.5545977011494252,0.01205535189139105,0.22629107981220659
immune,seed44,target_disjoint,5,medium,1,196,140,0.7142857142857143,0.5125,0.023391812865497075,0.32142857142857145
immune,seed42_main,target_disjoint,6,high,2,204,196,0.9607843137254902,0.3762755102040816,-0.03929113924050631,0.3872549019607843
immune,seed42_main,target_disjoint,6,low,0,1065,21,0.01971830985915493,0.5721811713191023,0.015323166303558459,0.23943661971830985
immune,seed42_main,target_disjoint,6,medium,1,196,140,0.7142857142857143,0.5178571428571429,0.03400121432908321,0.3112244897959184
immune,seed43,target_disjoint,6,high,2,204,196,0.9607843137254902,0.35076530612244894,-0.05024154589371976,0.3382352941176471
immune,seed43,target_disjoint,6,low,0,1065,21,0.01971830985915493,0.5002736726874658,5.8412352265425904e-05,0.2375586854460094
immune,seed43,target_disjoint,6,medium,1,196,140,0.7142857142857143,0.5321428571428571,0.06296851574212892,0.29591836734693877
immune,seed44,target_disjoint,6,high,2,204,196,0.9607843137254902,0.36352040816326525,-0.04449064449064444,0.3627450980392157
immune,seed44,target_disjoint,6,low,0,1065,21,0.01971830985915493,0.5274356869184454,0.005954089662750066,0.231924882629108
immune,seed44,target_disjoint,6,medium,1,196,140,0.7142857142857143,0.5178571428571429,0.032169117647058876,0.3469387755102041
immune,seed42_main,target_disjoint,7,high,2,204,196,0.9607843137254902,0.4107142857142857,-0.030504412245342616,0.3284313725490196
immune,seed42_main,target_disjoint,7,low,0,1065,21,0.01971830985915493,0.5969485495347565,0.020636523393885258,0.23849765258215963
immune,seed42_main,target_disjoint,7,medium,1,196,140,0.7142857142857143,0.5589285714285714,0.11914893617021283,0.28061224489795916
immune,seed43,target_disjoint,7,high,2,204,196,0.9607843137254902,0.3788265306122449,-0.03830645161290325,0.39215686274509803
immune,seed43,target_disjoint,7,low,0,1065,21,0.01971830985915493,0.5654761904761905,0.013408118660215573,0.25258215962441316
immune,seed43,target_disjoint,7,medium,1,196,140,0.7142857142857143,0.5339285714285714,0.060709802579025474,0.3520408163265306
immune,seed44,target_disjoint,7,high,2,204,196,0.9607843137254902,0.5331632653061225,0.011607142857142816,0.3137254901960784
immune,seed44,target_disjoint,7,low,0,1065,21,0.01971830985915493,0.5341406677613574,0.007722226807527238,0.2187793427230047
immune,seed44,target_disjoint,7,medium,1,196,140,0.7142857142857143,0.5303571428571429,0.05780206435944135,0.3112244897959184
immune,seed42_main,target_disjoint,8,high,2,204,196,0.9607843137254902,0.35841836734693877,-0.04671717171717171,0.35294117647058826
immune,seed42_main,target_disjoint,8,low,0,1065,21,0.01971830985915493,0.5259989053092501,0.0055950920245398765,0.2347417840375587
immune,seed42_main,target_disjoint,8,medium,1,196,140,0.7142857142857143,0.4946428571428571,-0.010494752623688153,0.29591836734693877
immune,seed43,target_disjoint,8,high,2,204,196,0.9607843137254902,0.32780612244897955,-0.0625,0.29411764705882354
immune,seed43,target_disjoint,8,low,0,1065,21,0.01971830985915493,0.4873426382047072,-0.002525022747952684,0.26291079812206575
immune,seed43,target_disjoint,8,medium,1,196,140,0.7142857142857143,0.5017857142857143,0.0036944187887583135,0.27040816326530615
immune,seed44,target_disjoint,8,high,2,204,196,0.9607843137254902,0.3762755102040816,-0.03929113924050631,0.3872549019607843
immune,seed44,target_disjoint,8,low,0,1065,21,0.01971830985915493,0.5269567597153804,0.005833695265921743,0.23286384976525823
immune,seed44,target_disjoint,8,medium,1,196,140,0.7142857142857143,0.5303571428571429,0.0546875,0.3469387755102041
immune,seed42_main,target_disjoint,9,high,2,204,196,0.9607843137254902,0.42091836734693877,-0.02626284019908931,0.3480392156862745
immune,seed42_main,target_disjoint,9,low,0,1065,21,0.01971830985915493,0.5664340448823207,0.013671819999436795,0.2507042253521127
immune,seed42_main,target_disjoint,9,medium,1,196,140,0.7142857142857143,0.5125,0.023391812865497075,0.32142857142857145
immune,seed43,target_disjoint,9,high,2,204,196,0.9607843137254902,0.44515306122448983,-0.02098840756558884,0.2696078431372549
immune,seed43,target_disjoint,9,low,0,1065,21,0.01971830985915493,0.5207307060755336,0.00433178932921599,0.24507042253521127
immune,seed43,target_disjoint,9,medium,1,196,140,0.7142857142857143,0.5339285714285714,0.07488738738738743,0.24489795918367346
immune,seed44,target_disjoint,9,high,2,204,196,0.9607843137254902,0.43112244897959184,-0.022325581395348792,0.36764705882352944
immune,seed44,target_disjoint,9,low,0,1065,21,0.01971830985915493,0.49500547345374935,-0.0010356372715923275,0.24788732394366197
immune,seed44,target_disjoint,9,medium,1,196,140,0.7142857142857143,0.5267857142857143,0.05147058823529416,0.30612244897959184
immune,seed42_main,target_disjoint,10,high,2,204,196,0.9607843137254902,0.27168367346938777,-0.0699560332193454,0.4362745098039216
immune,seed42_main,target_disjoint,10,low,0,1065,21,0.01971830985915493,0.5123152709359605,0.002074529389166347,0.3568075117370892
immune,seed42_main,target_disjoint,10,medium,1,196,140,0.7142857142857143,0.4910714285714286,-0.01483836777954417,0.4336734693877551
immune,seed43,target_disjoint,10,high,2,204,196,0.9607843137254902,0.514030612244898,0.004398240703718526,0.4019607843137255
immune,seed43,target_disjoint,10,low,0,1065,21,0.01971830985915493,0.6278051450465243,0.024880790644396494,0.27323943661971833
immune,seed43,target_disjoint,10,medium,1,196,140,0.7142857142857143,0.4946428571428571,-0.009408602150537626,0.3673469387755102
immune,seed44,target_disjoint,10,high,2,204,196,0.9607843137254902,0.4910714285714286,-0.002927951479661295,0.35784313725490197
immune,seed44,target_disjoint,10,low,0,1065,21,0.01971830985915493,0.5250410509031198,0.00535933930767879,0.23661971830985915
immune,seed44,target_disjoint,10,medium,1,196,140,0.7142857142857143,0.525,0.04678362573099415,0.32142857142857145
immune,seed42_main,target_disjoint,11,high,2,204,196,0.9607843137254902,0.3380102040816326,-0.05669642857142854,0.3137254901960784
immune,seed42_main,target_disjoint,11,low,0,1065,21,0.01971830985915493,0.5502873563218391,0.010822085889570551,0.2347417840375587
immune,seed42_main,target_disjoint,11,medium,1,196,140,0.7142857142857143,0.4910714285714285,-0.017670074466742403,0.29081632653061223
immune,seed43,target_disjoint,11,high,2,204,196,0.9607843137254902,0.31887755102040816,-0.05677728908436619,0.4019607843137255
immune,seed43,target_disjoint,11,low,0,1065,21,0.01971830985915493,0.5259989053092501,0.0055950920245398765,0.2347417840375587
immune,seed43,target_disjoint,11,medium,1,196,140,0.7142857142857143,0.4892857142857143,-0.020588235294117685,0.30612244897959184
immune,seed44,target_disjoint,11,high,2,204,196,0.9607843137254902,0.423469387755102,-0.025252525252525304,0.35294117647058826
immune,seed44,target_disjoint,11,low,0,1065,21,0.01971830985915493,0.49931581828133553,-0.00014524328249818433,0.23943661971830985
immune,seed44,target_disjoint,11,medium,1,196,140,0.7142857142857143,0.4946428571428571,-0.009864944216089189,0.33163265306122447
