domain,seed_tag,split_regime,layer,tier,tier_code,n_edges,n_positive,positive_rate,auc_same_community,delta_positive_rate_same_minus_diff,same_community_edge_fraction
immune,seed42_main,source_disjoint,0,high,2,210,202,0.9619047619047619,0.42821782178217815,-0.022780832678711782,0.3619047619047619
immune,seed42_main,source_disjoint,0,low,0,1111,24,0.021602160216021602,0.5263722784421956,0.005508980118026696,0.28172817281728174
immune,seed42_main,source_disjoint,0,medium,1,206,138,0.6699029126213593,0.4865728900255754,-0.026658203744842845,0.33495145631067963
immune,seed43,source_disjoint,0,high,2,210,202,0.9619047619047619,0.4158415841584159,-0.02756104975174789,0.3380952380952381
immune,seed43,source_disjoint,0,low,0,1111,24,0.021602160216021602,0.5633049678012879,0.014229218362282879,0.25112511251125114
immune,seed43,source_disjoint,0,medium,1,206,138,0.6699029126213593,0.494458653026428,-0.012825255888519016,0.25728155339805825
immune,seed44,source_disjoint,0,high,2,210,202,0.9619047619047619,0.35829207920792083,-0.045508744038155746,0.3523809523809524
immune,seed44,source_disjoint,0,low,0,1111,24,0.021602160216021602,0.6179852805887764,0.02535545414106134,0.26912691269126915
immune,seed44,source_disjoint,0,medium,1,206,138,0.6699029126213593,0.5086317135549873,0.01753246753246751,0.32038834951456313
immune,seed42_main,source_disjoint,1,high,2,210,202,0.9619047619047619,0.4758663366336634,-0.008017267961763719,0.32857142857142857
immune,seed42_main,source_disjoint,1,low,0,1111,24,0.021602160216021602,0.6011576203618523,0.02502323111642108,0.21872187218721872
immune,seed42_main,source_disjoint,1,medium,1,206,138,0.6699029126213593,0.556692242114237,0.13286713286713292,0.2524271844660194
immune,seed43,source_disjoint,1,high,2,210,202,0.9619047619047619,0.505569306930693,0.0017226528854434875,0.38571428571428573
immune,seed43,source_disjoint,1,low,0,1111,24,0.021602160216021602,0.624885004599816,0.02774324301309672,0.2556255625562556
immune,seed43,source_disjoint,1,medium,1,206,138,0.6699029126213593,0.5705456095481671,0.13554463554463558,0.3592233009708738
immune,seed44,source_disjoint,1,high,2,210,202,0.9619047619047619,0.37809405940594054,-0.037538109756097615,0.3904761904761905
immune,seed44,source_disjoint,1,low,0,1111,24,0.021602160216021602,0.5836783195338854,0.018719718732581575,0.25292529252925294
immune,seed44,source_disjoint,1,medium,1,206,138,0.6699029126213593,0.5305839727195225,0.06212121212121213,0.32038834951456313
immune,seed42_main,source_disjoint,2,high,2,210,202,0.9619047619047619,0.44863861386138615,-0.018829401088929165,0.2761904761904762
immune,seed42_main,source_disjoint,2,low,0,1111,24,0.021602160216021602,0.5840041398344067,0.021357775633716342,0.21062106210621062
immune,seed42_main,source_disjoint,2,medium,1,206,138,0.6699029126213593,0.49829497016197777,-0.0042194092827004814,0.23300970873786409
immune,seed43,source_disjoint,2,high,2,210,202,0.9619047619047619,0.5006188118811881,0.00019325538699388467,0.3761904761904762
immune,seed43,source_disjoint,2,low,0,1111,24,0.021602160216021602,0.5904438822447103,0.024074074074074074,0.19801980198019803
immune,seed43,source_disjoint,2,medium,1,206,138,0.6699029126213593,0.5272804774083546,0.06095238095238098,0.27184466019417475
immune,seed44,source_disjoint,2,high,2,210,202,0.9619047619047619,0.49319306930693063,-0.0021602513747054353,0.3619047619047619
immune,seed44,source_disjoint,2,low,0,1111,24,0.021602160216021602,0.5822983747316774,0.018282609806359318,0.2556255625562556
immune,seed44,source_disjoint,2,medium,1,206,138,0.6699029126213593,0.5637254901960784,0.1365296803652969,0.2912621359223301
immune,seed42_main,source_disjoint,3,high,2,210,202,0.9619047619047619,0.5303217821782178,0.009049773755656076,0.43333333333333335
immune,seed42_main,source_disjoint,3,low,0,1111,24,0.021602160216021602,0.6275107329040172,0.032624259542583654,0.20882088208820881
immune,seed42_main,source_disjoint,3,medium,1,206,138,0.6699029126213593,0.5602088661551577,0.1345238095238096,0.27184466019417475
immune,seed43,source_disjoint,3,high,2,210,202,0.9619047619047619,0.3935643564356436,-0.037489102005231145,0.29523809523809524
immune,seed43,source_disjoint,3,low,0,1111,24,0.021602160216021602,0.5896580803434529,0.020706078150174393,0.24122412241224123
immune,seed43,source_disjoint,3,medium,1,206,138,0.6699029126213593,0.5090579710144928,0.020711500974658903,0.2621359223300971
immune,seed44,source_disjoint,3,high,2,210,202,0.9619047619047619,0.33601485148514854,-0.05623342175066304,0.30952380952380953
immune,seed44,source_disjoint,3,low,0,1111,24,0.021602160216021602,0.5786185219257897,0.017152558248448656,0.26282628262826285
immune,seed44,source_disjoint,3,medium,1,206,138,0.6699029126213593,0.4941389599317988,-0.012320788530466031,0.30097087378640774
immune,seed42_main,source_disjoint,4,high,2,210,202,0.9619047619047619,0.37623762376237624,-0.04692082111436957,0.2619047619047619
immune,seed42_main,source_disjoint,4,low,0,1111,24,0.021602160216021602,0.5947178779515486,0.022517063213625056,0.23132313231323132
immune,seed42_main,source_disjoint,4,medium,1,206,138,0.6699029126213593,0.4907289002557545,-0.02095123419626732,0.2669902912621359
immune,seed43,source_disjoint,4,high,2,210,202,0.9619047619047619,0.4511138613861386,-0.01773487484566172,0.28095238095238095
immune,seed43,source_disjoint,4,low,0,1111,24,0.021602160216021602,0.5766444342226311,0.018578397212543552,0.22502250225022502
immune,seed43,source_disjoint,4,medium,1,206,138,0.6699029126213593,0.48721227621483376,-0.030360531309297834,0.24757281553398058
immune,seed44,source_disjoint,4,high,2,210,202,0.9619047619047619,0.4108910891089109,-0.029602220166512483,0.32857142857142857
immune,seed44,source_disjoint,4,low,0,1111,24,0.021602160216021602,0.6443383931309413,0.03177315377345754,0.25922592259225924
immune,seed44,source_disjoint,4,medium,1,206,138,0.6699029126213593,0.5121483375959079,0.0239495798319328,0.33980582524271846
immune,seed42_main,source_disjoint,5,high,2,210,202,0.9619047619047619,0.35829207920792083,-0.045508744038155746,0.3523809523809524
immune,seed42_main,source_disjoint,5,low,0,1111,24,0.021602160216021602,0.5684989267095983,0.014281261737886502,0.2826282628262826
immune,seed42_main,source_disjoint,5,medium,1,206,138,0.6699029126213593,0.5011722080136402,0.002310924369747891,0.33980582524271846
immune,seed43,source_disjoint,5,high,2,210,202,0.9619047619047619,0.39603960396039606,-0.03628117913832196,0.3
immune,seed43,source_disjoint,5,low,0,1111,24,0.021602160216021602,0.5817042318307268,0.020455068903305056,0.2151215121512151
immune,seed43,source_disjoint,5,medium,1,206,138,0.6699029126213593,0.4727195225916454,-0.06851331459922383,0.22815533980582525
immune,seed44,source_disjoint,5,high,2,210,202,0.9619047619047619,0.4108910891089109,-0.029602220166512483,0.32857142857142857
immune,seed44,source_disjoint,5,low,0,1111,24,0.021602160216021602,0.6614918736583871,0.034853034853034856,0.26732673267326734
immune,seed44,source_disjoint,5,medium,1,206,138,0.6699029126213593,0.5304774083546462,0.06050989103988158,0.33495145631067963
immune,seed42_main,source_disjoint,6,high,2,210,202,0.9619047619047619,0.45049504950495045,-0.015058823529411791,0.40476190476190477
immune,seed42_main,source_disjoint,6,low,0,1111,24,0.021602160216021602,0.6114113768782582,0.02579565827076344,0.24032403240324032
immune,seed42_main,source_disjoint,6,medium,1,206,138,0.6699029126213593,0.486999147485081,-0.028729541975744732,0.2766990291262136
immune,seed43,source_disjoint,6,high,2,210,202,0.9619047619047619,0.4535891089108911,-0.01666666666666672,0.2857142857142857
