domain,split_regime,n_rows,mean_shift,median_shift,min_shift,max_shift,frac_rows_shift_positive
immune,source_disjoint,36,0.15029256873660618,0.0,0.0,1.297067642211914,0.4722222222222222
immune,target_disjoint,36,0.20969388879361284,0.0,0.0,6.900093078613282,0.4722222222222222
