domain,split_regime,n_layers,n_layers_geo_sig,frac_layers_geo_sig,n_layers_geo_positive_delta,frac_layers_geo_positive_delta,n_layers_euclid_sig,frac_layers_euclid_sig,n_layers_euclid_positive_delta,frac_layers_euclid_positive_delta,n_layers_delta_shift_positive,frac_layers_delta_shift_positive,mean_h1_delta_geodesic_vs_rewire,mean_h1_delta_euclidean_vs_rewire,mean_h1_delta_shift_geodesic_minus_euclidean,n_layers_distortion_lower_sig,frac_layers_distortion_lower_sig,mean_distortion_delta_observed_minus_null
immune,source_disjoint,12,0,0.0,0,0.0,0,0.0,0,0.0,10,0.8333333333333334,-105.58129219399137,-105.73158476272796,0.15029256873660618,0,0.0,0.08749634758082252
immune,target_disjoint,12,0,0.0,0,0.0,0,0.0,0,0.0,12,1.0,-85.12991700708027,-85.33961089587389,0.2096938887936128,0,0.0,0.1228011425348291
