domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_directed_signed,auc_distance_only,delta_auc_directed_minus_distance,null_degree_mean_delta,null_sign_mean_delta,null_label_mean_delta,p_degree_upper,p_sign_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,771,373,179,1363,0.513603540490657,0.5299890875287968,-0.01638554703813977,-0.026956372007490553,-0.04336970543063848,-0.0019724123297453038,0.35294117647058826,0.058823529411764705,0.9411764705882353,0.058823529411764705
external_lung,seed42_main,source_disjoint,3,771,373,179,1341,0.5239030272003449,0.5239670200870304,-6.399288668557102e-05,-0.01690212119579141,-0.02870228319883615,0.008634408638366075,0.17647058823529413,0.058823529411764705,0.6470588235294118,0.058823529411764705
external_lung,seed42_main,source_disjoint,7,771,373,179,1287,0.5278402737548331,0.5237110485402887,0.004129225214544396,-0.02639727626065999,-0.024353713945060574,0.02188704076683683,0.058823529411764705,0.058823529411764705,0.8823529411764706,0.058823529411764705
external_lung,seed42_main,source_disjoint,11,771,373,179,1286,0.5158163471513062,0.5100199388362725,0.0057964083150336965,-0.010114875651717013,-0.003357100515984743,0.01171301379551911,0.11764705882352941,0.23529411764705882,0.7058823529411765,0.11764705882352941
external_lung,seed42_main,target_disjoint,0,1090,700,180,1373,0.5190897435897435,0.5038846153846153,0.015205128205128204,-0.004352564102563981,-0.001867330586080497,-0.0012140567765567996,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705
external_lung,seed42_main,target_disjoint,3,1090,700,180,1363,0.5181758241758241,0.4977124542124542,0.020463369963369893,-0.0014513507326007202,0.0017651098901099067,0.003789949633699611,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705
external_lung,seed42_main,target_disjoint,7,1090,700,180,1325,0.5214615384615384,0.5008772893772895,0.02058424908424894,0.0030303342490841448,0.011872367216117119,0.004564560439560435,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.11764705882352941
external_lung,seed42_main,target_disjoint,11,1090,700,180,1317,0.5336483516483517,0.5067930402930403,0.026855311355311384,-0.006933722527472482,0.0047073031135530866,0.011677197802197795,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705
external_lung,seed43,source_disjoint,0,825,386,180,1396,0.5202562347303692,0.518382569900976,0.0018736648293932179,-0.012561853069269453,-0.02159122092131186,0.0032213757125827587,0.29411764705882354,0.058823529411764705,0.47058823529411764,0.058823529411764705
external_lung,seed43,source_disjoint,3,825,386,180,1387,0.519506768798612,0.5179576758294285,0.0015490929691834854,-0.01602112520211963,-0.016811162616403173,0.012643180450151687,0.11764705882352941,0.058823529411764705,0.8235294117647058,0.058823529411764705
