domain,split_regime,n_rows,mean_auc_rupture,mean_auc_local_linearity_baseline,mean_delta_auc_rupture_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,12,0.5110151996313119,0.5073410489590194,0.0036741506722925837,0.5833333333333334,0.0,0.0713453230752686
external_lung,target_disjoint,12,0.49186265859897144,0.5074046353235216,-0.015541976724550302,0.4166666666666667,0.0,0.4095238862270474
immune,source_disjoint,12,0.4755118372973049,0.5614052367207941,-0.08589339942348913,0.16666666666666666,0.0,0.44163327093258953
immune,target_disjoint,12,0.4995609421275777,0.5772266794847493,-0.07766573735717168,0.0,0.0,0.13139511474885573
lung,source_disjoint,12,0.5047488583329132,0.5560241629232506,-0.05127530459033743,0.3333333333333333,0.0,0.03548682992629225
lung,target_disjoint,12,0.48379194493529015,0.5287222172729212,-0.044930272337631194,0.16666666666666666,0.0,0.3855531456926853
