domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_rupture,auc_local_linearity_baseline,delta_auc_rupture_minus_baseline,null_layer_mean_delta,null_endpoint_mean_delta,null_label_mean_delta,p_layer_upper,p_endpoint_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,771,373,179,0.4906199900305818,0.5280019399948805,-0.03738194996429872,-0.01681749902326646,-0.025044163511929618,-0.049471763980761724,0.7058823529411765,0.7647058823529411,0.35294117647058826,0.35294117647058826
external_lung,seed42_main,source_disjoint,3,771,373,179,0.4929338380912606,0.534892963476902,-0.04195912538564134,-0.03363626106403331,-0.03552784027375486,-0.01858025044795022,0.5882352941176471,0.7058823529411765,0.8235294117647058,0.5882352941176471
external_lung,seed42_main,source_disjoint,7,771,373,179,0.5438182871461867,0.5123742034569632,0.03144408368922358,-0.021207326848720873,0.018249971371603252,0.04948713069368291,0.058823529411764705,0.17647058823529413,0.8235294117647058,0.058823529411764705
external_lung,seed42_main,source_disjoint,11,771,373,179,0.5514233365217509,0.49897611381303303,0.05244722270871788,-0.013407772778099646,0.04687352647958287,0.05940771215325957,0.058823529411764705,0.35294117647058826,0.7058823529411765,0.058823529411764705
external_lung,seed42_main,target_disjoint,0,1090,700,180,0.508091575091575,0.5118315018315018,-0.0037399267399268465,-0.014720581501831531,-0.013682577838827814,-0.010536286630036598,0.4117647058823529,0.17647058823529413,0.5294117647058824,0.17647058823529413
external_lung,seed42_main,target_disjoint,3,1090,700,180,0.48541025641025637,0.5264249084249084,-0.04101465201465204,-0.020408882783882774,-0.04424381868131867,-0.015790521978021995,0.7647058823529411,0.47058823529411764,0.7647058823529411,0.47058823529411764
external_lung,seed42_main,target_disjoint,7,1090,700,180,0.47112454212454213,0.5361904761904762,-0.06506593406593408,-0.04577335164835167,-0.048730082417582435,-0.03919070512820513,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.8823529411764706
external_lung,seed42_main,target_disjoint,11,1090,700,180,0.48664285714285704,0.5081721611721612,-0.021529304029304197,-0.004402586996337065,-0.00600698260073268,-0.01825057234432237,0.8823529411764706,1.0,0.6470588235294118,0.6470588235294118
external_lung,seed43,source_disjoint,0,825,386,180,0.4709360652448451,0.5341243051211538,-0.06318823987630873,-0.02926421034617066,-0.05718273838327807,-0.030021606158603532,0.8823529411764706,0.5882352941176471,0.8235294117647058,0.5882352941176471
external_lung,seed43,source_disjoint,3,825,386,180,0.46335583698230787,0.5302353441051849,-0.06687950712287705,-0.029845857872933104,-0.07148473922126364,-0.06293522135800866,0.8235294117647058,0.35294117647058826,0.5294117647058824,0.35294117647058826
external_lung,seed43,source_disjoint,7,825,386,180,0.522368902475008,0.5048892324760702,0.017479669998937797,-0.01011963423702009,0.013651012959269168,0.0036152879247465103,0.29411764705882354,0.23529411764705882,0.35294117647058826,0.23529411764705882
external_lung,seed43,source_disjoint,11,825,386,180,0.5381755520672277,0.5129563185289223,0.025219233538305352,-0.0029154298511690838,0.01940349593399978,0.010503034746892945,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.29411764705882354
external_lung,seed43,target_disjoint,0,1125,735,180,0.5035897435897436,0.4944444444444444,0.009145299145299213,0.008822387929530835,-0.009832984475841591,-0.06275335775335775,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.058823529411764705
external_lung,seed43,target_disjoint,3,1125,735,180,0.4536978894121751,0.4911372754229897,-0.03743938601081459,0.012063055991627453,-0.014970020059305766,-0.04435832025117738,1.0,1.0,0.4117647058823529,0.4117647058823529
external_lung,seed43,target_disjoint,7,1125,735,180,0.49961102389673817,0.474936333507762,0.024674690388976184,0.02345085470085479,0.04240297401011694,0.03400728240013954,0.6470588235294118,1.0,0.7058823529411765,0.6470588235294118
